# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 3.820000000000000062e-01 3.699999999999999956e-01 1.434000000000000000e+09 5.300000000000000266e-01 2.500000000000000139e-02 6.865308337665718794e+08 1.265390560906832640e+01
2.000000000000000000e+00 7.359999999999999876e-01 7.199999999999999734e-01 3.602000000000000000e+08 1.600000000000000033e-01 1.250000000000000000e-01 1.343610257008343935e+09 4.464743384222009226e+00
3.000000000000000000e+00 7.099999999999999645e-01 6.900000000000000577e-01 2.300000000000000000e+09 5.300000000000000266e-01 1.500000000000000222e-01 3.331513993202894974e+10 8.726936240303380998e+00
4.000000000000000000e+00 3.830000000000000071e-01 3.800000000000000044e-01 1.434000000000000000e+09 5.300000000000000266e-01 3.500000000000000333e-01 2.715111239359773254e+10 6.531495003989156167e+00
5.000000000000000000e+00 3.579999999999999849e-01 4.199999999999999845e-01 7.187000320000000000e+08 2.899999999999999800e-01 5.000000000000000278e-02 8.807648535522729158e+08 1.942826377512484726e+01
6.000000000000000000e+00 1.885000000000000009e+00 1.810000000000000053e+00 9.047800000000000000e+07 2.999999999999999889e-02 2.000000000000000111e-01 9.798114026079166412e+09 1.509104395600712323e+01
7.000000000000000000e+00 1.980000000000000093e-01 1.799999999999999933e-01 2.300000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 9.448774300252063274e+08 5.797234136331185894e+00
8.000000000000000000e+00 1.032000000000000028e+00 9.300000000000000488e-01 7.187000320000000000e+08 5.300000000000000266e-01 2.250000000000000056e-01 8.252681872905818939e+09 6.048102650236304001e+00
9.000000000000000000e+00 6.340000000000000080e-01 6.400000000000000133e-01 1.434000000000000000e+09 8.999999999999999667e-02 1.250000000000000000e-01 7.864131841171853638e+10 5.401430554652578486e+00
1.000000000000000000e+01 6.919999999999999485e-01 7.199999999999999734e-01 1.015200000000000000e+09 1.600000000000000033e-01 3.500000000000000333e-01 2.667050783078174591e+10 1.322082750833161491e+01
1.100000000000000000e+01 1.990000000000000102e-01 1.700000000000000122e-01 1.015200000000000000e+09 2.899999999999999800e-01 0.000000000000000000e+00 8.816140243033492565e+07 1.309327808290782258e+01
1.200000000000000000e+01 6.770000000000000462e-01 6.600000000000000311e-01 1.805300000000000000e+08 2.999999999999999889e-02 6.000000000000000888e-01 3.080467925910763931e+10 1.437217543314532087e+01
1.300000000000000000e+01 2.278000000000000025e+00 2.260000000000000231e+00 1.805300000000000000e+08 5.000000000000000278e-02 2.500000000000000000e-01 2.941458074264006424e+10 1.196795750569263639e+01
1.400000000000000000e+01 1.211000000000000076e+00 1.090000000000000080e+00 1.278000000000000000e+08 2.999999999999999889e-02 7.500000000000001110e-02 2.324816109690279484e+09 5.256196539638901655e+00
1.500000000000000000e+01 1.191999999999999948e+00 1.040000000000000036e+00 1.015200000000000000e+09 5.300000000000000266e-01 5.000000000000000278e-02 5.141984925086404800e+09 6.547631626170796970e+00
1.600000000000000000e+01 4.620000000000000218e-01 4.299999999999999933e-01 7.000000000000000000e+09 3.080000000000000071e+00 7.500000000000001110e-02 5.378842555528643036e+10 4.945902141924234385e+00
