# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 3.820000000000000062e-01 3.500000000000000333e-01 2.300000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 7.867963683549120426e+08 1.510411553558452091e+01
2.000000000000000000e+00 7.359999999999999876e-01 6.800000000000000488e-01 1.015200000000000000e+09 9.499999999999999556e-01 1.000000000000000056e-01 2.311873569194991112e+09 7.558219031416727240e+00
3.000000000000000000e+00 7.099999999999999645e-01 6.500000000000000222e-01 4.000000000000000000e+09 9.499999999999999556e-01 1.000000000000000056e-01 3.738626931460545349e+10 9.447008892646110212e+00
4.000000000000000000e+00 3.830000000000000071e-01 3.599999999999999867e-01 2.600000000000000000e+09 9.499999999999999556e-01 3.000000000000000444e-01 3.295669680320626068e+10 6.580257081749366854e+00
5.000000000000000000e+00 3.579999999999999849e-01 3.500000000000000333e-01 1.700000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 8.395539019410519600e+08 2.542137878789818828e+01
6.000000000000000000e+00 1.885000000000000009e+00 1.770000000000000018e+00 2.550000000000000000e+08 3.080000000000000071e+00 2.500000000000000000e-01 1.471867025390212708e+11 2.125305186575434035e+01
7.000000000000000000e+00 1.980000000000000093e-01 1.799999999999999933e-01 2.300000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 9.448774300252063274e+08 5.797234136331185894e+00
8.000000000000000000e+00 1.032000000000000028e+00 9.200000000000000400e-01 7.187000320000000000e+08 9.499999999999999556e-01 2.500000000000000000e-01 1.053235747013134766e+10 7.134346067378004363e+00
9.000000000000000000e+00 6.340000000000000080e-01 5.999999999999999778e-01 7.000000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 1.662565269641405334e+11 6.323983716836245605e+00
1.000000000000000000e+01 6.919999999999999485e-01 6.900000000000000577e-01 6.249999870000000000e+09 9.499999999999999556e-01 1.000000000000000056e-01 5.320941448691097260e+10 1.691916937793656928e+01
1.100000000000000000e+01 1.990000000000000102e-01 1.400000000000000133e-01 2.000000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 8.110881723657310009e+07 1.724325975525847454e+01
1.200000000000000000e+01 6.770000000000000462e-01 5.100000000000000089e-01 3.249999870000000000e+09 9.499999999999999556e-01 3.500000000000000333e-01 4.216209696696762848e+10 1.850464775633520276e+01
1.300000000000000000e+01 2.278000000000000025e+00 2.260000000000000231e+00 3.602000000000000000e+08 9.499999999999999556e-01 3.500000000000000333e-01 1.142994443013483582e+11 1.791890711587809903e+01
1.400000000000000000e+01 1.211000000000000076e+00 1.040000000000000036e+00 7.187000320000000000e+08 9.499999999999999556e-01 7.500000000000001110e-02 6.568922408276351929e+09 1.420100817831073492e+01
1.500000000000000000e+01 1.191999999999999948e+00 1.040000000000000036e+00 1.015200000000000000e+09 9.499999999999999556e-01 1.000000000000000056e-01 6.468200163237334251e+09 1.500592012961495847e+01
1.600000000000000000e+01 4.620000000000000218e-01 4.299999999999999933e-01 7.000000000000000000e+09 3.080000000000000071e+00 7.500000000000001110e-02 5.378842555528643036e+10 4.945902141924234385e+00
1.700000000000000000e+01 1.153000000000000025e+00 1.000000000000000000e+00 1.434000000000000000e+09 3.080000000000000071e+00 3.750000000000000000e-01 1.018950334800776520e+11 9.095474321995602907e+00
1.800000000000000000e+01 6.949999999999999512e-01 5.300000000000000266e-01 3.249999870000000000e+09 9.499999999999999556e-01 3.250000000000000111e-01 5.930941387401805115e+10 1.366577723604259909e+01
1.900000000000000000e+01 8.970000000000000195e-01 7.299999999999999822e-01 2.000000000000000000e+09 9.499999999999999556e-01 2.750000000000000222e-01 3.027373997272024536e+10 2.261415995369071652e+01
2.000000000000000000e+01 1.205999999999999961e+00 1.050000000000000044e+00 1.015200000000000000e+09 9.499999999999999556e-01 7.500000000000001110e-02 5.883374870034049988e+09 2.308167134188460423e+01
2.100000000000000000e+01 2.724000000000000199e+00 2.550000000000000266e+00 1.278000000000000000e+08 3.080000000000000071e+00 1.750000000000000167e-01 7.393478248338881836e+11 1.941408720133651400e+01
2.200000000000000000e+01 1.245000000000000107e+00 1.050000000000000044e+00 1.015200000000000000e+09 9.499999999999999556e-01 1.500000000000000222e-01 8.537633555832931519e+09 8.606857863876836490e+00
2.300000000000000000e+01 2.489999999999999991e-01 2.099999999999999922e-01 2.600000000000000000e+09 1.709999999999999964e+00 0.000000000000000000e+00 7.149306335039210320e+08 6.299957800588275703e+00
2.400000000000000000e+01 4.570000000000000173e-01 4.199999999999999845e-01 2.300000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 8.174928736548689604e+08 1.321241159199612270e+01
2.500000000000000000e+01 1.881000000000000005e+00 1.770000000000000018e+00 2.550000000000000000e+08 3.080000000000000071e+00 1.750000000000000167e-01 6.001539666849466705e+10 1.706769608711953623e+01
2.600000000000000000e+01 9.889999999999999902e-01 8.599999999999999867e-01 1.434000000000000000e+09 9.499999999999999556e-01 7.500000000000001110e-02 6.246593524326685905e+09 1.329091731895917761e+01
2.700000000000000000e+01 1.413000000000000034e+00 1.310000000000000053e+00 7.187000320000000000e+08 9.499999999999999556e-01 2.500000000000000000e-01 3.794696857375639343e+10 2.418606050309403699e+01
2.800000000000000000e+01 1.459999999999999964e+00 1.280000000000000027e+00 1.434000000000000000e+09 9.499999999999999556e-01 1.000000000000000056e-01 2.366635661676977539e+10 3.490193610901715005e+01
2.900000000000000000e+01 6.939999999999999503e-01 5.899999999999999689e-01 3.249999870000000000e+09 9.499999999999999556e-01 1.500000000000000222e-01 1.647760319816620636e+10 1.365593626635924807e+01
3.000000000000000000e+01 1.685999999999999943e+00 1.890000000000000124e+00 2.550000000000000000e+08 9.499999999999999556e-01 3.000000000000000444e-01 4.434082754985494232e+10 2.778872389370836160e+01
3.100000000000000000e+01 6.959999999999999520e-01 6.800000000000000488e-01 7.187000320000000000e+08 1.709999999999999964e+00 1.750000000000000167e-01 2.029192883489510727e+10 4.272428378659608228e+00
3.200000000000000000e+01 1.155000000000000027e+00 1.000000000000000000e+00 1.015200000000000000e+09 9.499999999999999556e-01 1.750000000000000167e-01 1.595363032881957054e+10 9.766120071355192778e+00
3.300000000000000000e+01 2.738999999999999879e+00 2.899999999999999911e+00 5.088000000000000000e+08 3.080000000000000071e+00 2.000000000000000111e-01 2.057174771263380737e+11 1.505602577145144139e+01
3.400000000000000000e+01 2.503000000000000114e+00 2.439999999999999947e+00 2.550000000000000000e+08 9.499999999999999556e-01 2.250000000000000056e-01 7.600925776989776611e+10 7.827545916159931672e+00
3.500000000000000000e+01 2.490000000000000213e+00 2.430000000000000160e+00 2.550000000000000000e+08 9.499999999999999556e-01 2.500000000000000000e-01 9.002747199393923950e+10 5.892147527146786246e+00
3.600000000000000000e+01 1.032000000000000028e+00 9.200000000000000400e-01 1.015200000000000000e+09 9.499999999999999556e-01 3.500000000000000333e-01 1.846714732463514328e+10 1.327485573095284366e+01
3.700000000000000000e+01 1.048999999999999932e+00 8.499999999999999778e-01 4.000000000000000000e+09 3.080000000000000071e+00 2.750000000000000222e-01 2.755367515552647018e+10 1.485758475718092875e+01
3.800000000000000000e+01 3.573999999999999844e+00 3.589999999999999858e+00 5.088000000000000000e+08 1.709999999999999964e+00 1.250000000000000000e-01 1.633356633068903809e+11 1.541689937115181763e+01
3.900000000000000000e+01 3.088999999999999968e+00 3.020000000000000018e+00 9.047800000000000000e+07 3.080000000000000071e+00 2.750000000000000222e-01 5.148169539191839600e+11 1.275330697376487521e+01
4.000000000000000000e+01 3.830000000000000071e-01 3.800000000000000044e-01 4.750000130000000000e+09 1.709999999999999964e+00 2.500000000000000000e-01 1.073916631908435516e+11 5.013672793461095623e+00
4.100000000000000000e+01 1.280000000000000027e+00 1.290000000000000036e+00 1.015200000000000000e+09 1.709999999999999964e+00 1.750000000000000167e-01 2.250868904330247879e+10 8.667132125124554776e+00
4.200000000000000000e+01 2.580000000000000071e+00 1.310000000000000053e+00 1.148200000000000000e+07 3.080000000000000071e+00 5.000000000000000000e-01 6.487054614117982178e+11 1.102163582657511043e+01
4.300000000000000000e+01 2.782999999999999918e+00 2.790000000000000036e+00 1.805300000000000000e+08 3.080000000000000071e+00 3.250000000000000111e-01 4.935728098689257812e+11 1.186184179303689845e+01
4.400000000000000000e+01 1.125000000000000000e+00 9.799999999999999822e-01 1.015200000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 5.889512242260788918e+09 1.868787955056249928e+01
4.500000000000000000e+01 1.980000000000000093e-01 1.799999999999999933e-01 2.000000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 7.224300698312784433e+08 3.826317110024565871e+00
4.600000000000000000e+01 1.887000000000000011e+00 1.919999999999999929e+00 2.550000000000000000e+08 9.499999999999999556e-01 1.750000000000000167e-01 2.564471838112060547e+10 1.426310621733382256e+01
4.700000000000000000e+01 9.180000000000000382e-01 8.000000000000000444e-01 2.300000000000000000e+09 9.499999999999999556e-01 2.500000000000000139e-02 5.071181663791214943e+09 1.311257381318044857e+01
4.800000000000000000e+01 6.929999999999999494e-01 6.199999999999999956e-01 2.000000000000000000e+09 9.499999999999999556e-01 2.500000000000000139e-02 1.719938908227973938e+09 7.132105111625647531e+00
4.900000000000000000e+01 9.909999999999999920e-01 8.000000000000000444e-01 2.600000000000000000e+09 9.499999999999999556e-01 0.000000000000000000e+00 1.641999708591550255e+10 9.041760609286942696e+00
5.000000000000000000e+01 1.512000000000000011e+00 1.429999999999999938e+00 7.187000320000000000e+08 9.499999999999999556e-01 2.750000000000000222e-01 3.686472317557634735e+10 3.209479928042198082e+01
5.100000000000000000e+01 2.302999999999999936e+00 2.260000000000000231e+00 2.550000000000000000e+08 1.709999999999999964e+00 2.000000000000000111e-01 5.572907720167607117e+10 5.540407924639256798e+00
5.200000000000000000e+01 1.616999999999999993e+00 1.439999999999999947e+00 7.187000320000000000e+08 9.499999999999999556e-01 2.500000000000000000e-01 3.577764579587762451e+10 2.583590130308095922e+01
5.300000000000000000e+01 1.925000000000000044e+00 2.109999999999999876e+00 2.550000000000000000e+08 3.080000000000000071e+00 2.250000000000000056e-01 1.424540805088268738e+11 1.606902251444452290e+01
5.400000000000000000e+01 2.177000000000000046e+00 2.260000000000000231e+00 3.602000000000000000e+08 9.499999999999999556e-01 7.500000000000001110e-02 2.902685159581001663e+10 1.054393708786284378e+01
