# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 3.820000000000000062e-01 2.200000000000000011e-01 2.000000000000000000e+09 2.550000000000000000e+08 7.399999999999999911e-01 0.000000000000000000e+00 2.268639318857677015e-19 1.624840860444114554e+01 2.572795322441313870e-02 3.379432025971136689e+08
2.000000000000000000e+00 7.359999999999999876e-01 5.899999999999999689e-01 2.000000000000000000e+09 1.015200000000000000e+09 4.000000000000000222e-01 0.000000000000000000e+00 3.413217313583983275e-19 1.240500303538476956e+01 2.987409589810844368e-01 1.762885597680277109e+09
3.000000000000000000e+00 7.099999999999999645e-01 6.500000000000000222e-01 2.000000000000000000e+09 5.088000000000000000e+08 8.599999999999999867e-01 1.500000000000000222e-01 3.113231810788128018e-19 6.892765786923411575e+00 8.694441732099349451e-01 3.178053977839090347e+10
4.000000000000000000e+00 3.830000000000000071e-01 3.599999999999999867e-01 2.000000000000000000e+09 1.015200000000000000e+09 7.199999999999999734e-01 2.500000000000000000e-01 2.364950447649067595e-18 6.069743167876870515e+00 1.600459064082415894e+00 3.178593022518659973e+10
5.000000000000000000e+00 3.579999999999999849e-01 2.200000000000000011e-01 2.000000000000000000e+09 1.015200000000000000e+09 4.600000000000000200e-01 0.000000000000000000e+00 7.316165615903865852e-19 3.312347144567481649e+01 5.123395737740957245e-02 3.718679322639629245e+08
6.000000000000000000e+00 1.885000000000000009e+00 1.919999999999999929e+00 2.000000000000000000e+09 2.550000000000000000e+08 0.000000000000000000e+00 2.500000000000000000e-01 3.923412121361764270e-19 2.092938281614391727e+01 5.475449218123555539e+01 1.396239550621506691e+10
7.000000000000000000e+00 1.980000000000000093e-01 1.400000000000000133e-01 2.000000000000000000e+09 1.015200000000000000e+09 5.799999999999999600e-01 0.000000000000000000e+00 2.259599717347911629e-18 7.267099286732728203e+00 5.439312139714951033e-02 6.057158764787020683e+08
8.000000000000000000e+00 1.032000000000000028e+00 7.199999999999999734e-01 2.000000000000000000e+09 2.550000000000000000e+08 7.199999999999999734e-01 2.500000000000000139e-02 1.895606862313418613e-19 1.023996230550483233e+01 5.490671916884870551e-01 6.529495826542095184e+09
9.000000000000000000e+00 6.340000000000000080e-01 5.799999999999999600e-01 2.000000000000000000e+09 1.015200000000000000e+09 9.799999999999999822e-01 1.500000000000000222e-01 1.586198176958238525e-19 1.327991691909056016e+01 2.452971622587763745e-01 8.833737590283106995e+10
1.000000000000000000e+01 6.919999999999999485e-01 7.199999999999999734e-01 2.000000000000000000e+09 1.015200000000000000e+09 9.599999999999999645e-01 2.000000000000000111e-01 5.530842606755500547e-20 1.499014786069846394e+01 2.033562884224654199e-01 3.597473716863784790e+10
1.100000000000000000e+01 1.990000000000000102e-01 2.810000000000000053e+00 2.000000000000000000e+09 1.000000000000000000e+07 0.000000000000000000e+00 2.500000000000000000e-01 1.685044319527515494e-19 2.370109784304069933e+01 2.884839169329719084e+02 2.884839169329719543e+09
1.200000000000000000e+01 6.770000000000000462e-01 4.299999999999999933e-01 2.000000000000000000e+09 5.000000000000000000e+07 8.800000000000000044e-01 3.750000000000000000e-01 2.680744869878116102e-19 1.990296319513754852e+01 1.496850485304881628e+00 2.615176362438558960e+10
