# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi
1.000000000000000000e+00 3.820000000000000062e-01 2.760000000000000231e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 3.500000000000000333e-01 2.554932395699900594e-19 8.969018127582702959e+01
2.000000000000000000e+00 7.359999999999999876e-01 2.000000000000000042e-02 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 5.750000000000000666e-01 6.660665601086232619e-19 3.383451279465788275e+01
3.000000000000000000e+00 7.099999999999999645e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.015200000000000000e+08 0.000000000000000000e+00 9.250000000000000444e-01 9.427280515579415648e-19 8.922347748250064114e+01
4.000000000000000000e+00 3.830000000000000071e-01 5.000000000000000278e-02 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 1.000000000000000000e+00 5.056767107556867127e-18 5.359733265594144314e+01
5.000000000000000000e+00 3.579999999999999849e-01 2.750000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 3.000000000000000444e-01 3.117152081457243588e-19 8.228586104727433792e+01
6.000000000000000000e+00 1.885000000000000009e+00 1.919999999999999929e+00 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 2.500000000000000000e-01 3.923412121361764270e-19 2.092938281614391727e+01
7.000000000000000000e+00 1.980000000000000093e-01 2.770000000000000018e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 3.000000000000000444e-01 1.192649426615783287e-18 3.053868503347014496e+01
8.000000000000000000e+00 1.032000000000000028e+00 9.200000000000000400e-01 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 3.750000000000000000e-01 5.902017080000788391e-19 3.586391536815840198e+01
9.000000000000000000e+00 6.340000000000000080e-01 3.040000000000000036e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 6.750000000000000444e-01 6.896481493768974940e-18 4.700883105704264722e+02
1.000000000000000000e+01 6.919999999999999485e-01 3.720000000000000195e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 6.500000000000000222e-01 1.376222459689547898e-18 2.411939649421540537e+02
1.100000000000000000e+01 1.990000000000000102e-01 2.810000000000000053e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 2.500000000000000000e-01 1.685044319527515494e-19 2.370109784304069933e+01
1.200000000000000000e+01 6.770000000000000462e-01 8.999999999999999667e-02 5.088000000000000000e+08 1.015200000000000000e+08 0.000000000000000000e+00 1.000000000000000000e+00 1.131986657087636275e-18 9.305614367682356658e+01
1.300000000000000000e+01 2.278000000000000025e+00 2.200000000000000178e+00 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 4.000000000000000222e-01 2.997562634363149828e-19 2.432406604122299143e+01
1.400000000000000000e+01 1.211000000000000076e+00 1.150000000000000133e+00 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 1.750000000000000167e-01 4.811494369964248080e-19 4.587081906336299397e+01
