#    Wavelength(A)   flambda_1Msun_erg/s/cm^2/A
9.100000000000000000e+01 0.000000000000000000e+00
9.400000000000000000e+01 0.000000000000000000e+00
9.600000000000000000e+01 0.000000000000000000e+00
9.800000000000000000e+01 0.000000000000000000e+00
1.000000000000000000e+02 0.000000000000000000e+00
1.020000000000000000e+02 0.000000000000000000e+00
1.040000000000000000e+02 0.000000000000000000e+00
1.060000000000000000e+02 0.000000000000000000e+00
1.080000000000000000e+02 0.000000000000000000e+00
1.100000000000000000e+02 0.000000000000000000e+00
1.140000000000000000e+02 0.000000000000000000e+00
1.180000000000000000e+02 0.000000000000000000e+00
1.210000000000000000e+02 0.000000000000000000e+00
1.250000000000000000e+02 0.000000000000000000e+00
1.270000000000000000e+02 0.000000000000000000e+00
1.280000000000000000e+02 0.000000000000000000e+00
1.310000000000000000e+02 0.000000000000000000e+00
1.320000000000000000e+02 0.000000000000000000e+00
1.340000000000000000e+02 0.000000000000000000e+00
1.370000000000000000e+02 0.000000000000000000e+00
1.400000000000000000e+02 0.000000000000000000e+00
1.430000000000000000e+02 0.000000000000000000e+00
1.470000000000000000e+02 0.000000000000000000e+00
1.510000000000000000e+02 0.000000000000000000e+00
1.550000000000000000e+02 0.000000000000000000e+00
1.590000000000000000e+02 0.000000000000000000e+00
1.620000000000000000e+02 0.000000000000000000e+00
1.660000000000000000e+02 0.000000000000000000e+00
1.700000000000000000e+02 0.000000000000000000e+00
1.730000000000000000e+02 0.000000000000000000e+00
1.770000000000000000e+02 0.000000000000000000e+00
1.800000000000000000e+02 0.000000000000000000e+00
1.820000000000000000e+02 0.000000000000000000e+00
1.860000000000000000e+02 0.000000000000000000e+00
1.910000000000000000e+02 0.000000000000000000e+00
1.940000000000000000e+02 0.000000000000000000e+00
1.980000000000000000e+02 0.000000000000000000e+00
2.020000000000000000e+02 0.000000000000000000e+00
2.050000000000000000e+02 0.000000000000000000e+00
2.100000000000000000e+02 0.000000000000000000e+00
2.160000000000000000e+02 0.000000000000000000e+00
2.200000000000000000e+02 0.000000000000000000e+00
2.230000000000000000e+02 0.000000000000000000e+00
2.270000000000000000e+02 0.000000000000000000e+00
2.300000000000000000e+02 0.000000000000000000e+00
2.340000000000000000e+02 0.000000000000000000e+00
2.400000000000000000e+02 0.000000000000000000e+00
2.460000000000000000e+02 0.000000000000000000e+00
2.520000000000000000e+02 0.000000000000000000e+00
2.570000000000000000e+02 0.000000000000000000e+00
2.600000000000000000e+02 0.000000000000000000e+00
2.640000000000000000e+02 0.000000000000000000e+00
2.690000000000000000e+02 0.000000000000000000e+00
2.740000000000000000e+02 0.000000000000000000e+00
2.790000000000000000e+02 0.000000000000000000e+00
2.840000000000000000e+02 0.000000000000000000e+00
2.900000000000000000e+02 0.000000000000000000e+00
2.960000000000000000e+02 0.000000000000000000e+00
3.010000000000000000e+02 0.000000000000000000e+00
3.080000000000000000e+02 0.000000000000000000e+00
3.180000000000000000e+02 0.000000000000000000e+00
3.280000000000000000e+02 0.000000000000000000e+00
3.380000000000000000e+02 0.000000000000000000e+00
3.480000000000000000e+02 0.000000000000000000e+00
3.570000000000000000e+02 0.000000000000000000e+00
3.660000000000000000e+02 0.000000000000000000e+00
3.750000000000000000e+02 0.000000000000000000e+00
3.850000000000000000e+02 0.000000000000000000e+00
3.950000000000000000e+02 0.000000000000000000e+00
4.050000000000000000e+02 0.000000000000000000e+00
4.140000000000000000e+02 0.000000000000000000e+00
4.220000000000000000e+02 0.000000000000000000e+00
4.300000000000000000e+02 0.000000000000000000e+00
4.410000000000000000e+02 0.000000000000000000e+00
4.510000000000000000e+02 0.000000000000000000e+00
4.600000000000000000e+02 0.000000000000000000e+00
4.700000000000000000e+02 0.000000000000000000e+00
4.800000000000000000e+02 0.000000000000000000e+00
4.900000000000000000e+02 0.000000000000000000e+00
5.000000000000000000e+02 0.000000000000000000e+00
5.060000000000000000e+02 0.000000000000000000e+00
5.120000000000000000e+02 0.000000000000000000e+00
5.200000000000000000e+02 0.000000000000000000e+00
5.300000000000000000e+02 0.000000000000000000e+00
5.400000000000000000e+02 0.000000000000000000e+00
5.500000000000000000e+02 0.000000000000000000e+00
5.600000000000000000e+02 0.000000000000000000e+00
5.700000000000000000e+02 0.000000000000000000e+00
5.800000000000000000e+02 0.000000000000000000e+00
5.900000000000000000e+02 0.000000000000000000e+00
6.000000000000000000e+02 0.000000000000000000e+00
6.100000000000000000e+02 0.000000000000000000e+00
6.200000000000000000e+02 0.000000000000000000e+00
6.300000000000000000e+02 0.000000000000000000e+00
6.400000000000000000e+02 0.000000000000000000e+00
6.500000000000000000e+02 0.000000000000000000e+00
6.580000000000000000e+02 0.000000000000000000e+00
6.650000000000000000e+02 0.000000000000000000e+00
6.750000000000000000e+02 0.000000000000000000e+00
6.850000000000000000e+02 0.000000000000000000e+00
6.950000000000000000e+02 0.000000000000000000e+00
7.050000000000000000e+02 0.000000000000000000e+00
7.160000000000000000e+02 0.000000000000000000e+00
7.260000000000000000e+02 0.000000000000000000e+00
7.350000000000000000e+02 0.000000000000000000e+00
7.450000000000000000e+02 0.000000000000000000e+00
7.550000000000000000e+02 0.000000000000000000e+00
7.650000000000000000e+02 0.000000000000000000e+00
7.750000000000000000e+02 0.000000000000000000e+00
7.850000000000000000e+02 0.000000000000000000e+00
7.950000000000000000e+02 0.000000000000000000e+00
8.050000000000000000e+02 0.000000000000000000e+00
8.150000000000000000e+02 0.000000000000000000e+00
8.250000000000000000e+02 0.000000000000000000e+00
8.350000000000000000e+02 0.000000000000000000e+00
8.450000000000000000e+02 0.000000000000000000e+00
8.550000000000000000e+02 0.000000000000000000e+00
8.650000000000000000e+02 0.000000000000000000e+00
8.750000000000000000e+02 0.000000000000000000e+00
8.850000000000000000e+02 0.000000000000000000e+00
8.950000000000000000e+02 0.000000000000000000e+00
9.050000000000000000e+02 0.000000000000000000e+00
9.150000000000000000e+02 1.233731955844404071e+27
9.250000000000000000e+02 1.762329620890579737e+27
