#    Wavelength(A)   flambda_1Msun_erg/s/cm^2/A
3.640000000000000000e+02 4.933901011952542216e-36
3.760000000000000000e+02 7.804756311264767753e-36
3.840000000000000000e+02 1.057543447226122871e-35
3.920000000000000000e+02 1.462053264741014233e-35
4.000000000000000000e+02 1.970607228220157096e-35
4.080000000000000000e+02 2.578875580205344850e-35
4.160000000000000000e+02 3.044054926797557445e-35
4.240000000000000000e+02 3.682250269998233320e-35
4.320000000000000000e+02 4.562289332060001690e-35
4.400000000000000000e+02 6.397023917694534538e-35
4.560000000000000000e+02 8.627606424040223625e-35
4.720000000000000000e+02 1.095087677490871229e-34
4.840000000000000000e+02 4.201293925898748124e-34
5.000000000000000000e+02 5.013107008149162451e-34
5.080000000000000000e+02 5.273273014396388303e-34
5.120000000000000000e+02 5.524710460517497995e-34
5.240000000000000000e+02 5.901098019341128487e-34
5.280000000000000000e+02 6.935764293810586820e-34
5.360000000000000000e+02 7.160467257126286742e-34
5.480000000000000000e+02 8.857435239577491716e-34
5.600000000000000000e+02 9.350611988854660931e-34
5.720000000000000000e+02 2.486970074072372623e-33
5.880000000000000000e+02 5.650473225465852777e-33
6.040000000000000000e+02 5.904174692685534340e-33
6.200000000000000000e+02 6.229699734298307993e-33
6.360000000000000000e+02 6.628605044159533327e-33
6.480000000000000000e+02 6.871307777634472950e-33
6.640000000000000000e+02 7.313581658144110917e-33
6.800000000000000000e+02 7.603734267739716628e-33
6.920000000000000000e+02 7.895802011576897107e-33
7.080000000000000000e+02 8.193159328438019169e-33
7.200000000000000000e+02 8.408344142475182452e-33
7.280000000000000000e+02 8.556350534760501701e-33
7.440000000000000000e+02 8.850419323747891511e-33
7.640000000000000000e+02 9.218489289528747201e-33
7.760000000000000000e+02 9.508484153706139739e-33
7.920000000000000000e+02 9.750930477069856782e-33
8.080000000000000000e+02 1.006268245894657114e-32
8.200000000000000000e+02 1.028590971493768806e-32
8.400000000000000000e+02 1.014045012349225953e-32
8.640000000000000000e+02 1.097858711116370750e-32
8.800000000000000000e+02 1.130286493894621139e-32
8.920000000000000000e+02 1.135443438189225273e-32
9.080000000000000000e+02 1.169594834699458264e-32
9.200000000000000000e+02 1.650741524905704647e-32
9.360000000000000000e+02 2.403423504499853084e-32
9.600000000000000000e+02 2.941671159412911988e-32
9.840000000000000000e+02 2.707222179204515992e-32
1.008000000000000000e+03 2.847171214693597730e-32
1.028000000000000000e+03 2.358261444732865534e-32
1.040000000000000000e+03 2.712315225858498697e-32
1.056000000000000000e+03 2.824840294788025409e-32
1.076000000000000000e+03 2.783228168238206138e-32
1.096000000000000000e+03 2.727849417889813467e-32
1.116000000000000000e+03 2.670963548118287032e-32
1.136000000000000000e+03 2.645631792649096512e-32
1.160000000000000000e+03 2.484054795145599566e-32
1.184000000000000000e+03 2.465593597791322545e-32
1.204000000000000000e+03 2.369831677917230949e-32
1.232000000000000000e+03 2.358104644039419226e-32
1.272000000000000000e+03 2.328075091141253616e-32
1.312000000000000000e+03 2.254839023319648042e-32
1.352000000000000000e+03 2.158864847408201242e-32
1.392000000000000000e+03 2.063191530908331854e-32
1.428000000000000000e+03 2.013002354467140461e-32
1.464000000000000000e+03 1.999369444650483697e-32
1.500000000000000000e+03 1.926320798413882055e-32
1.540000000000000000e+03 1.781927565050859925e-32
1.580000000000000000e+03 1.797578572299796066e-32
1.620000000000000000e+03 1.771481176451062237e-32
1.656000000000000000e+03 1.704847282246707096e-32
1.688000000000000000e+03 1.628578836863277020e-32
1.720000000000000000e+03 1.568386560301771534e-32
1.764000000000000000e+03 1.533139930196583641e-32
1.804000000000000000e+03 1.470792889955980488e-32
1.840000000000000000e+03 1.398709374542844516e-32
1.880000000000000000e+03 1.348809921570022341e-32
1.920000000000000000e+03 1.320217684743662395e-32
1.960000000000000000e+03 1.240593836781949413e-32
2.000000000000000000e+03 1.232791295873885198e-32
2.024000000000000000e+03 1.177959765538567287e-32
2.048000000000000000e+03 1.234764825915211695e-32
2.080000000000000000e+03 1.191752026805545190e-32
2.120000000000000000e+03 1.131975000473301672e-32
2.160000000000000000e+03 1.045790585754047324e-32
2.200000000000000000e+03 1.000725322486836510e-32
2.240000000000000000e+03 1.013938884330548351e-32
2.280000000000000000e+03 1.006582868765205489e-32
2.320000000000000000e+03 9.617220061488999767e-33
2.360000000000000000e+03 9.382918907088748442e-33
2.400000000000000000e+03 8.736328715977358384e-33
2.440000000000000000e+03 7.477487012502912254e-33
2.480000000000000000e+03 8.495295417449837557e-33
2.520000000000000000e+03 8.047970920237379753e-33
2.560000000000000000e+03 8.015627925326193342e-33
2.600000000000000000e+03 7.675503485031443381e-33
2.632000000000000000e+03 7.318355033554565196e-33
2.660000000000000000e+03 7.395512512181362222e-33
2.700000000000000000e+03 7.232476446318264670e-33
2.740000000000000000e+03 6.726303968653592680e-33
2.780000000000000000e+03 6.787273163246563988e-33
2.820000000000000000e+03 6.246917744711640503e-33
2.864000000000000000e+03 6.404168823882208110e-33
2.904000000000000000e+03 6.237538127511336090e-33
2.940000000000000000e+03 6.083346681212160579e-33
2.980000000000000000e+03 5.849659727811070885e-33
3.020000000000000000e+03 5.657632963832393396e-33
3.060000000000000000e+03 5.035562490015456395e-33
3.100000000000000000e+03 5.344990543434219931e-33
3.140000000000000000e+03 5.024065024256382836e-33
3.180000000000000000e+03 5.008320111365460797e-33
3.220000000000000000e+03 4.937463155737343887e-33
3.260000000000000000e+03 4.812584275282366871e-33
3.300000000000000000e+03 4.707583632098127331e-33
3.340000000000000000e+03 4.252542587549655442e-33
3.380000000000000000e+03 4.436407071237495271e-33
3.420000000000000000e+03 4.286327468638715409e-33
3.460000000000000000e+03 4.222556739981091552e-33
3.500000000000000000e+03 4.137328276903271097e-33
3.540000000000000000e+03 4.029537519015021313e-33
3.580000000000000000e+03 3.934812965982004512e-33
3.620000000000000000e+03 3.810552655878240392e-33
3.660000000000000000e+03 3.973036270314856106e-33
3.700000000000000000e+03 5.796781982769419180e-33
3.740000000000000000e+03 7.842114046955688478e-33
3.780000000000000000e+03 1.030374596504856354e-32
3.820000000000000000e+03 1.216054185794880859e-32
3.860000000000000000e+03 1.370036056713230675e-32
3.900000000000000000e+03 7.030388741445324737e-33
3.940000000000000000e+03 1.305415441844835799e-32
3.980000000000000000e+03 1.219682649258429159e-32
4.020000000000000000e+03 1.399587531642313173e-32
4.060000000000000000e+03 1.304724304822344664e-32
4.100000000000000000e+03 7.065021430350664596e-33
4.140000000000000000e+03 1.133085008382729485e-32
4.180000000000000000e+03 1.557769259182299230e-32
4.220000000000000000e+03 1.520685765282602309e-32
4.260000000000000000e+03 1.294794916852090658e-32
4.300000000000000000e+03 1.417828549080239173e-32
4.340000000000000000e+03 1.196442974979949563e-32
4.380000000000000000e+03 1.395739691278467492e-32
4.420000000000000000e+03 1.335234746245778530e-32
4.460000000000000000e+03 1.320192850291311123e-32
4.500000000000000000e+03 1.217301399625151165e-32
