# D_a D_b
2.725204175226036973e-03 3.685045575597789558e-03
2.819570184444564198e-03 3.812584313462874519e-03
2.916230371357686479e-03 3.943219275034937077e-03
3.015217097429245818e-03 4.076993874445156152e-03
3.116562842393699739e-03 4.213951671740767679e-03
3.220300202642079057e-03 4.354136370290029312e-03
3.326461889587517540e-03 4.497591814187629211e-03
3.435080728033446107e-03 4.644361985623457478e-03
3.546189654537790226e-03 4.794491002272360802e-03
3.659821715770505968e-03 4.948023114636046493e-03
3.776010066860568948e-03 5.105002703381877893e-03
3.894787969751734025e-03 5.265474276686554767e-03
4.016188791536756675e-03 5.429482467534607615e-03
4.140246002788394719e-03 5.597072031012562121e-03
4.266993175892075385e-03 5.768287841599550880e-03
4.396463983364906625e-03 5.943174890422175949e-03
4.528692196160588601e-03 6.121778282502599033e-03
4.663711681983206958e-03 6.304143233986758688e-03
4.801556403579376742e-03 6.490315069356711319e-03
4.942260417025168273e-03 6.680339218614106400e-03
5.085857870008259063e-03 6.874261214467991543e-03
5.232383000099427584e-03 7.072126689471658345e-03
5.381870133005950407e-03 7.273981373177917931e-03
5.534353680836767708e-03 7.479871089236977966e-03
5.689868140336451496e-03 7.689841752493431493e-03
5.848448091120506120e-03 7.903939366069923089e-03
6.010128193897457116e-03 8.122210018414288690e-03
6.174943188682502360e-03 8.344699880327932640e-03
6.342927893000172013e-03 8.571455201984323757e-03
6.514117200069224900e-03 8.802522309921623211e-03
6.688546076993429068e-03 9.037947603991791645e-03
6.866249562922588368e-03 9.277777554327348852e-03
7.047262767213791079e-03 9.522058698245627895e-03
7.231620867575783151e-03 9.770837637163576339e-03
7.419359108206347031e-03 1.002416103346448484e-02
7.610512797908697280e-03 1.028207560735450166e-02
7.805117308209541527e-03 1.054462813369205776e-02
8.003208071453937755e-03 1.081186543879619766e-02
8.204820578887495053e-03 1.108383439722160357e-02
8.409990378734133465e-03 1.136058192852562598e-02
8.618753074256413349e-03 1.164215499399701148e-02
8.831144321799322405e-03 1.192860059336364742e-02
9.047199828825180923e-03 1.221996576148198788e-02
9.266955351938110930e-03 1.251629756499228474e-02
9.490446694887855195e-03 1.281764309894972698e-02
9.717709706565158534e-03 1.312404948344414457e-02
9.948780278983493375e-03 1.343556386016930837e-02
1.018369434524024619e-02 1.375223338899911329e-02
1.042248787747679373e-02 1.407410524450491973e-02
1.066519688481259998e-02 1.440122661246423519e-02
1.091185741127098652e-02 1.473364468635018909e-02
1.116250553368802745e-02 1.507140666378081750e-02
1.141717735961012004e-02 1.541455974294447806e-02
1.167590902517456897e-02 1.576315111900850052e-02
1.193873669297296214e-02 1.611722798049886052e-02
1.220569654990988351e-02 1.647683750563522231e-02
1.247682480503575775e-02 1.684202685867164373e-02
1.275215768736925881e-02 1.721284318618088172e-02
1.303173144370639580e-02 1.758933361333370193e-02
1.331558233641016997e-02 1.797154524013966359e-02
1.360374664119101684e-02 1.835952513766370142e-02
1.389626064486726431e-02 1.875332034421794969e-02
1.419316064311326731e-02 1.915297786152669879e-02
1.449448293818744737e-02 1.955854465086059868e-02
1.480026383665189460e-02 1.997006762915154443e-02
1.511053964707376185e-02 2.038759366507647552e-02
1.542534667770700807e-02 2.081116957511175425e-02
1.574472123416303937e-02 2.124084211956744905e-02
1.606869961706780536e-02 2.167665799859053166e-02
1.639731811969780129e-02 2.211866384813976349e-02
1.673061302560174823e-02 2.256690623594348466e-02
1.706862060621250343e-02 2.302143165741488140e-02
1.741137711843088187e-02 2.348228653156403389e-02
1.775891880220981101e-02 2.394951719685733948e-02
1.811128187810784329e-02 2.442316990706561164e-02
1.846850254483911602e-02 2.490329082709030750e-02
1.883061697679300206e-02 2.538992602875322913e-02
1.919766132155953375e-02 2.588312148655902423e-02
1.956967169741119505e-02 2.638292307344525245e-02
1.994668419079959065e-02 2.688937655649825675e-02
2.032873485380470857e-02 2.740252759263317461e-02
2.071585970160050305e-02 2.792242172427250591e-02
2.110809470987495828e-02 2.844910437497383260e-02
2.150547581225248361e-02 2.898262084505420777e-02
2.190803889770454038e-02 2.952301630717402148e-02
2.231581980792030073e-02 3.007033580190265898e-02
2.272885433469151728e-02 3.062462423326040017e-02
2.314717821725997826e-02 3.118592636423145326e-02
2.357082713965774623e-02 3.175428681225500593e-02
2.399983672803418511e-02 3.232975004469684777e-02
2.443424254796255912e-02 3.291236037428857397e-02
2.487408010173186579e-02 3.350216195454835955e-02
2.531938482562667847e-02 3.409919877518008402e-02
2.577019208718811516e-02 3.470351465744347941e-02
2.622653718245693266e-02 3.531515324950351697e-02
2.668845533321273500e-02 3.593415802176469498e-02
2.715598168418520419e-02 3.656057226216713474e-02
2.762915130025833665e-02 3.719443907148178852e-02
2.810799916364992157e-02 3.783580135856268178e-02
2.859256017109501613e-02 3.848470183558805324e-02
2.908286913098967474e-02 3.914118301328339822e-02
2.957896076053900813e-02 3.980528719611897692e-02
3.008086968288881113e-02 4.047705647748445212e-02
3.058863042422499401e-02 4.115653273484998209e-02
3.110227741088877895e-02 4.184375762489689343e-02
3.162184496644337983e-02 4.253877257864968620e-02
3.214736730875722426e-02 4.324161879655841201e-02
3.267887854705053829e-02 4.395233724358671434e-02
3.321641267894026583e-02 4.467096864427999581e-02
3.376000358746666929e-02 4.539755347779572681e-02
3.430968503811160364e-02 4.613213197293852819e-02
3.486549067578814665e-02 4.687474410317082896e-02
3.542745402184210857e-02 4.762542958159488027e-02
3.599560847100979899e-02 4.838422785593932129e-02
3.656998728839189194e-02 4.915117810350910776e-02
3.715062360638987649e-02 4.992631922614543249e-02
3.773755042165072293e-02 5.070968984513679612e-02
3.833080059197868650e-02 5.150132829614184615e-02
3.893040683325121876e-02 5.230127262409778321e-02
3.953640171631189748e-02 5.310956057809279596e-02
4.014881766386124706e-02 5.392622960624815498e-02
4.076768694731947029e-02 5.475131685058476361e-02
4.139304168369972725e-02 5.558485914185951060e-02
4.202491383244366663e-02 5.642689299441328021e-02
4.266333519227349935e-02 5.727745460099686881e-02
4.330833739800610260e-02 5.813657982758035914e-02
4.395995191737489538e-02 5.900430420816415999e-02
4.461821004783839140e-02 5.988066293957983177e-02
4.528314291336288377e-02 6.076569087626859655e-02
4.595478146122133900e-02 6.165942252506617649e-02
4.663315645875065751e-02 6.256189203998052673e-02
4.731829849013236000e-02 6.347313321694270094e-02
4.801023795313152931e-02 6.439317948857936624e-02
4.870900505585085138e-02 6.532206391896011599e-02
4.941462981346178562e-02 6.625981919833978662e-02
5.012714204493662340e-02 6.720647763790699170e-02
5.084657136975545555e-02 6.816207116452521753e-02
5.157294720462879400e-02 6.912663131546092909e-02
5.230629876018555446e-02 7.010018923312155703e-02
5.304665503767813650e-02 7.108277565978227130e-02
5.379404482565575130e-02 7.207442093232396818e-02
5.454849669665595702e-02 7.307515497695082907e-02
5.531003900386222139e-02 7.408500730392486577e-02
5.607869987777680532e-02 7.510400700229824533e-02
5.685450722287355152e-02 7.613218273464228414e-02
5.763748871425555809e-02 7.716956273177366654e-02
5.842767179428942637e-02 7.821617478750486629e-02
5.922508366925893775e-02 7.927204625337103128e-02
6.002975130598475761e-02 8.033720403337962779e-02
6.084170142846601070e-02 8.141167457876441471e-02
6.166096051449720949e-02 8.249548388273186816e-02
6.248755479228917942e-02 8.358865747522847833e-02
6.332151023709131632e-02 8.469122041771381948e-02
6.416285256779341584e-02 8.580319729792940109e-02
6.501160724354559939e-02 8.692461222469205495e-02
6.586779946035392630e-02 8.805548882269365052e-02
6.673145414769288131e-02 8.919585022729747958e-02
6.760259596509810009e-02 9.034571907936961299e-02
6.848124929876908684e-02 9.150511752010570543e-02
6.936743825816438225e-02 9.267406718587078984e-02
7.026118667260228268e-02 9.385258920306216446e-02
7.116251808784590516e-02 9.504070418298760092e-02
7.207145576270856946e-02 9.623843221674532877e-02
7.298802266563608754e-02 9.744579287013532820e-02
7.391224147131236766e-02 9.866280517857983767e-02
7.484413455724359121e-02 9.988948764207095099e-02
7.578372400036326173e-02 1.011258582201233214e-01
7.673103157362082261e-02 1.023719343267585069e-01
7.768607874258559587e-02 1.036277328255104102e-01
7.864888666204428169e-02 1.048932700244467053e-01
7.961947617260989318e-02 1.061685616712094715e-01
8.059786779732003303e-02 1.074536229480986815e-01
8.158408173825504317e-02 1.087484684671564672e-01
8.257813787314161047e-02 1.100531122652905758e-01
8.358005575198168557e-02 1.113675677994280244e-01
8.458985459366530346e-02 1.126918479416816332e-01
8.560755328260161168e-02 1.140259649745570814e-01
8.663317036535511662e-02 1.153699305861904945e-01
8.766672404727693380e-02 1.167237558656027963e-01
8.870823218915746544e-02 1.180874512979992463e-01
8.975771230387241673e-02 1.194610267601007303e-01
9.081518155304757478e-02 1.208444915154934796e-01
9.188065674372059011e-02 1.222378542100340804e-01
9.295415432501852315e-02 1.236411228672756879e-01
9.403569038484149711e-02 1.250543048839299898e-01
9.512528064655878524e-02 1.264774070253756877e-01
9.622294046570289971e-02 1.279104354212005079e-01
9.732868482669332355e-02 1.293533955607784058e-01
9.844252833954880710e-02 1.308062922888937329e-01
9.956448523663075090e-02 1.322691298014011529e-01
1.006945693693795940e-01 1.337419116409355180e-01
1.018327942050827328e-01 1.352246406926532751e-01
1.029791728236348902e-01 1.367173191800283849e-01
1.041337179143277947e-01 1.382199486606920935e-01
1.052964417726409696e-01 1.397325300223150046e-01
1.064673562970607223e-01 1.412550634785346704e-01
1.076464729858939151e-01 1.427875485649442444e-01
1.088338029341189284e-01 1.443299841351146640e-01
1.100293568302308511e-01 1.458823683566753404e-01
1.112331449531214211e-01 1.474446987074524706e-01
1.124451771689604085e-01 1.490169719716440966e-01
1.136654629281033113e-01 1.505991842360621114e-01
1.148940112620155940e-01 1.521913308864273340e-01
1.161308307802075834e-01 1.537934066037118797e-01
1.173759296672003405e-01 1.554054053605452568e-01
1.186293156794980819e-01 1.570273204176828585e-01
1.198909961425889126e-01 1.586591443205173091e-01
1.211609779479599913e-01 1.603008688956684136e-01
1.224392675501432270e-01 1.619524852476216248e-01
1.237258709637644172e-01 1.636139837554297927e-01
1.250207937606356845e-01 1.652853540694818602e-01
1.263240410668505787e-01 1.669665851083375063e-01
1.276356175599189235e-01 1.686576650556166346e-01
1.289555274659086592e-01 1.703585813569651330e-01
1.302837745566297611e-01 1.720693207170814754e-01
1.316203621468230445e-01 1.737898690968192605e-01
1.329652930913943765e-01 1.755202117103458193e-01
1.343185697826537739e-01 1.772603330223823104e-01
1.356801941475994644e-01 1.790102167455138726e-01
1.370501676452138273e-01 1.807698458375662787e-01
1.384284912638008569e-01 1.825392024990564188e-01
1.398151655183341724e-01 1.843182681707258297e-01
1.412101904478517689e-01 1.861070235311372834e-01
1.426135656128633133e-01 1.879054484943546433e-01
1.440252900928024049e-01 1.897135222077035444e-01
1.454453624834931569e-01 1.915312230495967993e-01
1.468737808946595225e-01 1.933585286274527304e-01
1.483105429474639303e-01 1.951954157756901065e-01
1.497556457720686796e-01 1.970418605537970214e-01
1.512090860052444086e-01 1.988978382444891446e-01
1.526708597879948837e-01 2.007633233519542371e-01
1.541409627632330803e-01 2.026382896001653888e-01
1.556193900734706981e-01 2.045227099313000618e-01
1.571061363585671833e-01 2.064165565042288542e-01
1.586011957534864125e-01 2.083198006930939705e-01
1.601045618861161035e-01 2.102324130859815066e-01
1.616162278750969961e-01 2.121543634836813297e-01
1.631361863277156488e-01 2.140856208985272291e-01
1.646644293378083379e-01 2.160261535533379851e-01
1.662009484837282391e-01 2.179759288804458128e-01
1.677457348263272641e-01 2.199349135208185091e-01
1.692987789069977378e-01 2.219030733232688624e-01
1.708600707457379464e-01 2.238803733437646493e-01
1.724295998392675333e-01 2.258667778448333330e-01
1.740073551591783119e-01 2.278622502950575779e-01
1.755933251501328174e-01 2.298667533686676867e-01
1.771874977280940566e-01 2.318802489452381765e-01
1.787898602786111013e-01 2.339026981094732838e-01
1.804003996551325484e-01 2.359340611510953867e-01
1.820191021773807094e-01 2.379742975648377890e-01
1.836459536297521122e-01 2.400233660505264321e-01
1.852809392597760674e-01 2.420812245132721863e-01
1.869240437766128693e-01 2.441478300637656140e-01
