# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.799999999999999933e-01 2.861200000000000000e+08 5.000000000000000278e-02 2.110140612164396589e+04 2.719758480019872447e-03 7.963752635479025344e+00
2.000000000000000000e+00 7.328000000000000069e-01 9.200000000000000400e-01 1.609000000000000000e+08 5.000000000000000278e-02 3.494440375130852044e+04 6.692975603198935504e-05 1.155294299359484711e+01
3.000000000000000000e+00 8.060000000000000497e-01 8.699999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+00 3.366896970814617089e+04 1.197799626542687105e-04 1.307014610088350715e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 6.844000000000000083e-01 2.390000000000000124e+00 1.000000000000000000e+07 1.000000000000000000e+01 7.989829841155158647e+04 3.472638749450398719e-07 5.206316128810122734e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.799999999999999822e-01 1.015200000000000000e+09 1.000000000000000000e+00 5.085754914665061369e+04 2.906783324685914327e-05 3.438704411894120483e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.209999999999999964e+00 2.025600000000000000e+08 5.000000000000000278e-02 7.094404191560328763e+04 2.020880864696677099e-05 3.216226144143313093e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 1.266999999999999904e+00 1.320000000000000062e+00 9.047900160000000000e+08 1.000000000000000000e+01 3.120969158778044584e+04 2.960221100033554721e-06 1.389298978591901346e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 6.630000000000000338e-01 7.000000000000000666e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.307955969191411168e+04 3.249531923221853080e-04 5.504130126528004041e+00
1.500000000000000000e+01 1.135999999999999899e+00 1.050000000000000044e+00 9.047900160000000000e+08 1.000000000000000000e+00 6.227289290541636728e+04 1.553660313481468664e-05 1.640681282734035662e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.969999999999999973e+00 6.405400320000000000e+08 1.000000000000000000e+00 9.571250583687998005e+04 4.217819132727318426e-06 2.256095390032406556e+01
1.800000000000000000e+01 6.594999999999999751e-01 6.800000000000000488e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.686984574793735374e+04 1.514768767424521821e-04 1.264363996837724891e+01
1.900000000000000000e+01 6.670000000000000373e-01 6.500000000000000222e-01 2.861200000000000000e+08 5.000000000000000278e-02 1.248509843783924152e+05 2.107171728135866985e-05 6.296254304277829839e+00
2.000000000000000000e+01 3.029999999999999916e-01 4.100000000000000311e-01 3.210300160000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.983064591864012050e-04 5.135088891482369178e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 2.706599999999999895e+00 2.780000000000000249e+00 1.609000000000000000e+08 5.000000000000000278e-02 6.080568353335301799e+04 1.542171447972561055e-05 1.855754389233897683e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 2.813999999999999835e-01 4.199999999999999845e-01 2.025600000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 3.904631203459887814e-04 2.140621516054105200e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 1.048999999999999932e+00 1.070000000000000062e+00 5.750000130000000000e+09 1.000000000000000000e+01 1.043313820013187797e+05 1.739681700050383158e-06 1.287607117781631416e+01
2.800000000000000000e+01 3.071499999999999897e+00 3.129999999999999893e+00 2.272700000000000000e+08 5.000000000000000278e-02 4.463308494766585500e+04 4.814976724557082890e-06 3.066624215237579065e+01
2.900000000000000000e+01 2.146000000000000130e-01 3.800000000000000044e-01 1.609000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 5.455789046642524863e-04 2.038361174490194827e+01
3.000000000000000000e+01 2.100999999999999979e+00 2.270000000000000018e+00 1.609000000000000000e+08 5.000000000000000278e-02 6.142876899751633755e+04 2.079465815387606867e-05 7.435691962118183618e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 8.396000000000000130e-01 9.100000000000000311e-01 1.434000000000000000e+08 5.000000000000000278e-02 5.928329887937814055e+04 6.947030471304293533e-05 6.307556734595750392e+00
3.300000000000000000e+01 1.090000000000000080e+00 1.020000000000000018e+00 2.400000000000000000e+09 1.000000000000000000e+01 9.426001352427169331e+04 3.741728292480914212e-06 1.564376172029002632e+01
3.400000000000000000e+01 1.088700000000000001e+00 1.030000000000000027e+00 2.272700000000000000e+08 5.000000000000000278e-02 1.432900289421369380e+05 4.328171749351396094e-06 1.494985767712647196e+01
3.500000000000000000e+01 2.611000000000000210e+00 2.859999999999999876e+00 1.434000000000000000e+09 1.000000000000000000e+01 7.960112716843330418e+04 7.452261968225547821e-07 2.429994755275681229e+01
3.600000000000000000e+01 2.098700000000000010e+00 2.189999999999999947e+00 7.187000320000000000e+08 1.000000000000000000e+01 6.665032329696480883e+04 1.088407746386981368e-06 2.226505797322633384e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 4.868000000000000105e-01 4.600000000000000200e-01 1.805300000000000000e+08 5.000000000000000278e-02 1.244656658961807116e+05 2.570415559116402693e-05 2.433684063608807513e+00
3.900000000000000000e+01 1.135000000000000009e+00 1.060000000000000053e+00 1.015200000000000000e+09 1.000000000000000000e+00 5.962976363318089716e+04 3.848798569024477069e-05 1.293278714526539908e+01
4.000000000000000000e+01 1.277000000000000079e-01 4.600000000000000200e-01 2.272700000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 2.800814693381675096e-04 2.873277542775706195e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 1.350999999999999979e+00 1.360000000000000098e+00 7.187000320000000000e+08 1.000000000000000000e+00 3.401246495583453361e+04 3.237902725117034446e-05 9.494229568862246893e+00
4.300000000000000000e+01 2.416999999999999982e-01 3.900000000000000133e-01 2.550000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.310585848984731653e-03 1.631895676588782962e+01
4.400000000000000000e+01 3.481000000000000205e-01 4.600000000000000200e-01 1.805300000000000000e+08 5.000000000000000278e-02 6.542404433880978468e+04 1.522481585208366312e-04 1.257414148228484407e+01
4.500000000000000000e+01 1.427999999999999936e+00 1.459999999999999964e+00 7.187000320000000000e+08 1.000000000000000000e+00 2.749031438876823449e+04 1.598044786054360615e-05 2.329566170027863947e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.700000000000000000e+01 2.165900000000000158e+00 2.760000000000000231e+00 3.602000000000000000e+08 1.000000000000000000e+01 5.796803400468428663e+03 1.305606166785351973e-06 1.007408082734178834e+01
4.800000000000000000e+01 9.829999999999999849e-01 8.699999999999999956e-01 1.015200000000000000e+09 1.000000000000000000e+00 7.852037110986172047e+04 1.340158348779835869e-05 1.357375162717520389e+01
4.900000000000000000e+01 6.660000000000000364e-01 6.400000000000000133e-01 1.609000000000000000e+08 5.000000000000000278e-02 8.113175587933238421e+04 3.961657531257614472e-05 5.323627359897604272e+00
5.000000000000000000e+01 6.596999999999999531e-01 5.899999999999999689e-01 1.805300000000000000e+08 5.000000000000000278e-02 7.529410057360693145e+02 1.139297509283802005e-04 1.155395131923126506e+01
5.100000000000000000e+01 7.329999999999999849e-01 7.099999999999999645e-01 1.609000000000000000e+08 5.000000000000000278e-02 5.196679494412884378e+04 8.091621244541782074e-05 5.821267534967088153e+00
5.200000000000000000e+01 1.469000000000000083e+00 1.510000000000000009e+00 1.680000000000000000e+09 1.000000000000000000e+01 1.416102693070921232e+05 3.412584546263793591e-07 6.778527743600126776e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+01 6.600000000000000311e-01 6.400000000000000133e-01 2.272700000000000000e+08 1.000000000000000000e+00 1.370478593150145316e+05 5.854122853976435216e-06 9.806184475924910160e+00
5.500000000000000000e+01 2.765000000000000235e-01 2.200000000000000011e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 7.724354196520714748e-03 6.784916867543687502e+00
5.600000000000000000e+01 1.461000000000000076e+00 1.429999999999999938e+00 2.600000000000000000e+09 1.000000000000000000e+01 6.351467613471049117e+04 1.801501461742693242e-06 1.353274241043986414e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000000e+01 1.145999999999999908e+00 1.060000000000000053e+00 5.750000130000000000e+09 1.000000000000000000e+01 9.202058690846314130e+04 1.068145207926024457e-06 2.325512116046501632e+01
5.900000000000000000e+01 8.244000000000000217e-01 9.200000000000000400e-01 2.025600000000000000e+08 5.000000000000000278e-02 6.165085510497355244e+03 9.197455013931592205e-05 8.579847321509639357e+00
6.000000000000000000e+01 1.036299999999999999e+00 1.000000000000000000e+00 1.015200000000000000e+09 1.000000000000000000e+00 5.907629194908044883e+04 8.891738654509280849e-06 7.778543389630948823e+00
6.100000000000000000e+01 2.542600000000000193e+00 2.780000000000000249e+00 8.064000000000000000e+08 1.000000000000000000e+01 7.029219227009190945e+04 9.203527498542337054e-07 2.813491584301230475e+01
6.200000000000000000e+01 6.626999999999999558e-01 2.569999999999999840e+00 1.000000000000000000e+07 1.000000000000000000e+01 9.039774628990334168e+04 3.878182945789445776e-07 2.895552882836621578e+01
6.300000000000000000e+01 1.237000000000000044e-01 1.600000000000000033e-01 2.550000000000000000e+08 5.000000000000000278e-02 8.707932452270180875e+03 7.228585724068789997e-04 1.863351462816535431e+01
6.400000000000000000e+01 1.016999999999999904e+00 9.799999999999999822e-01 3.249999870000000000e+09 1.000000000000000000e+01 1.362477249247396539e+05 2.244221241409680948e-06 3.572651510894864657e+00
6.500000000000000000e+01 6.720000000000000417e-01 5.700000000000000622e-01 4.534700160000000000e+08 5.000000000000000278e-02 1.234778252579807449e+05 1.481957269727712707e-05 5.753416426786348126e+00
6.600000000000000000e+01 1.274000000000000132e-01 4.799999999999999822e-01 2.550000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 6.690774990117888854e-05 2.048815183838506115e+01
6.700000000000000000e+01 4.441999999999999837e-01 4.500000000000000111e-01 2.272700000000000000e+08 5.000000000000000278e-02 4.502880042112132651e+04 5.712882966470978190e-04 2.826707871010291750e+00
6.800000000000000000e+01 2.703399999999999803e+00 2.750000000000000000e+00 1.805300000000000000e+08 5.000000000000000278e-02 1.889550256918213199e+04 1.189317364436969389e-05 8.978400161345930997e+00
6.900000000000000000e+01 6.611000000000000210e-01 5.500000000000000444e-01 1.015200000000000000e+09 5.000000000000000278e-02 9.391844256752420915e+04 3.005356211922894627e-06 2.880880700279393913e+00
7.000000000000000000e+01 9.509999999999999565e-01 8.300000000000000711e-01 1.139100030000000000e+09 1.000000000000000000e+00 5.571867737098110956e+04 1.568176148347629221e-05 1.152078892475577732e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000000e+01 1.133999999999999897e+00 1.090000000000000080e+00 4.000000000000000000e+09 1.000000000000000000e+01 7.742407751486526104e+04 2.961413937539802855e-06 1.446161922861314153e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.400000000000000000e+01 1.352000000000000091e+00 1.350000000000000089e+00 5.088000000000000000e+08 1.000000000000000000e+00 3.878591599409827177e+04 1.164876617360552117e-05 7.869036314049864700e+00
7.500000000000000000e+01 1.274000000000000132e-01 1.600000000000000033e-01 3.602000000000000000e+08 5.000000000000000278e-02 4.879047052430993062e+03 8.571903872890769722e-04 1.556700172502573665e+01
