./fitspec.sh: 1: ./fitspec.sh: !#/bin/bash: not found
Age: 904790016.0, fitting to redshift 5.0, with tau: 0.05
Age: 904790016.0, fitting to redshift 5.0, with tau: 1
Age: 904790016.0, fitting to redshift 5.0, with tau: 10
Age: 1015200000.0, fitting to redshift 5.0, with tau: 0.05
Age: 1015200000.0, fitting to redshift 5.0, with tau: 1
Age: 1015200000.0, fitting to redshift 5.0, with tau: 10
Age: 1139100030.0, fitting to redshift 5.0, with tau: 0.05
Age: 1139100030.0, fitting to redshift 5.0, with tau: 1
Age: 1139100030.0, fitting to redshift 5.0, with tau: 10
Age: 1278099970.0, fitting to redshift 5.0, with tau: 0.05
Age: 1278099970.0, fitting to redshift 5.0, with tau: 1
Age: 1278099970.0, fitting to redshift 5.0, with tau: 10
Age: 1434000000.0, fitting to redshift 4.96, with tau: 0.05
Age: 1434000000.0, fitting to redshift 4.96, with tau: 1
Age: 1434000000.0, fitting to redshift 4.96, with tau: 10
Age: 1608999940.0, fitting to redshift 4.44, with tau: 0.05
Age: 1608999940.0, fitting to redshift 4.44, with tau: 1
Age: 1608999940.0, fitting to redshift 4.44, with tau: 10
Age: 1680000000.0, fitting to redshift 4.27, with tau: 0.05
Age: 1680000000.0, fitting to redshift 4.27, with tau: 1
Age: 1680000000.0, fitting to redshift 4.27, with tau: 10
Age: 1700000000.0, fitting to redshift 4.22, with tau: 0.05
Age: 1700000000.0, fitting to redshift 4.22, with tau: 1
Age: 1700000000.0, fitting to redshift 4.22, with tau: 10
Age: 1800000000.0, fitting to redshift 3.99, with tau: 0.05
Age: 1800000000.0, fitting to redshift 3.99, with tau: 1
Age: 1800000000.0, fitting to redshift 3.99, with tau: 10
Age: 1900000000.0, fitting to redshift 3.79, with tau: 0.05
Age: 1900000000.0, fitting to redshift 3.79, with tau: 1
Age: 1900000000.0, fitting to redshift 3.79, with tau: 10
Age: 2000000000.0, fitting to redshift 3.61, with tau: 0.05
Age: 2000000000.0, fitting to redshift 3.61, with tau: 1
Age: 2000000000.0, fitting to redshift 3.61, with tau: 10
Age: 2100000000.0, fitting to redshift 3.44, with tau: 0.05
Age: 2100000000.0, fitting to redshift 3.44, with tau: 1
Age: 2100000000.0, fitting to redshift 3.44, with tau: 10
Age: 2200000000.0, fitting to redshift 3.29, with tau: 0.05
Age: 2200000000.0, fitting to redshift 3.29, with tau: 1
Age: 2200000000.0, fitting to redshift 3.29, with tau: 10
Age: 2300000000.0, fitting to redshift 3.15, with tau: 0.05
Age: 2300000000.0, fitting to redshift 3.15, with tau: 1
Age: 2300000000.0, fitting to redshift 3.15, with tau: 10
Age: 2400000000.0, fitting to redshift 3.02, with tau: 0.05
Age: 2400000000.0, fitting to redshift 3.02, with tau: 1
Age: 2400000000.0, fitting to redshift 3.02, with tau: 10
Age: 2500000000.0, fitting to redshift 2.9, with tau: 0.05
Age: 2500000000.0, fitting to redshift 2.9, with tau: 1
Age: 2500000000.0, fitting to redshift 2.9, with tau: 10
Age: 2600000000.0, fitting to redshift 2.78, with tau: 0.05
Age: 2600000000.0, fitting to redshift 2.78, with tau: 1
Age: 2600000000.0, fitting to redshift 2.78, with tau: 10
Age: 2750000130.0, fitting to redshift 2.63, with tau: 0.05
Age: 2750000130.0, fitting to redshift 2.63, with tau: 1
Age: 2750000130.0, fitting to redshift 2.63, with tau: 10
Age: 3000000000.0, fitting to redshift 2.41, with tau: 0.05
Age: 3000000000.0, fitting to redshift 2.41, with tau: 1
Age: 3000000000.0, fitting to redshift 2.41, with tau: 10
Age: 3249999870.0, fitting to redshift 2.21, with tau: 0.05
Age: 3249999870.0, fitting to redshift 2.21, with tau: 1
Age: 3249999870.0, fitting to redshift 2.21, with tau: 10
Age: 3500000000.0, fitting to redshift 2.04, with tau: 0.05
Age: 3500000000.0, fitting to redshift 2.04, with tau: 1
Age: 3500000000.0, fitting to redshift 2.04, with tau: 10
Age: 3750000130.0, fitting to redshift 1.89, with tau: 0.05
Age: 3750000130.0, fitting to redshift 1.89, with tau: 1
Age: 3750000130.0, fitting to redshift 1.89, with tau: 10
Age: 4000000000.0, fitting to redshift 1.76, with tau: 0.05
Age: 4000000000.0, fitting to redshift 1.76, with tau: 1
Age: 4000000000.0, fitting to redshift 1.76, with tau: 10
Age: 4249999870.0, fitting to redshift 1.64, with tau: 0.05
Age: 4249999870.0, fitting to redshift 1.64, with tau: 1
Age: 4249999870.0, fitting to redshift 1.64, with tau: 10
Age: 4499999740.0, fitting to redshift 1.53, with tau: 0.05
Age: 4499999740.0, fitting to redshift 1.53, with tau: 1
Age: 4499999740.0, fitting to redshift 1.53, with tau: 10
Age: 4750000130.0, fitting to redshift 1.43, with tau: 0.05
Age: 4750000130.0, fitting to redshift 1.43, with tau: 1
Age: 4750000130.0, fitting to redshift 1.43, with tau: 10
Age: 5000000000.0, fitting to redshift 1.34, with tau: 0.05
Age: 5000000000.0, fitting to redshift 1.34, with tau: 1
Age: 5000000000.0, fitting to redshift 1.34, with tau: 10
Age: 5249999870.0, fitting to redshift 1.26, with tau: 0.05
Age: 5249999870.0, fitting to redshift 1.26, with tau: 1
Age: 5249999870.0, fitting to redshift 1.26, with tau: 10
Age: 5500000260.0, fitting to redshift 1.18, with tau: 0.05
Age: 5500000260.0, fitting to redshift 1.18, with tau: 1
Age: 5500000260.0, fitting to redshift 1.18, with tau: 10
Age: 5750000130.0, fitting to redshift 1.11, with tau: 0.05
Age: 5750000130.0, fitting to redshift 1.11, with tau: 1
Age: 5750000130.0, fitting to redshift 1.11, with tau: 10
Age: 6000000000.0, fitting to redshift 1.04, with tau: 0.05
Age: 6000000000.0, fitting to redshift 1.04, with tau: 1
Age: 6000000000.0, fitting to redshift 1.04, with tau: 10
Age: 6249999870.0, fitting to redshift 0.98, with tau: 0.05
Age: 6249999870.0, fitting to redshift 0.98, with tau: 1
Age: 6249999870.0, fitting to redshift 0.98, with tau: 10
Age: 6499999740.0, fitting to redshift 0.92, with tau: 0.05
Age: 6499999740.0, fitting to redshift 0.92, with tau: 1
Age: 6499999740.0, fitting to redshift 0.92, with tau: 10
Age: 6750000130.0, fitting to redshift 0.87, with tau: 0.05
Age: 6750000130.0, fitting to redshift 0.87, with tau: 1
Age: 6750000130.0, fitting to redshift 0.87, with tau: 10
Age: 7000000000.0, fitting to redshift 0.82, with tau: 0.05
Age: 7000000000.0, fitting to redshift 0.82, with tau: 1
Age: 7000000000.0, fitting to redshift 0.82, with tau: 10
Age: 7249999870.0, fitting to redshift 0.77, with tau: 0.05
Age: 7249999870.0, fitting to redshift 0.77, with tau: 1
Age: 7249999870.0, fitting to redshift 0.77, with tau: 10
Age: 7500000260.0, fitting to redshift 0.72, with tau: 0.05
Age: 7500000260.0, fitting to redshift 0.72, with tau: 1
Age: 7500000260.0, fitting to redshift 0.72, with tau: 10
Age: 7750000130.0, fitting to redshift 0.68, with tau: 0.05
Age: 7750000130.0, fitting to redshift 0.68, with tau: 1
Age: 7750000130.0, fitting to redshift 0.68, with tau: 10
Age: 8000000000.0, fitting to redshift 0.64, with tau: 0.05
Age: 8000000000.0, fitting to redshift 0.64, with tau: 1
Age: 8000000000.0, fitting to redshift 0.64, with tau: 10
Age: 8249999870.0, fitting to redshift 0.6, with tau: 0.05
Age: 8249999870.0, fitting to redshift 0.6, with tau: 1
Age: 8249999870.0, fitting to redshift 0.6, with tau: 10
Age: 8499999740.0, fitting to redshift 0.56, with tau: 0.05
Age: 8499999740.0, fitting to redshift 0.56, with tau: 1
Age: 8499999740.0, fitting to redshift 0.56, with tau: 10
Age: 8750000130.0, fitting to redshift 0.52, with tau: 0.05
Age: 8750000130.0, fitting to redshift 0.52, with tau: 1
Age: 8750000130.0, fitting to redshift 0.52, with tau: 10
Age: 8999999490.0, fitting to redshift 0.49, with tau: 0.05
Age: 8999999490.0, fitting to redshift 0.49, with tau: 1
Age: 8999999490.0, fitting to redshift 0.49, with tau: 10
Age: 9249999870.0, fitting to redshift 0.46, with tau: 0.05
Age: 9249999870.0, fitting to redshift 0.46, with tau: 1
Age: 9249999870.0, fitting to redshift 0.46, with tau: 10
Age: 9500000260.0, fitting to redshift 0.42, with tau: 0.05
Age: 9500000260.0, fitting to redshift 0.42, with tau: 1
Age: 9500000260.0, fitting to redshift 0.42, with tau: 10
Age: 9749999620.0, fitting to redshift 0.39, with tau: 0.05
Age: 9749999620.0, fitting to redshift 0.39, with tau: 1
Age: 9749999620.0, fitting to redshift 0.39, with tau: 10
Age: 10000000000.0, fitting to redshift 0.36, with tau: 0.05
Age: 10000000000.0, fitting to redshift 0.36, with tau: 1
Age: 10000000000.0, fitting to redshift 0.36, with tau: 10
Age: 10250000400.0, fitting to redshift 0.34, with tau: 0.05
Age: 10250000400.0, fitting to redshift 0.34, with tau: 1
Age: 10250000400.0, fitting to redshift 0.34, with tau: 10
Age: 10499999700.0, fitting to redshift 0.31, with tau: 0.05
Age: 10499999700.0, fitting to redshift 0.31, with tau: 1
Age: 10499999700.0, fitting to redshift 0.31, with tau: 10
Age: 10750000100.0, fitting to redshift 0.28, with tau: 0.05
Age: 10750000100.0, fitting to redshift 0.28, with tau: 1
Age: 10750000100.0, fitting to redshift 0.28, with tau: 10
Age: 11000000500.0, fitting to redshift 0.26, with tau: 0.05
Age: 11000000500.0, fitting to redshift 0.26, with tau: 1
Age: 11000000500.0, fitting to redshift 0.26, with tau: 10
Age: 11249999900.0, fitting to redshift 0.23, with tau: 0.05
Age: 11249999900.0, fitting to redshift 0.23, with tau: 1
Age: 11249999900.0, fitting to redshift 0.23, with tau: 10
Age: 11500000300.0, fitting to redshift 0.21, with tau: 0.05
Age: 11500000300.0, fitting to redshift 0.21, with tau: 1
Age: 11500000300.0, fitting to redshift 0.21, with tau: 10
Age: 11749999600.0, fitting to redshift 0.19, with tau: 0.05
Age: 11749999600.0, fitting to redshift 0.19, with tau: 1
Age: 11749999600.0, fitting to redshift 0.19, with tau: 10
Age: 12000000000.0, fitting to redshift 0.16, with tau: 0.05
Age: 12000000000.0, fitting to redshift 0.16, with tau: 1
Age: 12000000000.0, fitting to redshift 0.16, with tau: 10
Age: 12250000400.0, fitting to redshift 0.14, with tau: 0.05
Age: 12250000400.0, fitting to redshift 0.14, with tau: 1
Age: 12250000400.0, fitting to redshift 0.14, with tau: 10
Age: 12499999700.0, fitting to redshift 0.12, with tau: 0.05
Age: 12499999700.0, fitting to redshift 0.12, with tau: 1
Age: 12499999700.0, fitting to redshift 0.12, with tau: 10
Age: 12750000100.0, fitting to redshift 0.1, with tau: 0.05
Age: 12750000100.0, fitting to redshift 0.1, with tau: 1
Age: 12750000100.0, fitting to redshift 0.1, with tau: 10
Age: 12999999500.0, fitting to redshift 0.08, with tau: 0.05
Age: 12999999500.0, fitting to redshift 0.08, with tau: 1
Age: 12999999500.0, fitting to redshift 0.08, with tau: 10
Age: 13249999900.0, fitting to redshift 0.06, with tau: 0.05
Age: 13249999900.0, fitting to redshift 0.06, with tau: 1
Age: 13249999900.0, fitting to redshift 0.06, with tau: 10
Age: 13500000300.0, fitting to redshift 0.04, with tau: 0.05
Age: 13500000300.0, fitting to redshift 0.04, with tau: 1
Age: 13500000300.0, fitting to redshift 0.04, with tau: 10
Age: 13749999600.0, fitting to redshift 0.02, with tau: 0.05
Age: 13749999600.0, fitting to redshift 0.02, with tau: 1
Age: 13749999600.0, fitting to redshift 0.02, with tau: 10
Age: 10000000.0, fitting to redshift 5.0, with tau: 0.05
Age: 10000000.0, fitting to redshift 5.0, with tau: 1
Age: 10000000.0, fitting to redshift 5.0, with tau: 10
Age: 10471000.0, fitting to redshift 5.0, with tau: 0.05
Age: 10471000.0, fitting to redshift 5.0, with tau: 1
Age: 10471000.0, fitting to redshift 5.0, with tau: 10
Age: 10965000.0, fitting to redshift 5.0, with tau: 0.05
Age: 10965000.0, fitting to redshift 5.0, with tau: 1
Age: 10965000.0, fitting to redshift 5.0, with tau: 10
Age: 11482000.0, fitting to redshift 5.0, with tau: 0.05
Age: 11482000.0, fitting to redshift 5.0, with tau: 1
Age: 11482000.0, fitting to redshift 5.0, with tau: 10
Age: 12023000.0, fitting to redshift 5.0, with tau: 0.05
Age: 12023000.0, fitting to redshift 5.0, with tau: 1
Age: 12023000.0, fitting to redshift 5.0, with tau: 10
Age: 12589000.0, fitting to redshift 5.0, with tau: 0.05
Age: 12589000.0, fitting to redshift 5.0, with tau: 1
Age: 12589000.0, fitting to redshift 5.0, with tau: 10
Age: 13182000.0, fitting to redshift 5.0, with tau: 0.05
Age: 13182000.0, fitting to redshift 5.0, with tau: 1
Age: 13182000.0, fitting to redshift 5.0, with tau: 10
Age: 13804000.0, fitting to redshift 5.0, with tau: 0.05
Age: 13804000.0, fitting to redshift 5.0, with tau: 1
Age: 13804000.0, fitting to redshift 5.0, with tau: 10
Age: 14454000.0, fitting to redshift 5.0, with tau: 0.05
Age: 14454000.0, fitting to redshift 5.0, with tau: 1
Age: 14454000.0, fitting to redshift 5.0, with tau: 10
Age: 15136000.0, fitting to redshift 5.0, with tau: 0.05
Age: 15136000.0, fitting to redshift 5.0, with tau: 1
Age: 15136000.0, fitting to redshift 5.0, with tau: 10
Age: 15849000.0, fitting to redshift 5.0, with tau: 0.05
Age: 15849000.0, fitting to redshift 5.0, with tau: 1
Age: 15849000.0, fitting to redshift 5.0, with tau: 10
Age: 16596000.0, fitting to redshift 5.0, with tau: 0.05
Age: 16596000.0, fitting to redshift 5.0, with tau: 1
Age: 16596000.0, fitting to redshift 5.0, with tau: 10
Age: 17378000.0, fitting to redshift 5.0, with tau: 0.05
Age: 17378000.0, fitting to redshift 5.0, with tau: 1
Age: 17378000.0, fitting to redshift 5.0, with tau: 10
Age: 18197000.0, fitting to redshift 5.0, with tau: 0.05
Age: 18197000.0, fitting to redshift 5.0, with tau: 1
Age: 18197000.0, fitting to redshift 5.0, with tau: 10
Age: 19055000.0, fitting to redshift 5.0, with tau: 0.05
Age: 19055000.0, fitting to redshift 5.0, with tau: 1
Age: 19055000.0, fitting to redshift 5.0, with tau: 10
Age: 19953000.0, fitting to redshift 5.0, with tau: 0.05
Age: 19953000.0, fitting to redshift 5.0, with tau: 1
Age: 19953000.0, fitting to redshift 5.0, with tau: 10
Age: 20893000.0, fitting to redshift 5.0, with tau: 0.05
Age: 20893000.0, fitting to redshift 5.0, with tau: 1
Age: 20893000.0, fitting to redshift 5.0, with tau: 10
Age: 21878000.0, fitting to redshift 5.0, with tau: 0.05
Age: 21878000.0, fitting to redshift 5.0, with tau: 1
Age: 21878000.0, fitting to redshift 5.0, with tau: 10
Age: 22909000.0, fitting to redshift 5.0, with tau: 0.05
Age: 22909000.0, fitting to redshift 5.0, with tau: 1
Age: 22909000.0, fitting to redshift 5.0, with tau: 10
Age: 23988000.0, fitting to redshift 5.0, with tau: 0.05
Age: 23988000.0, fitting to redshift 5.0, with tau: 1
Age: 23988000.0, fitting to redshift 5.0, with tau: 10
Age: 25119000.0, fitting to redshift 5.0, with tau: 0.05
Age: 25119000.0, fitting to redshift 5.0, with tau: 1
Age: 25119000.0, fitting to redshift 5.0, with tau: 10
Age: 26303000.0, fitting to redshift 5.0, with tau: 0.05
Age: 26303000.0, fitting to redshift 5.0, with tau: 1
Age: 26303000.0, fitting to redshift 5.0, with tau: 10
Age: 27542000.0, fitting to redshift 5.0, with tau: 0.05
