# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 1.787999999999999867e-01 1.199999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.010703869145960887e-01 5.000000000000000278e-02 1.937342055489662287e-17 3.467542508505984777e+00 1.178985282562445593e-02 3.101722958747972548e+07
2.000000000000000000e+00 7.328000000000000069e-01 6.900000000000000577e-01 5.088000000000000000e+08 1.000000000000000000e+07 3.790426555198066483e-01 3.000000000000000444e-01 1.682192181929300381e-16 1.062238430385239596e+01 3.504705328844021750e+00 2.673276937489241600e+09
3.000000000000000000e+00 8.060000000000000497e-01 8.599999999999999867e-01 5.088000000000000000e+08 5.000000000000000000e+07 3.790426555198066483e-01 2.000000000000000111e-01 2.507114293811998298e-17 1.275162339786648147e+01 4.734988690705352887e-01 7.741059917251890898e+08
4.000000000000000000e+00 6.700000000000000400e-01 5.200000000000000178e-01 8.064000000000000000e+08 5.000000000000000000e+07 7.345771296661833816e-01 1.000000000000000056e-01 1.734377006864961660e-17 1.985811452523414289e+01 1.336070182991045407e-01 8.506141541368708611e+08
5.000000000000000000e+00 6.198000000000000176e-01 5.500000000000000444e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.080048279597983552e-01 9.500000000000000666e-01 1.225131870509062897e-15 1.513890291257738774e+00 1.065539815869941620e+01 4.042219738435215759e+10
6.000000000000000000e+00 6.844000000000000083e-01 5.899999999999999689e-01 5.088000000000000000e+08 1.000000000000000000e+07 3.790426555198066483e-01 0.000000000000000000e+00 1.255568381934931098e-16 8.067624432056061323e+01 1.963945984930760336e+00 1.215802130863008738e+09
7.000000000000000000e+00 1.088999999999999968e+00 9.500000000000000666e-01 8.064000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 0.000000000000000000e+00 3.233495533006689205e-17 2.810145606162599208e+01 7.222445743423375752e-01 4.434152012112760544e+09
8.000000000000000000e+00 4.761999999999999567e+00 4.990000000000000213e+00 5.088000000000000000e+08 5.000000000000000000e+07 1.782362288973291520e-01 1.500000000000000000e+00 2.539197566456054541e-17 4.855531901046852283e+01 6.048186254129218042e+01 6.840391765264982605e+10
9.000000000000000000e+00 6.163999999999999480e-01 5.500000000000000444e-01 5.088000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 7.000000000000000666e-01 9.351645110469836589e-16 8.318962625668849808e-01 8.133451140203080243e+00 1.729119221561273193e+10
1.000000000000000000e+01 2.100999999999999979e+00 5.500000000000000444e-01 4.000000000000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 1.500000000000000000e+00 3.189704882588103290e-16 7.666366181033214389e+01 2.774197321191342880e+00 4.900743587708144188e+08
1.100000000000000000e+01 1.089299999999999935e+00 8.900000000000000133e-01 1.139100030000000000e+09 5.000000000000000000e+07 4.851925397502274695e-01 3.250000000000000111e-01 1.004801552524306500e-16 1.870389084213700670e+01 1.988072607841327555e+00 1.000142283845560074e+10
1.200000000000000000e+01 1.266999999999999904e+00 1.179999999999999938e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.782362288973291520e-01 4.000000000000000222e-01 1.510527529033038624e-16 1.271576696763905190e+01 7.356908220236200613e+00 4.131824883843865871e+09
1.300000000000000000e+01 2.671100000000000030e+00 2.510000000000000231e+00 1.434000000000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 9.500000000000000666e-01 1.822599969109019749e-16 2.057339079246941083e+01 1.929243986477929695e+01 7.995008953018097878e+09
1.400000000000000000e+01 6.630000000000000338e-01 6.400000000000000133e-01 5.088000000000000000e+08 1.000000000000000000e+07 4.345600626628430829e-01 0.000000000000000000e+00 3.642419396310639039e-17 8.512707064441432436e+00 6.693514365889726703e-01 5.855175075727417469e+08
1.500000000000000000e+01 1.135999999999999899e+00 1.060000000000000053e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.345600626628430829e-01 3.500000000000000333e-01 1.118980124043036207e-16 1.086319818232489354e+01 3.006996012654498784e+00 8.042728082366715431e+09
1.600000000000000000e+01 7.375000000000000444e-01 6.800000000000000488e-01 5.088000000000000000e+08 1.000000000000000000e+07 3.181690290810633703e-01 7.000000000000000666e-01 1.509645071449094428e-16 2.212313620825286709e+00 3.075585085657167816e+00 1.765751019043822050e+09
1.700000000000000000e+01 1.930600000000000094e+00 1.489999999999999991e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.798916064409035620e-02 1.100000000000000089e+00 5.996831542325897393e-16 1.931698412916140128e+01 4.138076569331385457e+01 2.642687364703615189e+10
1.800000000000000000e+01 6.594999999999999751e-01 6.099999999999999867e-01 5.088000000000000000e+08 1.000000000000000000e+07 5.734841677598339071e-01 0.000000000000000000e+00 4.320499877614356944e-17 1.316576005623029033e+01 7.327074969239137925e-01 1.054097001794910550e+09
1.900000000000000000e+01 6.670000000000000373e-01 6.199999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.194539282036752414e-01 7.750000000000000222e-01 1.798920841201449702e-16 1.066678526122391668e+00 3.138355407816576292e+00 2.366025748975359344e+10
2.000000000000000000e+01 3.029999999999999916e-01 4.000000000000000083e-02 1.434000000000000000e+09 1.000000000000000000e+07 8.654560229254073533e-01 0.000000000000000000e+00 1.874639237742660349e-17 4.548368726883747115e+01 9.271146818954666743e-04 5.500329345023809001e+06
2.100000000000000000e+01 6.599000000000000421e-01 5.899999999999999689e-01 5.088000000000000000e+08 2.511900000000000000e+07 4.345600626628430829e-01 1.325000000000000178e+00 1.755825070265597314e-15 4.285312749063773019e+00 2.009725441730156703e+01 2.156529655109604263e+10
2.200000000000000000e+01 1.239999999999999991e-01 3.080000000000000071e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 3.000000000000000444e-01 2.112544476574065136e-16 6.905792092690829520e+01 4.699867600832880044e+01 5.917512673109523773e+09
2.300000000000000000e+01 2.706599999999999895e+00 2.689999999999999947e+00 8.064000000000000000e+08 5.000000000000000000e+07 1.000000000000000888e-02 1.275000000000000133e+00 3.981939745997971484e-16 3.734573215709217919e+01 4.372453299416821437e+01 1.243287802365660667e+10
2.400000000000000000e+01 2.371000000000000052e-01 3.699999999999999956e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.118928294465026951e-01 2.500000000000000139e-02 2.387595433207346250e-16 5.752237293543128516e+00 1.564928372056740402e+00 1.712838049251952171e+09
2.500000000000000000e+01 2.813999999999999835e-01 1.600000000000000033e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.788688785174088469e-01 0.000000000000000000e+00 4.438135645687819500e-17 2.584579111543968111e+01 4.989794978701712902e-02 4.969965439272516966e+07
2.600000000000000000e+01 7.587000000000000410e-01 6.099999999999999867e-01 5.088000000000000000e+08 1.000000000000000000e+07 5.734841677598339071e-01 1.500000000000000222e-01 1.067835360179020455e-16 2.872375684086518532e+01 1.810926966894484735e+00 2.605258843791047096e+09
2.700000000000000000e+01 1.048999999999999932e+00 9.699999999999999734e-01 1.139100030000000000e+09 1.000000000000000000e+07 3.181690290810633703e-01 1.150000000000000133e+00 3.039228080388296700e-16 9.487896645571360921e+00 1.099360776605053580e+01 1.929261258432005310e+10
2.800000000000000000e+01 3.071499999999999897e+00 3.229999999999999982e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.798916064409035620e-02 8.500000000000000888e-01 1.512186816227047901e-16 7.353181017950008425e+01 2.799810388287428609e+01 5.017587740555946350e+10
2.900000000000000000e+01 2.146000000000000130e-01 2.300000000000000100e-01 5.088000000000000000e+08 1.000000000000000000e+07 4.851925397502274695e-01 0.000000000000000000e+00 8.682494175607525834e-17 2.057284359075310576e+01 2.014644755989801750e-01 1.086129813456498832e+08
