# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi
2.570000000000000000e+02 2.475999999999999979e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.313699076773616969e-01 4.750000000000000333e-01 2.562526607410379072e-17 1.265081405080889532e+01
2.580000000000000000e+02 1.197000000000000064e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 3.750000000000000000e-01 3.618751420487834319e-17 4.237666993579612296e+00
2.590000000000000000e+02 5.100000000000000089e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 7.000000000000000666e-01 1.331593424689188048e-16 7.788161683007072789e+00
2.600000000000000000e+02 1.274000000000000021e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 7.588113568490419958e-01 8.250000000000000666e-01 3.302282721752095932e-17 1.438619847853434131e+01
2.610000000000000000e+02 3.390000000000000235e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 7.080048279597983552e-01 1.750000000000000167e-01 1.079950046370044137e-16 1.158967550902876198e+01
2.620000000000000000e+02 1.647999999999999909e+00 1.000000000000000021e-02 8.064000000000000000e+08 5.000000000000000000e+07 9.575192539750227994e-01 6.750000000000000444e-01 6.528412141270060029e-18 2.204070172241233294e+01
2.630000000000000000e+02 3.880000000000000115e-01 1.000000000000000021e-02 8.064000000000000000e+08 5.000000000000000000e+07 7.588113568490419958e-01 3.500000000000000333e-01 9.111262396023351317e-17 1.396462756696525176e+01
2.640000000000000000e+02 1.433000000000000052e+00 1.000000000000000021e-02 1.434000000000000000e+09 5.000000000000000000e+07 9.621369907677361777e-01 2.750000000000000222e-01 2.716548953711662101e-18 5.932893035404332238e+01
2.650000000000000000e+02 9.170000000000000373e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 7.080048279597983552e-01 5.750000000000000666e-01 2.266134745946187603e-17 5.578960795765932623e+00
2.660000000000000000e+02 1.405000000000000027e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 7.750000000000000222e-01 4.649163303273372552e-17 3.094389310394236148e+01
2.670000000000000000e+02 6.430000000000000160e-01 1.000000000000000021e-02 1.139100030000000000e+09 5.000000000000000000e+07 9.663484167759833765e-01 3.250000000000000111e-01 1.214825928502679137e-17 4.303721589656666957e+00
2.680000000000000000e+02 1.927000000000000046e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 4.345600626628430829e-01 1.500000000000000000e+00 2.651651820738203745e-17 1.130325846890369235e+02
2.690000000000000000e+02 6.700000000000000400e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 7.080048279597983552e-01 1.275000000000000133e+00 1.547993350404685815e-16 1.373738649089952268e+01
2.700000000000000000e+02 1.691000000000000059e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 5.750000000000000666e-01 2.151193777323079345e-17 2.171234158726569774e+01
2.710000000000000000e+02 1.137999999999999901e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.469219452298986539e-01 1.025000000000000133e+00 2.452903238548720971e-17 1.128241067049450130e+01
2.720000000000000000e+02 1.425000000000000044e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.313699076773616969e-01 5.000000000000000000e-01 5.376192072910340047e-17 3.599214362126605238e+01
2.730000000000000000e+02 1.048000000000000043e+00 1.000000000000000021e-02 8.064000000000000000e+08 5.000000000000000000e+07 9.469042655519807061e-01 1.175000000000000044e+00 8.743370484685278351e-18 2.089981238278884490e+01
2.740000000000000000e+02 1.330000000000000071e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 8.362199171250624952e-01 1.000000000000000000e+00 9.774964107945052923e-18 2.008161223440633947e+01
2.750000000000000000e+02 1.098999999999999977e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 3.790426555198066483e-01 7.500000000000000000e-01 1.783264024649305660e-17 5.132395861561574435e+01
2.760000000000000000e+02 1.358000000000000096e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.469219452298986539e-01 3.000000000000000444e-01 2.077024567938045170e-17 2.707762255346960600e+01
2.770000000000000000e+02 1.401000000000000023e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 4.345600626628430829e-01 3.000000000000000444e-01 1.140451123152704616e-17 4.840414543016359517e+01
2.780000000000000000e+02 1.177000000000000046e+00 1.000000000000000021e-02 8.064000000000000000e+08 5.000000000000000000e+07 8.010703869145960887e-01 1.500000000000000000e+00 6.207297446238221888e-17 6.795941382472616965e+01
2.790000000000000000e+02 3.559999999999999831e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 7.345771296661833816e-01 7.500000000000001110e-02 4.303108443099885241e-17 1.229860359379599011e+01
2.800000000000000000e+02 5.450000000000000400e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 8.194539282036752414e-01 4.000000000000000222e-01 4.041922058439383246e-17 1.034108888195333797e+01
2.810000000000000000e+02 1.282000000000000028e+00 1.000000000000000021e-02 8.064000000000000000e+08 5.000000000000000000e+07 8.010703869145960887e-01 6.750000000000000444e-01 1.586687588072042787e-17 4.837137103010536521e+01
2.820000000000000000e+02 1.302000000000000046e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 4.750000000000000333e-01 4.367341844551263621e-17 1.642723330403509152e+01
2.830000000000000000e+02 1.536999999999999922e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.118928294465026951e-01 3.250000000000000111e-01 1.503720319606132510e-17 2.006893353850656325e+01
2.840000000000000000e+02 1.149000000000000021e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 4.851925397502274695e-01 2.250000000000000056e-01 1.895996627238562064e-17 1.997507721437742845e+01
2.850000000000000000e+02 5.659999999999999476e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 3.250000000000000111e-01 7.997431862260360554e-17 1.699004347685125538e+01
2.860000000000000000e+02 8.080000000000000515e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 4.851925397502274695e-01 6.500000000000000222e-01 1.522920340258952360e-16 1.833928683530713499e+01
2.870000000000000000e+02 1.461000000000000076e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.313699076773616969e-01 2.000000000000000111e-01 1.733427673264988923e-17 2.500725562371964372e+02
2.880000000000000000e+02 1.090000000000000080e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.469219452298986539e-01 6.000000000000000888e-01 3.260862071557577972e-17 7.689305061215049975e+00
2.890000000000000000e+02 5.060000000000000053e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 7.588113568490419958e-01 0.000000000000000000e+00 5.129592650930604578e-17 3.612920515455301995e+01
2.900000000000000000e+02 1.106000000000000094e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 4.750000000000000333e-01 3.200439416912112727e-17 1.182219595385154953e+01
2.910000000000000000e+02 1.328000000000000069e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 4.345600626628430829e-01 2.750000000000000222e-01 1.058835925696345402e-17 2.957332800278960150e+01
2.920000000000000000e+02 1.643000000000000016e+00 1.000000000000000021e-02 1.139100030000000000e+09 5.000000000000000000e+07 9.955456022925407433e-01 3.500000000000000333e-01 7.985491103607549885e-19 2.387088637336269858e+00
2.930000000000000000e+02 4.079999999999999738e-01 1.000000000000000021e-02 8.064000000000000000e+08 5.000000000000000000e+07 8.362199171250624952e-01 0.000000000000000000e+00 9.543798362800618006e-18 2.619548112999630973e+01
2.940000000000000000e+02 1.471999999999999975e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 4.500000000000000111e-01 3.612985458138773381e-17 1.199446602350806899e+02
2.950000000000000000e+02 1.322999999999999954e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 5.500000000000000444e-01 2.974903507233502367e-17 1.302560431568945987e+01
2.960000000000000000e+02 2.720000000000000195e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 7.588113568490419958e-01 5.000000000000000278e-02 3.352881603061582556e-17 1.120866170188095978e+01
2.970000000000000000e+02 1.046999999999999931e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 8.000000000000000444e-01 4.778763394544343540e-17 7.008699499667351063e+00
2.980000000000000000e+02 4.490000000000000102e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 8.010703869145960887e-01 1.074999999999999956e+00 5.636638923410682543e-16 1.804264719435525910e+00
2.990000000000000000e+02 6.260000000000000009e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 5.500000000000000444e-01 4.617247235750541559e-17 1.025218916963286730e+01
3.000000000000000000e+02 1.772999999999999909e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 3.181690290810633703e-01 4.250000000000000444e-01 2.219211040641606209e-17 2.599631497165680472e+01
3.010000000000000000e+02 6.680000000000000382e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 6.500000000000000222e-01 8.454903913307708145e-17 6.337117368136296669e+00
