# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 2.000000000000000042e-02 1.000000000000000000e+07 1.000000000000000000e+01 1.225000000000000089e+00 1.293090299717396647e+08 7.470139428917357804e+01
2.000000000000000000e+00 7.328000000000000069e-01 7.199999999999999734e-01 1.000000000000000000e+07 1.000000000000000000e+01 1.250000000000000000e+00 3.218019512224794922e+11 1.794626571040160457e+01
3.000000000000000000e+00 8.060000000000000497e-01 7.199999999999999734e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.325000000000000178e+00 3.382301114942200184e+08 7.291745122113744060e+01
4.000000000000000000e+00 6.700000000000000400e-01 5.000000000000000278e-02 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 4.919321800576379523e+06 5.258711813051148454e+01
5.000000000000000000e+00 6.198000000000000176e-01 3.120000000000000107e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 2.270558102554874573e+11 2.153107782099060898e+02
6.000000000000000000e+00 6.844000000000000083e-01 2.390000000000000124e+00 1.000000000000000000e+07 1.000000000000000000e+01 8.250000000000000666e-01 1.317566222251357178e+12 5.383174389645898117e+01
7.000000000000000000e+00 1.088999999999999968e+00 5.999999999999999778e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 8.083787940910192728e+08 1.100157039039814606e+02
8.000000000000000000e+00 4.761999999999999567e+00 4.990000000000000213e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 5.434196320509101868e+09 2.547342720380514152e+02
9.000000000000000000e+00 6.163999999999999480e-01 2.839999999999999858e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 1.134367174321972961e+11 1.393164700563254144e+02
1.000000000000000000e+01 2.100999999999999979e+00 1.900000000000000022e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 4.493427459122553468e+07 2.929222692204335203e+02
1.100000000000000000e+01 1.089299999999999935e+00 2.300000000000000100e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 2.133852201278540492e+08 3.198649960745819953e+02
1.200000000000000000e+01 1.266999999999999904e+00 5.000000000000000000e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.175000000000000044e+00 4.058749845790346265e+08 1.502598276618186617e+02
1.300000000000000000e+01 2.671100000000000030e+00 1.550000000000000044e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.325000000000000178e+00 1.403090301934337139e+09 8.018820217258398486e+01
1.400000000000000000e+01 6.630000000000000338e-01 7.500000000000000000e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.000000000000000000e+00 4.921100996917679310e+08 2.613541711683985724e+01
1.500000000000000000e+01 1.135999999999999899e+00 1.140000000000000124e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 3.970134171277777672e+09 1.506303615800117939e+02
1.600000000000000000e+01 7.375000000000000444e-01 7.199999999999999734e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 1.188884941853666544e+09 1.340501564019773717e+01
1.700000000000000000e+01 1.930600000000000094e+00 2.200000000000000011e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 1.709897941480718851e+08 2.577899368697149498e+02
1.800000000000000000e+01 6.594999999999999751e-01 2.390000000000000124e+00 1.000000000000000000e+07 1.000000000000000000e+01 1.125000000000000000e+00 1.031730934470704468e+12 2.557985579300445522e+01
1.900000000000000000e+01 6.670000000000000373e-01 4.990000000000000213e+00 1.000000000000000000e+07 1.000000000000000000e+01 1.525000000000000133e+00 2.657122539614911719e+13 3.145520661688007635e+02
2.000000000000000000e+01 3.029999999999999916e-01 2.939999999999999947e+00 1.000000000000000000e+07 1.000000000000000000e+01 9.750000000000000888e-01 1.613580726809503418e+12 1.385625622146427531e+02
2.100000000000000000e+01 6.599000000000000421e-01 3.830000000000000071e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 1.240301861995747528e+11 4.916313352235457046e+02
2.200000000000000000e+01 1.239999999999999991e-01 2.919999999999999929e+00 1.000000000000000000e+07 1.000000000000000000e+01 6.000000000000000888e-01 6.906519603979786377e+11 1.979972931137503167e+01
2.300000000000000000e+01 2.706599999999999895e+00 1.449999999999999956e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 2.159213531736402988e+09 1.542492719175099296e+02
2.400000000000000000e+01 2.371000000000000052e-01 8.000000000000000167e-02 1.000000000000000000e+07 1.000000000000000000e+01 1.050000000000000044e+00 1.122604646909027863e+10 4.489345900017480773e+01
2.500000000000000000e+01 2.813999999999999835e-01 2.800000000000000266e+00 1.000000000000000000e+07 1.000000000000000000e+01 7.500000000000000000e-01 9.195309732767114258e+11 6.347562047138238484e+01
2.600000000000000000e+01 7.587000000000000410e-01 2.410000000000000142e+00 1.000000000000000000e+07 1.000000000000000000e+01 1.275000000000000133e+00 2.583812007790960449e+12 3.202765454403780154e+01
2.700000000000000000e+01 1.048999999999999932e+00 2.000000000000000042e-02 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 1.079764645713081583e+06 8.680616767548909820e+02
2.800000000000000000e+01 3.071499999999999897e+00 3.220000000000000195e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 5.897537615044047356e+09 2.892335772610604181e+02
2.900000000000000000e+01 2.146000000000000130e-01 2.300000000000000100e-01 1.000000000000000000e+07 1.000000000000000000e+01 7.750000000000000222e-01 1.582538993276023102e+10 4.404923124569844362e+01
3.000000000000000000e+01 2.100999999999999979e+00 5.999999999999999778e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 6.269221280340374708e+08 1.408979157643128417e+02
3.100000000000000000e+01 6.749000000000000554e-01 4.990000000000000213e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 2.073458251038658447e+11 4.051867152413594795e+02
3.200000000000000000e+01 8.396000000000000130e-01 7.800000000000000266e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.400000000000000133e+00 2.723455328193137646e+09 2.354553429206155712e+01
3.300000000000000000e+01 1.090000000000000080e+00 1.000000000000000056e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 2.562704716999747977e+07 4.488285136241739792e+02
3.400000000000000000e+01 1.088700000000000001e+00 4.990000000000000213e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 2.190722384371885681e+11 7.634992189467669732e+02
3.500000000000000000e+01 2.611000000000000210e+00 2.200000000000000011e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 6.588841912838817388e+07 2.420701023648982186e+02
3.600000000000000000e+01 2.098700000000000010e+00 5.100000000000000089e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.350000000000000089e+00 4.661449385007225275e+08 1.931341418784155053e+02
3.700000000000000000e+01 4.868000000000000105e-01 3.700000000000000178e+00 1.000000000000000000e+07 1.000000000000000000e+01 1.525000000000000133e+00 5.505156006761487500e+13 3.065238569946434950e+02
3.800000000000000000e+01 1.135000000000000009e+00 2.200000000000000011e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 7.215102435843822360e+07 1.605339700437155273e+02
3.900000000000000000e+01 1.277000000000000079e-01 2.859999999999999876e+00 1.000000000000000000e+07 1.000000000000000000e+01 7.750000000000000222e-01 9.863113063757618408e+11 5.320068969170232975e+01
4.000000000000000000e+01 6.250000000000000000e-01 4.990000000000000213e+00 1.000000000000000000e+07 5.000000000000000278e-02 1.525000000000000133e+00 4.941409839744940758e+09 8.264383843542327668e+02
4.100000000000000000e+01 1.350999999999999979e+00 4.899999999999999911e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.275000000000000133e+00 2.144501825388906002e+08 1.729355876205042364e+02
4.200000000000000000e+01 2.416999999999999982e-01 2.800000000000000266e+00 1.000000000000000000e+07 1.000000000000000000e+01 8.750000000000000000e-01 2.787073358662746582e+11 2.647609327118542311e+01
4.300000000000000000e+01 3.481000000000000205e-01 4.100000000000000311e-01 1.000000000000000000e+07 1.000000000000000000e+01 1.525000000000000133e+00 2.684704045450227356e+11 3.377317543371988506e+01
4.400000000000000000e+01 1.427999999999999936e+00 4.899999999999999911e-01 1.000000000000000000e+07 5.000000000000000278e-02 1.175000000000000044e+00 3.210222773537601233e+08 1.975279764961996705e+02
