# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 2.225999999999999979e+00 2.160000000000000142e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.514224249708160164e-01 3.500000000000000333e-01 1.439022878780587920e-16 9.530931214558776787e+00 4.026581319022574235e+02 4.478148552800836945e+10
2.000000000000000000e+00 7.850000000000000311e-01 7.000000000000000666e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.588113568490419958e-01 2.500000000000000000e-01 1.202877362729952378e-16 1.133758631214854695e+01 5.703572592902193428e+00 1.084967198428016281e+10
3.000000000000000000e+00 1.606000000000000094e+00 1.409999999999999920e+00 5.088000000000000000e+08 5.000000000000000000e+07 8.515106807538886935e-01 1.750000000000000167e-01 2.530770888586887689e-17 2.998690669308178514e+01 9.647977305634743317e+00 3.305525864889243317e+10
4.000000000000000000e+00 1.328999999999999959e+00 9.799999999999999822e-01 8.064000000000000000e+08 5.000000000000000000e+07 7.809132347232226046e-01 3.500000000000000333e-01 1.012981426233306776e-16 1.341270104327750445e+01 1.284968517780314734e+01 4.198190024799352264e+10
5.000000000000000000e+00 8.719999999999999973e-01 7.099999999999999645e-01 8.064000000000000000e+08 5.000000000000000000e+07 8.010703869145960887e-01 3.500000000000000333e-01 2.129802406441862733e-16 1.630435948658066891e+01 1.051835928600216441e+01 3.875593138756098175e+10
6.000000000000000000e+00 8.169999999999999485e-01 5.700000000000000622e-01 2.500000000000000000e+09 5.000000000000000000e+07 9.268236228897329676e-01 2.750000000000000222e-01 3.780961759742317489e-17 1.907528676423204317e+01 1.002307796768110437e+00 3.904373304896932983e+10
7.000000000000000000e+00 1.030999999999999917e+00 8.499999999999999778e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.750000000000000167e-01 8.142080374683027351e-17 1.047489591895176808e+01 6.781425510525523670e+00 8.779203149057847977e+09
8.000000000000000000e+00 1.409999999999999920e+00 9.500000000000000666e-01 8.064000000000000000e+08 1.000000000000000000e+07 5.734841677598339071e-01 1.750000000000000167e-01 4.354089533379689636e-17 1.680454011665508673e+01 9.837747268704884362e+00 6.209466609538296700e+09
9.000000000000000000e+00 3.579999999999999849e-01 3.200000000000000067e-01 1.434000000000000000e+09 5.000000000000000000e+07 9.798004827959798657e-01 1.500000000000000222e-01 2.072094789846332484e-17 3.636409668538777673e+00 1.169653900694630627e-01 9.562666944216062546e+09
1.000000000000000000e+01 3.880000000000000115e-01 3.400000000000000244e-01 1.434000000000000000e+09 1.000000000000000000e+07 9.003521803856815442e-01 0.000000000000000000e+00 1.355250156874225694e-17 6.875015317698746742e+00 1.747488308616876596e-01 1.363097136168549061e+09
1.100000000000000000e+01 1.030000000000000027e+00 9.899999999999999911e-01 1.139100030000000000e+09 5.000000000000000000e+07 9.979773556538258372e-01 1.000000000000000056e-01 1.036332660960068254e-18 4.095832085854099525e+00 1.354953614996614042e-01 7.580076030391804504e+10
