# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 8.064000000000000000e+08 1.000000000000000000e+07 7.345771296661833816e-01 1.500000000000000222e-01 3.349727598832048353e-17 1.062168352270193949e+01 2.195549415602577326e-01 6.429840968704673052e+08
2.000000000000000000e+00 0.000000000000000000e+00 6.900000000000000577e-01 5.088000000000000000e+08 5.000000000000000000e+07 4.345600626628430829e-01 2.750000000000000222e-01 6.959192043676289786e-17 3.292944334486897606e+00 9.192205376228950175e-01 1.478699347909089565e+09
3.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000666e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.469219452298986539e-01 9.750000000000000888e-01 2.788040990710719262e-16 6.650586467702772175e+00 3.769873474707657657e+00 2.205055681590617752e+10
4.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 8.064000000000000000e+08 1.000000000000000000e+07 6.469219452298986539e-01 1.200000000000000178e+00 1.721366966002681021e-15 3.392975244061563700e+00 1.007282970173398517e+01 1.888896904681459045e+10
5.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 8.064000000000000000e+08 1.000000000000000000e+07 7.080048279597983552e-01 0.000000000000000000e+00 4.612398013993390612e-17 1.349117038876913099e+01 3.023155604557390408e-01 7.760481088593963385e+08
6.000000000000000000e+00 0.000000000000000000e+00 1.689999999999999947e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.798916064409035620e-02 7.750000000000000222e-01 3.759296018036813038e-16 2.308714371158949419e+01 3.306991356442917152e+01 1.635510462687854385e+10
7.000000000000000000e+00 0.000000000000000000e+00 1.700000000000000122e-01 1.434000000000000000e+09 5.000000000000000000e+07 7.345771296661833816e-01 0.000000000000000000e+00 1.517569868760449202e-16 4.617870410364327327e+00 1.128614256799057025e-01 8.500210901047418118e+08
8.000000000000000000e+00 0.000000000000000000e+00 8.499999999999999778e-01 8.064000000000000000e+08 5.000000000000000000e+07 3.181690290810633703e-01 6.250000000000000000e-01 1.616153709996640355e-16 6.563382688014891997e+00 3.052301826910420068e+00 5.821983271399001122e+09
9.000000000000000000e+00 0.000000000000000000e+00 6.099999999999999867e-01 1.139100030000000000e+09 2.511900000000000000e+07 9.926219917125062020e-01 4.500000000000000111e-01 1.012402663822200723e-17 4.937941026065086447e+00 1.294402381748655240e-01 4.951593346268544769e+10
1.000000000000000000e+01 0.000000000000000000e+00 7.099999999999999645e-01 2.500000000000000000e+09 1.000000000000000000e+07 9.408169029081063783e-01 5.500000000000000444e-01 1.471432899809267768e-17 1.468935897891890185e+01 3.278548905801895175e-01 3.548648051811943054e+10
1.100000000000000000e+01 0.000000000000000000e+00 1.799999999999999933e-01 8.064000000000000000e+08 1.000000000000000000e+07 7.809132347232226046e-01 0.000000000000000000e+00 2.403968107395533246e-17 9.044869762232577770e+00 3.659855816539001744e-02 1.060249002890271246e+08
1.200000000000000000e+01 0.000000000000000000e+00 4.199999999999999845e-01 3.000000000000000000e+09 5.000000000000000000e+07 7.345771296661833816e-01 1.000000000000000000e+00 2.309233639911068546e-16 1.891580204321742897e+01 1.208937297465555005e+00 2.654869545667698669e+10
1.300000000000000000e+01 0.000000000000000000e+00 1.570000000000000062e+00 1.434000000000000000e+09 1.000000000000000000e+07 9.798916064409035620e-02 1.225000000000000089e+00 3.287690269845925441e-16 3.690069973600387954e+01 2.609063548919082720e+01 3.218706671945650864e+10
1.400000000000000000e+01 0.000000000000000000e+00 9.799999999999999822e-01 5.088000000000000000e+08 1.000000000000000000e+07 3.181690290810633703e-01 2.000000000000000111e-01 1.154515639673928062e-16 1.378575892836567007e+01 4.368284021248066473e+00 4.067115498917719364e+09
1.500000000000000000e+01 0.000000000000000000e+00 1.040000000000000036e+00 5.088000000000000000e+08 5.000000000000000000e+07 3.790426555198066483e-01 2.250000000000000056e-01 7.180248340154307874e-17 6.786243613806397512e+00 1.899916075321087749e+00 4.003753629894461632e+09
1.600000000000000000e+01 0.000000000000000000e+00 4.299999999999999933e-01 8.064000000000000000e+08 1.000000000000000000e+07 5.313699076773616969e-01 8.500000000000000888e-01 1.724860987575638357e-15 4.115821909074981022e+00 1.596780485855074438e+01 2.179585341581999207e+10
1.700000000000000000e+01 0.000000000000000000e+00 8.599999999999999867e-01 2.500000000000000000e+09 5.000000000000000000e+07 4.851925397502274695e-01 5.750000000000000666e-01 1.824834641449301236e-16 1.467533877921147223e+01 3.511871211621455657e+00 4.571183665923326874e+10
