# obj_no spec_z phot_z age_old age_new f_old_V old_modifier EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.300000000000000044e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.000000000000000222e-01 2.503066260432698727e+09 5.000000000000000278e-02 1.780924657445159473e-02 3.933840011329594599e+00
2.000000000000000000e+00 7.328000000000000069e-01 6.900000000000000577e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.800000000000000488e-01 8.022273231265003681e+08 2.750000000000000222e-01 3.432542769173016595e+00 1.141064537403358869e+01
3.000000000000000000e+00 8.060000000000000497e-01 7.399999999999999911e-01 8.064000000000000000e+08 5.000000000000000000e+07 7.000000000000000666e-01 2.944220637274818897e+09 2.500000000000000139e-02 2.498127987510011527e-01 1.413970671325381012e+01
4.000000000000000000e+00 6.700000000000000400e-01 5.300000000000000266e-01 8.064000000000000000e+08 5.000000000000000000e+07 8.800000000000000044e-01 6.698928518734715462e+09 7.500000000000001110e-02 1.385859319181352300e-01 2.013597677477872239e+01
5.000000000000000000e+00 6.198000000000000176e-01 5.400000000000000355e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.599999999999999867e-01 3.705959393729049206e+09 9.500000000000000666e-01 1.093583077458969832e+01 1.153711837502857662e+00
6.000000000000000000e+00 6.844000000000000083e-01 2.390000000000000124e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 1.314007388813014927e+02 5.956190250412953446e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.500000000000000666e-01 8.064000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 5.957515632759890556e+09 0.000000000000000000e+00 7.629460465675832470e-01 2.887675095418505578e+01
8.000000000000000000e+00 4.761999999999999567e+00 7.500000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 8.500000000000000888e-01 1.164575595601912022e+09 1.195672715064982867e+02
9.000000000000000000e+00 6.163999999999999480e-01 5.500000000000000444e-01 5.088000000000000000e+08 2.511900000000000000e+07 8.000000000000000444e-01 1.866996136958125114e+09 7.000000000000000666e-01 9.909405374317037385e+00 5.107433109534708082e-01
1.000000000000000000e+01 2.100999999999999979e+00 2.100000000000000089e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 2.806275218422024846e+08 1.500000000000000000e+00 4.492532566855364706e+01 6.275238610180224441e+01
1.100000000000000000e+01 1.089299999999999935e+00 8.800000000000000044e-01 1.139100030000000000e+09 5.000000000000000000e+07 6.600000000000000311e-01 4.991155973501933098e+09 3.250000000000000111e-01 2.005708773607940643e+00 2.093274543809195620e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.199999999999999956e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.600000000000000089e-01 5.064917827019523382e+08 4.500000000000000111e-01 8.597155633224053517e+00 1.260356556674081574e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.709999999999999964e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 3.565090968097586036e+08 8.750000000000000000e-01 2.843804983158155153e+01 1.243127109227069305e+01
1.400000000000000000e+01 6.630000000000000338e-01 6.199999999999999956e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.199999999999999734e-01 8.796016570301783085e+08 0.000000000000000000e+00 6.489712090818370305e-01 8.961478234796361519e+00
