# obj_no spec_z phot_z age_old age_new f_old_V old_modifier EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.300000000000000044e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.200000000000000400e-01 3.198362443886227131e+09 0.000000000000000000e+00 1.369606550753566659e-02 3.718813800552724480e+00
2.000000000000000000e+00 7.328000000000000069e-01 6.500000000000000222e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.600000000000000311e-01 6.922464335228155851e+08 3.250000000000000111e-01 3.484763730859898434e+00 1.222142238368591372e+01
3.000000000000000000e+00 8.060000000000000497e-01 7.399999999999999911e-01 5.088000000000000000e+08 2.511900000000000000e+07 6.400000000000000133e-01 1.052876118328480959e+09 3.250000000000000111e-01 5.535978522038675909e-01 1.308677159530145673e+01
4.000000000000000000e+00 6.700000000000000400e-01 5.200000000000000178e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.599999999999999867e-01 3.647108493144510746e+09 3.000000000000000444e-01 2.037430038695957624e-01 1.865714882848444134e+01
5.000000000000000000e+00 6.198000000000000176e-01 5.200000000000000178e-01 5.088000000000000000e+08 2.511900000000000000e+07 8.800000000000000044e-01 3.332770481385711193e+09 9.500000000000000666e-01 1.143069199858870633e+01 3.489805032217247138e+00
6.000000000000000000e+00 6.844000000000000083e-01 2.390000000000000124e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 1.316565583248933820e+02 5.206025827360231517e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.599999999999999645e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.199999999999999956e-01 1.133053227972032070e+09 5.000000000000000000e-01 3.545633681456147102e+00 3.219361729126375593e+01
8.000000000000000000e+00 4.761999999999999567e+00 7.099999999999999645e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 8.750000000000000000e-01 1.036554689452358603e+09 1.278414131062238539e+02
9.000000000000000000e+00 6.163999999999999480e-01 5.200000000000000178e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.600000000000000089e-01 1.880098564295426369e+09 7.250000000000000888e-01 8.313179103147270155e+00 1.426347341912798328e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.129999999999999893e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 2.873170047624966502e+08 1.475000000000000089e+00 4.486159832872130693e+01 6.946492796545167892e+01
