# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.000000000000000056e-01 2.100000000000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 3.390921455054491013e+07 5.965965959562672616e+00
2.000000000000000000e+00 7.328000000000000069e-01 9.200000000000000400e-01 1.609000000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 2.428472294680472851e+09 9.597645267756639953e+00
3.000000000000000000e+00 8.060000000000000497e-01 8.100000000000000533e-01 1.680000000000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 1.168844820427427769e+09 2.048995961724624237e+01
4.000000000000000000e+00 6.700000000000000400e-01 4.700000000000000289e-01 2.750000130000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 1.194674532948611498e+09 2.423234265265143961e+01
5.000000000000000000e+00 6.198000000000000176e-01 5.000000000000000000e-01 3.750000130000000000e+09 1.000000000000000000e+00 3.000000000000000444e-01 7.704094226660441589e+10 1.434645016257166716e+01
6.000000000000000000e+00 6.844000000000000083e-01 7.500000000000000000e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.244777656793703794e+09 5.278849924909150104e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.699999999999999734e-01 1.139100030000000000e+09 1.000000000000000000e+00 4.500000000000000111e-01 5.681987505007167816e+09 2.968250738041998815e+01
8.000000000000000000e+00 4.761999999999999567e+00 4.990000000000000213e+00 2.550000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 5.354978768471401978e+10 6.584662925490999896e+01
9.000000000000000000e+00 6.163999999999999480e-01 5.100000000000000089e-01 2.000000000000000000e+09 1.000000000000000000e+00 4.500000000000000111e-01 2.558528887273838425e+10 3.882403421655405307e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.209999999999999964e+00 2.550000000000000000e+08 5.000000000000000278e-02 4.000000000000000222e-01 1.137928566761227417e+10 2.969750290123204195e+01
1.100000000000000000e+01 1.089299999999999935e+00 9.799999999999999822e-01 2.300000000000000000e+09 1.000000000000000000e+00 3.500000000000000333e-01 1.951953676984601974e+10 1.874777151569707101e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.229999999999999982e+00 1.278099970000000000e+09 1.000000000000000000e+01 2.250000000000000056e-01 3.575698703500640106e+10 1.040863061607447193e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.770000000000000018e+00 5.708800000000000000e+08 1.000000000000000000e+00 5.000000000000000000e-01 1.800329408850651550e+10 8.907086136046906688e+00
1.400000000000000000e+01 6.630000000000000338e-01 7.299999999999999822e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.500000000000000222e-01 4.050763813893419504e+08 6.567517823991642523e+00
1.500000000000000000e+01 1.135999999999999899e+00 1.030000000000000027e+00 1.139100030000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.149957140812606430e+10 1.524358104930440483e+01
1.600000000000000000e+01 7.375000000000000444e-01 6.600000000000000311e-01 1.434000000000000000e+09 1.000000000000000000e+01 5.000000000000000000e-01 1.183008420056685448e+10 3.649183902237851385e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.949999999999999956e+00 2.272700000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 2.049125304349035263e+10 3.910697634469802608e+01
1.800000000000000000e+01 6.594999999999999751e-01 6.800000000000000488e-01 1.805300000000000000e+08 5.000000000000000278e-02 2.500000000000000000e-01 7.581035518323253393e+08 8.895829398814061761e+00
