# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 4.299999999999999933e-01 1.700000000000000000e+09 1.000000000000000000e+07 6.469219452298986539e-01 0.000000000000000000e+00 5.265732915111644518e-18 1.971362379783540973e+03 1.260903227235754820e-01 2.396264364260318875e+08
2.000000000000000000e+00 1.409999999999999920e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.000000000000000666e-01 3.973700782870153499e-17 1.267778984011413741e+03 0.000000000000000000e+00 8.918736600042104721e+09
3.000000000000000000e+00 3.900000000000000133e-01 5.088000000000000000e+08 1.000000000000000000e+07 3.181690290810633703e-01 8.000000000000000444e-01 2.002816110647837888e-17 1.531149587399466782e+03 3.697947768140856240e-01 5.569972127481906116e+07
4.000000000000000000e+00 1.699999999999999956e+00 4.000000000000000000e+09 2.511900000000000000e+07 9.524560062662843496e-01 4.000000000000000222e-01 3.314458333784570587e-19 7.928369017564974683e+02 2.940378937038855556e-01 2.155714883465741730e+10
5.000000000000000000e+00 6.099999999999999867e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.798004827959798657e-01 1.500000000000000222e-01 1.030224893656201973e-19 9.155521206572528854e+02 3.303248940703557533e-03 9.449795629856103659e+07
6.000000000000000000e+00 3.500000000000000333e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.408169029081063783e-01 3.000000000000000444e-01 4.491780500393385190e-19 9.250909950517066136e+02 6.244445239253651990e-03 2.997665106416456774e+07
7.000000000000000000e+00 2.470000000000000195e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 5.000000000000000000e-01 1.591329761351184792e-19 6.208270935858611210e+02 3.473099631281465483e-01 7.585329218046252251e+09
8.000000000000000000e+00 4.199999999999999845e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 0.000000000000000000e+00 3.532671446975550740e-18 9.608398549264553594e+02 0.000000000000000000e+00 2.393561181378768384e+07
9.000000000000000000e+00 1.090000000000000080e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.268236228897329676e-01 1.500000000000000000e+00 3.489914725668445435e-17 7.421459292990249196e+03 6.086311194055847196e+00 1.556894315800746460e+11
1.000000000000000000e+01 2.459999999999999964e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.990352180385682068e-01 1.500000000000000000e+00 1.396430440251674150e-18 5.958215640039849859e+03 3.009060302922460739e+00 6.280901603829925781e+12
1.100000000000000000e+01 1.459999999999999964e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.268236228897329676e-01 1.500000000000000000e+00 2.329827421834737309e-17 1.800097180465491192e+03 9.884895081040390608e+00 7.420366364951167297e+10
1.200000000000000000e+01 5.000000000000000000e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 0.000000000000000000e+00 6.987823833105579841e-16 5.929485907993165483e+02 0.000000000000000000e+00 1.617965088977221289e+13
1.300000000000000000e+01 2.300000000000000266e+00 2.000000000000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 8.500000000000000888e-01 2.327179078835681689e-18 1.125145601448904472e+03 5.304886732632573931e+00 2.306528125036038458e+08
1.400000000000000000e+01 1.110000000000000098e+00 1.700000000000000000e+09 5.000000000000000000e+07 8.515106807538886935e-01 1.500000000000000000e+00 1.794890964638109665e-17 2.302610251840665569e+03 3.306281649589747573e+00 3.838294854153706360e+10
1.500000000000000000e+01 2.620000000000000107e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.941510680753888884e-01 1.500000000000000000e+00 6.309816625984376785e-19 8.815593347980246790e+02 1.658207017756837542e+00 3.196217985780941162e+11
1.600000000000000000e+01 4.600000000000000200e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.515106807538886935e-01 6.000000000000000888e-01 3.120557866097552667e-18 1.412397945699285174e+03 8.961693575821412516e-02 1.557639869116453230e+08
1.700000000000000000e+01 1.040000000000000036e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.990352180385682068e-01 5.500000000000000444e-01 2.435752993993845527e-19 4.114882156307824516e+03 3.689618751367518268e-02 4.331723894064103699e+10
1.800000000000000000e+01 3.200000000000000067e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.955456022925407433e-01 1.500000000000000222e-01 1.415452179315966812e-19 3.173437323040255251e+03 1.560958959156239986e-03 1.051488032559721023e+08
1.900000000000000000e+01 3.300000000000000155e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 4.000000000000000222e-01 1.830163709476513348e-17 2.062803170107491496e+03 0.000000000000000000e+00 6.583403268654292822e+07
2.000000000000000000e+01 2.580000000000000071e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.870913234723223129e-01 0.000000000000000000e+00 1.114298999619045782e-19 5.224264010523908155e+02 2.789720647776712248e-01 5.069136643852626801e+10
2.100000000000000000e+01 1.060000000000000053e+00 1.700000000000000000e+09 2.511900000000000000e+07 9.848811356849042076e-01 7.000000000000000666e-01 3.744881952383499423e-18 6.088099994284900276e+03 7.849472070117410327e-01 7.888234034243054199e+10
2.200000000000000000e+01 7.500000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 9.000000000000000222e-01 1.438819012340498163e-17 1.156385641207492881e+03 0.000000000000000000e+00 4.899535715983968377e+08
2.300000000000000000e+01 5.000000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.891070386914596613e-01 8.000000000000000444e-01 2.337466055761795019e-19 1.108907707756954551e+03 8.424968010230550475e-03 2.306218649026252031e+08
2.400000000000000000e+01 1.260000000000000009e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.941510680753888884e-01 4.000000000000000222e-01 4.732813909972720277e-19 1.631995065771482359e+03 1.279597449048227864e-01 2.466442571651872253e+10
2.500000000000000000e+01 4.400000000000000022e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.897735565382587364e-01 3.500000000000000333e-01 8.177652747305604917e-19 8.863063694138226083e+02 2.082916159249797311e-02 5.087721699069113284e+07
2.600000000000000000e+01 3.479999999999999982e+00 1.139100030000000000e+09 5.000000000000000000e+07 8.781743261443593074e-01 8.000000000000000444e-01 5.596273335823970988e-19 7.479778260101602427e+02 3.610152680221367483e+00 2.968421810547073746e+10
2.700000000000000000e+01 7.299999999999999822e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.469042655519807061e-01 0.000000000000000000e+00 8.083540575848390594e-19 2.914815264557081264e+03 4.324450337034683317e-02 4.562105599607684612e+08
2.800000000000000000e+01 1.040000000000000036e+00 1.139100030000000000e+09 1.000000000000000000e+07 9.469042655519807061e-01 8.000000000000000444e-01 1.633471088131429317e-18 1.352834644958562194e+03 4.834017611028225136e-01 5.007658821086483955e+09
2.900000000000000000e+01 3.260000000000000231e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.500000000000000000e-01 4.314178999560298306e-17 4.779169236903866113e+04 0.000000000000000000e+00 1.332052125246380005e+11
3.000000000000000000e+01 4.820000000000000284e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 7.500000000000000000e-01 1.709304842692452383e-15 9.689500839149762896e+02 0.000000000000000000e+00 3.521541737110028906e+13
3.100000000000000000e+01 4.080000000000000071e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.003521803856815442e-01 1.500000000000000000e+00 1.128030443597534414e-18 1.242851026406610799e+03 1.206060455839846668e+01 6.475920049472459412e+10
3.200000000000000000e+01 1.040000000000000036e+00 2.000000000000000000e+09 2.511900000000000000e+07 8.654560229254073533e-01 1.500000000000000000e+00 2.146077358017189574e-17 1.782910466664708110e+03 4.248704935362669133e+00 4.978339699478158569e+10
3.300000000000000000e+01 3.699999999999999956e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.000000000000000666e-01 1.164233391785299772e-17 1.108783153266354020e+03 0.000000000000000000e+00 5.639410340039903671e+07
3.400000000000000000e+01 3.200000000000000178e+00 2.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.500000000000000000e+00 -4.944311335210191423e-17 5.943990040552984055e+02 0.000000000000000000e+00 -5.807927917299752197e+11
3.500000000000000000e+01 1.060000000000000053e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.968174326144358943e-01 6.500000000000000222e-01 8.500536694010230668e-19 3.881028410417088708e+03 1.363282035219548494e-01 1.014450956496812134e+11
3.600000000000000000e+01 6.500000000000000222e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.000000000000000444e-01 3.465242055112658740e-18 8.076236357264212984e+02 0.000000000000000000e+00 7.829066138526982069e+07
3.700000000000000000e+01 5.899999999999999689e-01 1.139100030000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 1.500000000000000000e+00 1.791751764410243597e-17 3.510291625150602158e+03 4.986411341680030418e-01 5.132826057549035072e+09
3.800000000000000000e+01 1.820000000000000062e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 9.000000000000000222e-01 5.804080172442481247e-18 1.139349837696922123e+03 9.512997099208341467e+00 1.508925427913547754e+08
3.900000000000000000e+01 4.500000000000000111e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.100000000000000311e-01 1.500000000000000222e-01 8.354668141529580983e-19 1.551605368051886217e+03 1.157253542140954973e-02 6.946798431543849409e+07
4.000000000000000000e+01 2.000000000000000111e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 8.649695481303055704e-19 1.502765543957769523e+03 2.969074325053842715e-03 3.653445674034997821e+07
4.100000000000000000e+01 3.099999999999999978e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.897735565382587364e-01 3.000000000000000444e-01 5.274005156178371250e-18 2.860205910602835047e+03 5.361906954224815447e-02 1.309696995640216172e+08
4.200000000000000000e+01 5.000000000000000000e+00 1.139100030000000000e+09 1.000000000000000000e+07 9.990352180385682068e-01 1.250000000000000000e+00 4.285919271902317716e-19 1.149442404869388383e+03 1.710056894136232586e+01 1.027614056047857422e+13
4.300000000000000000e+01 5.000000000000000000e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.524560062662843496e-01 6.000000000000000888e-01 3.806902641484247411e-19 1.511557052942166592e+03 7.774810542542704539e+00 9.208757436985328674e+10
4.400000000000000000e+01 5.300000000000000266e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.469219452298986539e-01 1.500000000000000000e+00 2.787618835824228683e-17 1.848409088890051407e+03 1.179524297422996248e+00 6.630700133557606936e+08
4.500000000000000000e+01 2.359999999999999876e+00 2.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 1.150000000000000133e+00 2.438528343989912078e-18 9.605790434701951881e+02 8.890031852736392182e+00 1.980940579454098642e+08
4.600000000000000000e+01 8.000000000000000444e-01 4.000000000000000000e+09 2.511900000000000000e+07 2.514224249708160164e-01 1.200000000000000178e+00 3.459927054447010167e-17 1.883418470394894257e+03 3.154477158059983743e+00 3.955243958703988552e+09
4.700000000000000000e+01 3.400000000000000244e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.500000000000000333e-01 1.522918288579839674e-17 1.136676272551210559e+03 0.000000000000000000e+00 5.917627434882277995e+07
4.800000000000000000e+01 4.879999999999999893e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 1.200000000000000178e+00 9.096678090454077275e-19 1.079683894655798440e+03 3.359279846279203952e+01 5.328397272348617315e+08
4.900000000000000000e+01 2.500000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.469042655519807061e-01 4.500000000000000111e-01 1.623814116564439765e-18 2.809705986305072656e+03 7.191982037838423381e+00 3.872385467282244873e+10
5.000000000000000000e+01 2.620000000000000107e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.701892829446502331e-01 0.000000000000000000e+00 4.784497283955098868e-19 2.024393145129419963e+03 2.456443907896293410e+00 2.411624557628495026e+10
