# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 4.299999999999999933e-01 1.700000000000000000e+09 1.000000000000000000e+07 6.469219452298986539e-01 0.000000000000000000e+00 5.265732915111644518e-18 1.971362379783540973e+03 1.260903227235754820e-01 2.396264364260318875e+08
2.000000000000000000e+00 1.409999999999999920e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.250000000000000888e-01 4.084559456870137365e-17 1.267733949699625327e+03 0.000000000000000000e+00 9.167552343164476395e+09
3.000000000000000000e+00 3.900000000000000133e-01 5.088000000000000000e+08 1.000000000000000000e+07 2.156717652757182968e-01 9.250000000000000444e-01 2.687159548726150748e-17 1.531032782068568395e+03 4.961501758958794528e-01 4.607503469642655551e+07
4.000000000000000000e+00 1.699999999999999956e+00 4.000000000000000000e+09 2.511900000000000000e+07 9.497440413925641867e-01 4.500000000000000111e-01 3.587440467185178653e-19 7.928292737320316519e+02 3.182551513793669962e-01 2.201112028518342972e+10
5.000000000000000000e+00 6.099999999999999867e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 1.750000000000000167e-01 1.379186945668577944e-19 9.155454731702833442e+02 4.422139132305055211e-03 9.658053245700518787e+07
6.000000000000000000e+00 3.500000000000000333e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.575192539750227994e-01 2.750000000000000222e-01 3.125175346501500990e-19 9.250746224351208866e+02 4.344599276964909544e-03 2.955426826718242466e+07
7.000000000000000000e+00 2.470000000000000195e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 5.250000000000000222e-01 1.641590498295071344e-19 6.208266228010729719e+02 3.582794398002556169e-01 7.824905103397185326e+09
8.000000000000000000e+00 4.199999999999999845e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 0.000000000000000000e+00 3.532671446975550740e-18 9.608398549264553594e+02 0.000000000000000000e+00 2.393561181378768384e+07
9.000000000000000000e+00 1.090000000000000080e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.229036410043919281e-01 1.500000000000000000e+00 3.646710498450014792e-17 7.419023953514233654e+03 6.359758525029906018e+00 1.537769261962853394e+11
1.000000000000000000e+01 2.459999999999999964e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.990352180385682068e-01 1.500000000000000000e+00 1.396430440251674150e-18 5.958215640039849859e+03 3.009060302922460739e+00 6.280901603829925781e+12
1.100000000000000000e+01 1.459999999999999964e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.305671765275718155e-01 1.500000000000000000e+00 2.245306408174982991e-17 1.798818116836012450e+03 9.526292832504783092e+00 7.564406693928411865e+10
1.200000000000000000e+01 5.000000000000000000e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 0.000000000000000000e+00 6.987823833105579841e-16 5.929485907993165483e+02 0.000000000000000000e+00 1.617965088977221289e+13
1.300000000000000000e+01 2.300000000000000266e+00 2.000000000000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 8.750000000000000000e-01 2.404708937577644414e-18 1.125048983188168904e+03 5.481618778208064313e+00 2.383369998248424232e+08
1.400000000000000000e+01 1.110000000000000098e+00 1.700000000000000000e+09 5.000000000000000000e+07 8.586438751563791882e-01 1.500000000000000000e+00 1.733983036867000405e-17 2.302393519357079640e+03 3.194086107982149425e+00 3.926847250922499847e+10
1.500000000000000000e+01 2.620000000000000107e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.948643875156378824e-01 1.500000000000000000e+00 5.792345675486483038e-19 8.814733566667331388e+02 1.522216701007015560e+00 3.343921984758170776e+11
1.600000000000000000e+01 4.600000000000000200e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.440413092562439878e-01 6.000000000000000888e-01 3.273036576218733141e-18 1.412372668708869014e+03 9.399585624479804558e-02 1.542388571696068943e+08
