# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 2.339999999999999858e+00 5.088000000000000000e+08 5.000000000000000000e+07 7.588113568490419958e-01 5.250000000000000222e-01 2.917699929670492477e-17 3.295412993888036453e+03 5.300334484408757874e+01 1.008260868536470490e+11
2.000000000000000000e+00 3.680000000000000160e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 4.750000000000000333e-01 3.387184640918608678e-19 9.039330518483473043e+02 5.097318103532542999e+00 6.497475286016554260e+10
3.000000000000000000e+00 3.750000000000000000e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 2.750000000000000222e-01 2.165172378801060067e-18 1.543371229027080517e+03 3.459266363035695235e+01 5.486993134419183731e+08
4.000000000000000000e+00 1.260000000000000009e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.798004827959798657e-01 1.750000000000000167e-01 2.726952009114661588e-18 1.272346439848569162e+03 7.372782663580730311e-01 4.058185841726526642e+10
5.000000000000000000e+00 2.300000000000000266e+00 5.088000000000000000e+08 2.511900000000000000e+07 8.897735565382587364e-01 0.000000000000000000e+00 6.273361090743683971e-19 7.990634278393295062e+02 1.430034771365757518e+00 5.235905906627293587e+09
6.000000000000000000e+00 2.680000000000000160e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.003521803856815442e-01 0.000000000000000000e+00 6.438178201277445994e-19 1.053986095170125509e+03 1.817189649706296928e+00 9.757367327023546219e+09
7.000000000000000000e+00 2.879999999999999893e+00 5.088000000000000000e+08 5.000000000000000000e+07 1.000000000000000888e-02 2.250000000000000056e-01 4.590903934074417618e-18 1.640517058901455812e+03 1.626460697060270988e+01 9.099540953297977448e+08
8.000000000000000000e+00 3.310000000000000053e+00 1.139100030000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 1.000000000000000056e-01 1.246655850493069210e-18 1.318848830980973844e+03 6.861129407906570776e+00 4.216287892302916050e+08
9.000000000000000000e+00 3.750000000000000000e+00 1.139100030000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 2.250000000000000056e-01 2.845591911132104771e-18 1.504228131275244550e+03 2.327103047583387152e+01 1.430046836364911795e+09
1.000000000000000000e+01 1.000000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.621369907677361777e-01 0.000000000000000000e+00 5.790537248025777400e-19 1.185155799578771393e+03 1.524079130020733197e-01 1.168617189301552296e+09
1.100000000000000000e+01 2.390000000000000124e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 1.200000000000000178e+00 6.674036250098476673e-17 1.208713741789700407e+03 2.565708607815665800e+02 4.069656406467216492e+09
1.200000000000000000e+01 2.629999999999999893e+00 5.088000000000000000e+08 2.511900000000000000e+07 9.824577129666183239e-01 5.000000000000000278e-02 5.444601343301394840e-19 1.122782715417343525e+03 1.892639681222217485e+00 4.779578220081541443e+10
1.300000000000000000e+01 3.589999999999999858e+00 1.139100030000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 3.250000000000000111e-01 3.829950467559545817e-18 1.221617573799384900e+03 2.727145911869312656e+01 1.675880398860792875e+09
1.400000000000000000e+01 2.379999999999999893e+00 2.500000000000000000e+09 5.000000000000000000e+07 9.701892829446502331e-01 0.000000000000000000e+00 6.211862182317253687e-19 6.817194009099102914e+02 1.190467312752425233e+00 1.190652212981154633e+11
1.500000000000000000e+01 3.350000000000000089e+00 1.139100030000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 0.000000000000000000e+00 4.279494617935684108e-19 1.526160465662328534e+03 3.197735410430836200e+00 1.083429740784867704e+08
1.600000000000000000e+01 4.600000000000000200e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.909453928203675321e-01 0.000000000000000000e+00 1.081431696871277569e-19 1.042148507858519451e+03 3.105681710258023729e-03 1.024577750027856678e+08
1.700000000000000000e+01 1.040000000000000036e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.341422424970816651e-01 0.000000000000000000e+00 2.390858602936275098e-18 9.358983852363752476e+02 3.621613831539569062e-01 5.842054442100970268e+09
1.800000000000000000e+01 3.760000000000000231e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 4.750000000000000333e-01 3.319456855079967919e-18 1.117261096933645376e+03 5.348501576600001783e+01 8.483646053922435045e+08
1.900000000000000000e+01 1.660000000000000142e+00 2.500000000000000000e+09 5.000000000000000000e+07 9.575192539750227994e-01 4.000000000000000222e-01 8.089614265241201043e-18 1.323627539723935797e+03 5.100490816027754448e+00 3.533841838478900757e+11
2.000000000000000000e+01 4.100000000000000311e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.080048279597983552e-01 0.000000000000000000e+00 4.437542732402726490e-18 1.171932058235207478e+03 9.355960974676186259e-02 6.929923232041239738e+07
2.100000000000000000e+01 3.599999999999999867e-01 4.000000000000000000e+09 1.000000000000000000e+07 2.514224249708160164e-01 8.500000000000000888e-01 9.150749029148048337e-17 2.157748866707380330e+03 1.369071568636598402e+00 1.139066848005548000e+09
2.200000000000000000e+01 2.459999999999999964e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 0.000000000000000000e+00 1.842594659088697865e-17 5.678622964372376600e+02 0.000000000000000000e+00 4.501430469121475220e+10
2.300000000000000000e+01 2.999999999999999889e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 0.000000000000000000e+00 -1.870034037519861152e-16 4.418444948668993711e+08 -1.748735546529860407e+00 -2.281046187489864603e+07
2.400000000000000000e+01 2.500000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 0.000000000000000000e+00 -2.139443990016999788e-16 2.137925408982135653e+08 -1.265943877031628917e+00 -1.651293964950478636e+07
2.500000000000000000e+01 5.100000000000000089e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 5.500000000000000444e-01 1.119341665129081268e-16 1.813855979660913135e+03 4.259825436493697381e+00 5.556505436495613307e+07
2.600000000000000000e+01 5.799999999999999600e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.408169029081063783e-01 0.000000000000000000e+00 3.722031422197498855e-19 4.804880089726491974e+02 1.927646470365910331e-02 9.253726056237120926e+07
2.700000000000000000e+01 1.409999999999999920e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.500000000000001110e-02 4.617100850517474111e-17 1.447389845981209646e+03 0.000000000000000000e+00 1.036281003318344307e+10
2.800000000000000000e+01 1.780000000000000027e+00 2.500000000000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 2.500000000000000139e-02 6.566947793382625367e-18 1.377191164899627211e+03 6.719712435045061660e+00 3.283137906193486452e+08
2.900000000000000000e+01 1.040000000000000036e+00 4.000000000000000000e+09 2.511900000000000000e+07 6.788688785174088469e-01 1.100000000000000089e+00 3.035580201841485420e-16 2.022219358606265359e+03 6.009701624721125768e+01 4.662884111157908936e+11
3.000000000000000000e+01 1.260000000000000009e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.909453928203675321e-01 1.000000000000000056e-01 9.102143776522756363e-19 1.972460521418125836e+03 2.460920750077801866e-01 3.054652889581245422e+10
3.100000000000000000e+01 1.189999999999999947e+00 1.139100030000000000e+09 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 6.029579902098178779e-16 1.991639073232080136e+03 1.335922563143372770e+02 3.268594230719470825e+11
3.200000000000000000e+01 3.900000000000000133e-01 5.088000000000000000e+08 5.000000000000000000e+07 3.181690290810633703e-01 5.000000000000000278e-02 1.550761239023548689e-17 1.709182828402714676e+03 1.465602190068810151e-01 4.759248370243979245e+07
3.300000000000000000e+01 1.030000000000000027e+00 2.500000000000000000e+09 5.000000000000000000e+07 5.734841677598339071e-01 5.250000000000000222e-01 1.009984844729832086e-16 1.575536428042479656e+03 1.486293986539543788e+01 6.212743553774582672e+10
3.400000000000000000e+01 3.570000000000000284e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 5.000000000000000278e-02 1.321544793733099444e-18 1.700274261218036600e+03 1.806112386338173081e+01 2.864805777815364599e+08
3.500000000000000000e+01 2.049999999999999822e+00 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 1.000000000000000056e-01 1.066778448473985732e-17 2.160535804340769573e+03 2.495971762299014785e+01 6.459867060821861029e+08
3.600000000000000000e+01 3.919999999999999929e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.798004827959798657e-01 1.325000000000000178e+00 6.972636540976312270e-16 8.098626807385313441e+03 1.282519301120505952e+04 1.876004079047740625e+14
3.700000000000000000e+01 3.400000000000000244e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 0.000000000000000000e+00 -2.361279626921429926e-17 2.333628002653395534e+08 -3.044684053708146543e-01 -3.971478115489638411e+06
3.800000000000000000e+01 3.300000000000000155e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 0.000000000000000000e+00 -2.077770513225029972e-15 1.415852668185389996e+09 -2.480172533213793784e+01 -3.235130727702515721e+08
3.900000000000000000e+01 2.399999999999999911e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.701892829446502331e-01 0.000000000000000000e+00 3.480395768611111773e-19 9.515596470360526382e+02 1.355657162943604277e+00 1.330922352987754822e+10
4.000000000000000000e+01 2.510000000000000231e+00 5.088000000000000000e+08 2.511900000000000000e+07 9.663484167759833765e-01 0.000000000000000000e+00 8.482429617733940875e-19 1.276410842097957129e+03 2.545109744013146713e+00 3.298671317129623032e+10
4.100000000000000000e+01 5.799999999999999600e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.654560229254073533e-01 2.000000000000000111e-01 2.501005156289688655e-18 1.224337207649449056e+03 1.295274868754975606e-01 2.523791872839151323e+08
4.200000000000000000e+01 2.660000000000000142e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.941510680753888884e-01 0.000000000000000000e+00 1.079110161633612619e-19 8.623318056614326679e+02 5.811508772395347355e-01 2.977321257581923676e+10
4.300000000000000000e+01 2.280000000000000249e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.003521803856815442e-01 0.000000000000000000e+00 1.090648371253198697e-18 9.904942109498201717e+02 3.615815064520638611e+00 9.881414631506013870e+09
4.400000000000000000e+01 4.560000000000000497e+00 1.139100030000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 0.000000000000000000e+00 4.311447491006934404e-19 6.942551747183861153e+02 6.566777173969298609e+00 4.035403130299760699e+08
4.500000000000000000e+01 1.560000000000000053e+00 4.000000000000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 0.000000000000000000e+00 1.478518118058215743e-18 5.671672440603572340e+02 1.005435439544217768e+00 6.240981906112257391e+07
4.600000000000000000e+01 4.299999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.118928294465026951e-01 0.000000000000000000e+00 5.603516117647630994e-18 1.000428938580669865e+03 1.341786921310205161e-01 6.509226647041271627e+07
4.700000000000000000e+01 4.280000000000000249e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.701892829446502331e-01 0.000000000000000000e+00 2.013803915471417183e-19 8.858788103862066237e+02 4.897964956721676977e+00 4.808598533051651764e+10
4.800000000000000000e+01 3.390000000000000124e+00 1.139100030000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 2.250000000000000056e-01 2.017421753704115950e-18 1.051913246519696713e+03 1.197647526819277175e+01 7.359760276137050390e+08
4.900000000000000000e+01 2.830000000000000071e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.941510680753888884e-01 1.375000000000000000e+00 2.685248349536787982e-19 1.028453163951046463e+03 9.001081320867292401e-01 9.011813137526295471e+10
5.000000000000000000e+01 3.609999999999999876e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 3.250000000000000111e-01 1.757311471409247625e-18 1.029542693481454762e+03 2.488119479567848558e+01 3.946586665856740475e+08
