# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.900000000000000022e-01 2.861200000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 5.882176515096930414e+07 1.071002756505685305e+01
2.000000000000000000e+00 7.328000000000000069e-01 6.800000000000000488e-01 1.015200000000000000e+09 1.000000000000000000e+00 1.750000000000000167e-01 3.739395178241871834e+09 1.105428401462361876e+01
3.000000000000000000e+00 8.060000000000000497e-01 7.399999999999999911e-01 1.434000000000000000e+09 1.000000000000000000e+00 7.500000000000001110e-02 8.968947312089312077e+08 9.805755030069850164e+00
4.000000000000000000e+00 6.700000000000000400e-01 5.700000000000000622e-01 2.550000000000000000e+08 5.000000000000000278e-02 4.750000000000000333e-01 6.342464429899896383e+08 2.347390799090601732e+01
5.000000000000000000e+00 6.198000000000000176e-01 5.000000000000000000e-01 3.750000130000000000e+09 1.000000000000000000e+00 3.000000000000000444e-01 7.673135342893894958e+10 1.392747625971551528e+01
6.000000000000000000e+00 6.844000000000000083e-01 7.399999999999999911e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.205399835001749754e+09 5.755226228184073278e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.300000000000000488e-01 1.139100030000000000e+09 1.000000000000000000e+00 4.500000000000000111e-01 5.152653520078986168e+09 3.810258313436836630e+01
8.000000000000000000e+00 4.761999999999999567e+00 4.959999999999999964e+00 2.272700000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 3.861603496776378632e+10 9.719531974118055473e+01
9.000000000000000000e+00 6.163999999999999480e-01 5.100000000000000089e-01 2.100000000000000000e+09 1.000000000000000000e+00 4.250000000000000444e-01 2.611343577743843842e+10 4.242761650135664198e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.459999999999999964e+00 2.272700000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.276523670771758080e+10 3.971882849281896455e+01
1.100000000000000000e+01 1.089299999999999935e+00 8.900000000000000133e-01 6.499999740000000000e+09 1.000000000000000000e+01 5.000000000000000000e-01 4.548921802472665405e+10 2.306619589061288522e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.370000000000000107e+00 6.405400320000000000e+08 1.000000000000000000e+01 4.000000000000000222e-01 5.957498199120695496e+10 1.834058394117541724e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.649999999999999911e+00 1.434000000000000000e+08 5.000000000000000278e-02 4.250000000000000444e-01 4.514530688082206726e+09 1.415913135718950144e+01
1.400000000000000000e+01 6.630000000000000338e-01 7.000000000000000666e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 3.611370122138574123e+08 6.609580266704539575e+00
1.500000000000000000e+01 1.135999999999999899e+00 1.000000000000000000e+00 1.139100030000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.072143086653600311e+10 1.832163471885096939e+01
1.600000000000000000e+01 7.375000000000000444e-01 6.700000000000000400e-01 9.047900160000000000e+08 1.000000000000000000e+00 5.000000000000000000e-01 2.450034811267031193e+09 3.485077216384827814e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.949999999999999956e+00 2.272700000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 2.048533170890560532e+10 3.678813521010024346e+01
1.800000000000000000e+01 6.594999999999999751e-01 6.800000000000000488e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.750000000000000167e-01 8.067087527354156971e+08 1.371300959083914783e+01
1.900000000000000000e+01 6.670000000000000373e-01 5.999999999999999778e-01 5.000000000000000000e+09 1.000000000000000000e+00 1.250000000000000000e-01 5.456339247291217041e+10 8.687521982721920111e+00
2.000000000000000000e+01 3.029999999999999916e-01 4.100000000000000311e-01 3.210300160000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 4.925753959562572241e+08 5.165952910690686650e+01
2.100000000000000000e+01 6.599000000000000421e-01 5.999999999999999778e-01 3.249999870000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 5.141941518137189484e+10 2.331259497894313881e+01
2.200000000000000000e+01 1.239999999999999991e-01 2.939999999999999947e+00 1.047100000000000000e+07 5.000000000000000278e-02 5.000000000000000000e-01 3.504494727390824795e+09 3.378394920049343852e+01
2.300000000000000000e+01 2.706599999999999895e+00 2.800000000000000266e+00 1.805300000000000000e+08 5.000000000000000278e-02 4.750000000000000333e-01 1.227152444892554855e+10 1.756218783781362447e+01
2.400000000000000000e+01 2.371000000000000052e-01 4.199999999999999845e-01 2.272700000000000000e+08 5.000000000000000278e-02 7.500000000000001110e-02 1.532412630755273342e+09 3.045128319651339677e+00
2.500000000000000000e+01 2.813999999999999835e-01 4.199999999999999845e-01 2.025600000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 2.504345503050244749e+08 2.314957006365660419e+01
2.600000000000000000e+01 7.587000000000000410e-01 6.700000000000000400e-01 2.025600000000000000e+08 5.000000000000000278e-02 3.250000000000000111e-01 1.928542286067624807e+09 2.780190949685253443e+01
2.700000000000000000e+01 1.048999999999999932e+00 1.040000000000000036e+00 3.249999870000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 3.891475209755856323e+10 3.683693143234624756e+01
2.800000000000000000e+01 3.071499999999999897e+00 3.120000000000000107e+00 2.272700000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 2.407998178084255981e+10 3.212990014417603390e+01
2.900000000000000000e+01 2.146000000000000130e-01 3.800000000000000044e-01 1.609000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.793888839348583519e+08 2.587445603820608042e+01
3.000000000000000000e+01 2.100999999999999979e+00 2.319999999999999840e+00 1.805300000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.023845163299448586e+10 9.237718613734736905e+00
3.100000000000000000e+01 6.749000000000000554e-01 6.700000000000000400e-01 1.278099970000000000e+09 5.000000000000000278e-02 4.000000000000000222e-01 5.722900462126158142e+10 5.989643969894979492e+00
3.200000000000000000e+01 8.396000000000000130e-01 7.900000000000000355e-01 7.187000320000000000e+08 1.000000000000000000e+00 4.750000000000000333e-01 7.180025455724917412e+09 8.992196471368419708e+00
3.300000000000000000e+01 1.090000000000000080e+00 9.500000000000000666e-01 2.400000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.414845065540059662e+10 3.129065047764599683e+01
3.400000000000000000e+01 1.088700000000000001e+00 8.100000000000000533e-01 4.249999870000000000e+09 1.000000000000000000e+00 3.500000000000000333e-01 2.022681724944093018e+11 2.020898532669753322e+01
3.500000000000000000e+01 2.611000000000000210e+00 2.990000000000000213e+00 1.434000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 6.170046532187902832e+10 5.447478560623691379e+01
3.600000000000000000e+01 2.098700000000000010e+00 2.240000000000000213e+00 1.805300000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 9.939284319346614838e+09 2.195018134718374725e+01
3.700000000000000000e+01 4.868000000000000105e-01 4.600000000000000200e-01 2.750000130000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 5.168681923849732208e+10 1.555104317420251014e+01
3.800000000000000000e+01 1.135000000000000009e+00 1.000000000000000000e+00 1.278099970000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 4.200630594807773590e+09 1.684111489635531100e+01
3.900000000000000000e+01 1.277000000000000079e-01 4.600000000000000200e-01 2.272700000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 3.481170457894896269e+08 2.892497798915510643e+01
4.000000000000000000e+01 6.250000000000000000e-01 2.990000000000000213e+00 4.534700160000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 7.414015244285528564e+10 2.341924647639149271e+02
4.100000000000000000e+01 1.350999999999999979e+00 1.500000000000000000e+00 1.805300000000000000e+08 5.000000000000000278e-02 2.750000000000000222e-01 1.968039980841827154e+09 1.017214451438092482e+01
4.200000000000000000e+01 2.416999999999999982e-01 4.000000000000000222e-01 2.550000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 7.532919614811556041e+07 1.724612777795383778e+01
4.300000000000000000e+01 3.481000000000000205e-01 4.100000000000000311e-01 1.015200000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 3.041158517122076988e+09 1.523972354417510644e+01
4.400000000000000000e+01 1.427999999999999936e+00 1.699999999999999956e+00 1.805300000000000000e+08 5.000000000000000278e-02 2.250000000000000056e-01 4.081888317505999565e+09 2.027015439138310882e+01
4.500000000000000000e+01 2.330000000000000127e-01 5.200000000000000178e-01 2.550000000000000000e+08 5.000000000000000278e-02 5.000000000000000278e-02 6.106693721733957529e+08 2.067681760536084923e+01
4.600000000000000000e+01 2.165900000000000158e+00 2.669999999999999929e+00 1.139100000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 2.239769730931003571e+09 1.287790234783724230e+01
4.700000000000000000e+01 9.829999999999999849e-01 7.600000000000000089e-01 1.800000000000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 1.335540833276848602e+10 1.433535394813822528e+01
4.800000000000000000e+01 6.660000000000000364e-01 5.600000000000000533e-01 1.278099970000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 1.398340891743754387e+10 1.344258531341268714e+01
4.900000000000000000e+01 6.596999999999999531e-01 5.899999999999999689e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 8.673643375428500175e+08 1.384266887670000479e+01
5.000000000000000000e+01 7.329999999999999849e-01 7.199999999999999734e-01 1.805300000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 2.748382138634720325e+09 6.346758460408199909e+00
5.100000000000000000e+01 1.469000000000000083e+00 1.699999999999999956e+00 3.602000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 8.914384140594683838e+10 9.437048756250845827e+01
5.200000000000000000e+01 7.329999999999999849e-01 5.999999999999999778e-01 2.272700000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 4.037959758870563507e+08 2.869359232676588789e+01
5.300000000000000000e+01 6.600000000000000311e-01 5.300000000000000266e-01 7.750000130000000000e+09 1.000000000000000000e+01 5.000000000000000000e-01 1.398637881297727661e+11 3.694444613500547092e+01
5.400000000000000000e+01 2.765000000000000235e-01 3.800000000000000044e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 4.392304066906297207e+07 6.648869670967162193e+00
5.500000000000000000e+01 1.461000000000000076e+00 1.439999999999999947e+00 1.434000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 2.114283132848364258e+10 1.941992636596835453e+01
5.600000000000000000e+01 7.324000000000000510e-01 7.299999999999999822e-01 2.025600000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.259299786770658255e+09 5.474258016613601008e+00
5.700000000000000000e+01 1.145999999999999908e+00 1.030000000000000027e+00 3.000000000000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 5.772848040269605255e+10 4.705901841715214573e+01
5.800000000000000000e+01 8.244000000000000217e-01 8.699999999999999956e-01 2.025600000000000000e+08 5.000000000000000278e-02 7.500000000000001110e-02 1.037186550387258887e+09 9.275650499666795668e+00
5.900000000000000000e+01 1.036299999999999999e+00 9.400000000000000577e-01 1.278099970000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 1.786224241309558868e+10 1.082736014346324538e+01
6.000000000000000000e+01 2.542600000000000193e+00 2.609999999999999876e+00 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 8.233451288038463593e+09 3.448825832535722924e+01
6.100000000000000000e+01 6.626999999999999558e-01 6.300000000000000044e-01 2.025600000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 8.675150086331053972e+08 3.294848693704708609e+01
6.200000000000000000e+01 1.237000000000000044e-01 1.600000000000000033e-01 2.861200000000000000e+08 5.000000000000000278e-02 2.500000000000000139e-02 1.596266008485505581e+08 2.472288871437457658e+01
6.300000000000000000e+01 1.016999999999999904e+00 9.200000000000000400e-01 3.750000130000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 4.244311133724106598e+10 3.426343476021564527e+01
6.400000000000000000e+01 6.720000000000000417e-01 6.099999999999999867e-01 6.499999740000000000e+09 1.000000000000000000e+00 5.000000000000000278e-02 8.936372856104968262e+10 9.828728833035141221e+00
6.500000000000000000e+01 1.274000000000000132e-01 4.799999999999999822e-01 2.550000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.471692366643434286e+09 2.062932441615376433e+01
6.600000000000000000e+01 4.441999999999999837e-01 4.500000000000000111e-01 2.272700000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 3.277193713247213364e+08 4.016596770739227829e+00
6.700000000000000000e+01 2.703399999999999803e+00 2.740000000000000213e+00 1.805300000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 9.220579464803623199e+09 8.792793097403988511e+00
6.800000000000000000e+01 6.611000000000000210e-01 6.400000000000000133e-01 2.200000000000000000e+09 5.000000000000000278e-02 2.750000000000000222e-01 1.368147165111215820e+11 5.388501393129770278e+00
6.900000000000000000e+01 9.509999999999999565e-01 7.500000000000000000e-01 1.680000000000000000e+09 1.000000000000000000e+00 3.500000000000000333e-01 9.914515718660362244e+09 1.214242917524585508e+01
7.000000000000000000e+01 4.182000000000000162e-01 5.100000000000000089e-01 2.025600000000000000e+08 5.000000000000000278e-02 7.500000000000001110e-02 4.650848071416097879e+08 4.417272874404530647e+00
7.100000000000000000e+01 1.133999999999999897e+00 1.060000000000000053e+00 2.200000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.680927579420210457e+10 2.747163594073260384e+01
7.200000000000000000e+01 5.217000000000000526e-01 5.600000000000000533e-01 2.550000000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 1.074254196487815857e+09 2.619007914710392182e+00
7.300000000000000000e+01 1.352000000000000091e+00 1.429999999999999938e+00 1.609000000000000000e+08 5.000000000000000278e-02 3.000000000000000444e-01 4.956128280612694740e+09 8.406582695356899393e+00
7.400000000000000000e+01 1.274000000000000132e-01 1.600000000000000033e-01 3.602000000000000000e+08 5.000000000000000278e-02 5.000000000000000278e-02 1.232399001616186798e+08 1.954050631076114541e+01
7.500000000000000000e+01 8.429999999999999716e-01 8.699999999999999956e-01 2.200000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 4.299744921888175964e+10 2.865712446558300996e+01
7.600000000000000000e+01 1.279000000000000137e-01 1.400000000000000133e-01 2.600000000000000000e+09 1.000000000000000000e+00 1.250000000000000000e-01 6.656386064311034203e+09 8.800502987006630917e+00
7.700000000000000000e+01 1.032000000000000028e+00 9.300000000000000488e-01 1.608999940000000000e+09 1.000000000000000000e+01 3.000000000000000444e-01 1.422872835338198471e+10 6.123478210073804107e+00
7.800000000000000000e+01 1.304999999999999938e+00 1.409999999999999920e+00 1.805300000000000000e+08 5.000000000000000278e-02 3.250000000000000111e-01 2.163622099810510159e+09 1.807250002988063642e+01
7.900000000000000000e+01 2.660000000000000142e+00 2.709999999999999964e+00 9.047800000000000000e+07 5.000000000000000278e-02 2.750000000000000222e-01 1.090358380600962877e+09 1.939371913692483673e+01
8.000000000000000000e+01 1.346000000000000085e+00 1.100000000000000089e+00 5.750000130000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.269368596986414337e+11 8.083586741839806677e+01
8.100000000000000000e+01 1.034000000000000030e+00 9.000000000000000222e-01 1.278099970000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.302472386962260818e+10 2.172820343379012797e+01
8.200000000000000000e+01 5.248000000000000442e-01 5.799999999999999600e-01 2.550000000000000000e+08 5.000000000000000278e-02 1.750000000000000167e-01 6.172855087537100315e+08 6.772555321460178135e+00
8.300000000000000000e+01 9.669999999999999707e-01 9.500000000000000666e-01 2.025600000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 9.130976106524647474e+08 8.431093491334060275e+00
8.400000000000000000e+01 6.816999999999999726e-01 4.100000000000000311e-01 2.600000000000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 4.267992092922903061e+09 2.067684099815260623e+01
8.500000000000000000e+01 3.664000000000000035e-01 4.199999999999999845e-01 2.025600000000000000e+08 5.000000000000000278e-02 4.000000000000000222e-01 3.201636883963215351e+09 3.890572925101692725e+00
8.600000000000000000e+01 3.725999999999999868e-01 4.400000000000000022e-01 2.272700000000000000e+08 5.000000000000000278e-02 3.750000000000000000e-01 2.975997210411095142e+09 4.537687585669247348e+00
8.700000000000000000e+01 1.088999999999999968e+00 9.599999999999999645e-01 2.000000000000000000e+09 1.000000000000000000e+00 4.500000000000000111e-01 7.257883065522937775e+09 1.685815672259553111e+01
8.800000000000000000e+01 2.125500000000000167e+00 2.339999999999999858e+00 3.602000000000000000e+08 1.000000000000000000e+00 0.000000000000000000e+00 2.016244956083875656e+10 2.222057530221697874e+01
8.900000000000000000e+01 9.779999999999999805e-01 8.300000000000000711e-01 3.000000000000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 1.124452134666495209e+11 2.817880668099136443e+01
9.000000000000000000e+01 2.534199999999999786e+00 2.419999999999999929e+00 1.278000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 3.053580986024724007e+09 4.073789847029297562e+01
9.100000000000000000e+01 1.425000000000000044e+00 1.640000000000000124e+00 1.609000000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 2.136628991862964869e+09 1.990754109539531314e+01
