# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.100000000000000006e-01 2.100000000000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 4.159717981253476441e+07 6.731955541102125906e+00
2.000000000000000000e+00 7.328000000000000069e-01 9.300000000000000488e-01 1.609000000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 2.482997022444476128e+09 1.095627186042525025e+01
3.000000000000000000e+00 8.060000000000000497e-01 8.699999999999999956e-01 9.047900160000000000e+08 1.000000000000000000e+00 3.000000000000000444e-01 1.268908718435075045e+09 1.384219053243667119e+01
4.000000000000000000e+00 6.700000000000000400e-01 5.700000000000000622e-01 2.550000000000000000e+08 5.000000000000000278e-02 4.750000000000000333e-01 6.323065818263615370e+08 2.494078793894216872e+01
5.000000000000000000e+00 6.198000000000000176e-01 5.100000000000000089e-01 3.750000130000000000e+09 1.000000000000000000e+00 3.000000000000000444e-01 8.082315043358351135e+10 1.153172457405178442e+01
6.000000000000000000e+00 6.844000000000000083e-01 7.600000000000000089e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.276368332031954765e+09 5.760870229502663875e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.799999999999999822e-01 1.015200000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 5.766292311993905067e+09 3.505325082825071092e+01
8.000000000000000000e+00 4.761999999999999567e+00 4.980000000000000426e+00 2.550000000000000000e+08 5.000000000000000278e-02 4.250000000000000444e-01 5.068290238432020569e+10 8.144130674775401246e+01
9.000000000000000000e+00 6.163999999999999480e-01 5.100000000000000089e-01 2.000000000000000000e+09 1.000000000000000000e+00 4.500000000000000111e-01 2.557822507485390091e+10 2.878613903789041029e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.209999999999999964e+00 2.550000000000000000e+08 5.000000000000000278e-02 3.750000000000000000e-01 1.118363698971653748e+10 3.486183318741429105e+01
1.100000000000000000e+01 1.089299999999999935e+00 9.799999999999999822e-01 2.300000000000000000e+09 1.000000000000000000e+00 3.500000000000000333e-01 1.952583462644948578e+10 1.848430709089914359e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.290000000000000036e+00 1.015200000000000000e+09 1.000000000000000000e+01 2.750000000000000222e-01 4.321554271850675201e+10 1.241746312535983421e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.629999999999999893e+00 1.434000000000000000e+08 5.000000000000000278e-02 4.250000000000000444e-01 4.427950625964955330e+09 1.097338047594581845e+01
1.400000000000000000e+01 6.630000000000000338e-01 7.099999999999999645e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 3.722229486625791192e+08 4.011096312564249367e+00
1.500000000000000000e+01 1.135999999999999899e+00 1.030000000000000027e+00 1.139100030000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.149925541083165932e+10 1.695856489930576316e+01
1.600000000000000000e+01 7.375000000000000444e-01 6.700000000000000400e-01 9.047900160000000000e+08 1.000000000000000000e+00 5.000000000000000000e-01 2.450068887989670277e+09 3.682518601615481835e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.949999999999999956e+00 2.272700000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 2.050500659077591324e+10 3.614906083202828313e+01
1.800000000000000000e+01 6.594999999999999751e-01 6.900000000000000577e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.750000000000000167e-01 8.326446193463032246e+08 1.229366665854682239e+01
1.900000000000000000e+01 6.670000000000000373e-01 5.899999999999999689e-01 4.750000130000000000e+09 1.000000000000000000e+00 2.000000000000000111e-01 5.097423051244697571e+10 5.162754767043237436e+00
2.000000000000000000e+01 3.029999999999999916e-01 4.100000000000000311e-01 3.210300160000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 4.925357586361537576e+08 5.344785593219691577e+01
2.100000000000000000e+01 6.599000000000000421e-01 6.199999999999999956e-01 3.249999870000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 5.591328975664227295e+10 2.167933186911572463e+01
2.200000000000000000e+01 1.239999999999999991e-01 2.939999999999999947e+00 1.047100000000000000e+07 5.000000000000000278e-02 5.000000000000000000e-01 3.512956083194882393e+09 2.524101053660947613e+01
2.300000000000000000e+01 2.706599999999999895e+00 2.790000000000000036e+00 1.805300000000000000e+08 5.000000000000000278e-02 4.750000000000000333e-01 1.213385613039221764e+10 2.024838083326752880e+01
2.400000000000000000e+01 2.371000000000000052e-01 4.100000000000000311e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 1.345320115914692879e+09 2.896993562556695156e+00
2.500000000000000000e+01 2.813999999999999835e-01 4.199999999999999845e-01 2.025600000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 2.506888707375920713e+08 2.154415865324611090e+01
2.600000000000000000e+01 7.587000000000000410e-01 6.800000000000000488e-01 2.025600000000000000e+08 5.000000000000000278e-02 3.000000000000000444e-01 1.937801342298192978e+09 3.117433049425974190e+01
2.700000000000000000e+01 1.048999999999999932e+00 1.060000000000000053e+00 3.249999870000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 4.104869025153886414e+10 2.699908434432584059e+01
2.800000000000000000e+01 3.071499999999999897e+00 3.129999999999999893e+00 2.272700000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 2.421844770326055527e+10 2.793652919800577195e+01
2.900000000000000000e+01 2.146000000000000130e-01 3.800000000000000044e-01 1.609000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.797220899958863854e+08 1.748644778292115376e+01
3.000000000000000000e+01 2.100999999999999979e+00 2.270000000000000018e+00 1.805300000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 9.806388072385398865e+09 7.803509382019375273e+00
3.100000000000000000e+01 6.749000000000000554e-01 6.700000000000000400e-01 1.278099970000000000e+09 5.000000000000000278e-02 4.250000000000000444e-01 5.847912247827119446e+10 4.648300345791867016e+00
3.200000000000000000e+01 8.396000000000000130e-01 8.499999999999999778e-01 6.405400320000000000e+08 1.000000000000000000e+00 5.000000000000000000e-01 8.406137634347835541e+09 6.982301426882131068e+00
3.300000000000000000e+01 1.090000000000000080e+00 9.799999999999999822e-01 2.400000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.533790477664402580e+10 2.447784785750468473e+01
3.400000000000000000e+01 1.088700000000000001e+00 8.699999999999999956e-01 5.000000000000000000e+09 1.000000000000000000e+00 7.500000000000001110e-02 2.653812590012408752e+11 2.113543155177212185e+01
3.500000000000000000e+01 2.611000000000000210e+00 2.990000000000000213e+00 1.434000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 6.169893517160351562e+10 5.284592847925233627e+01
3.600000000000000000e+01 2.098700000000000010e+00 2.229999999999999982e+00 1.805300000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 9.863362176919260025e+09 2.224125573760887775e+01
3.700000000000000000e+01 4.868000000000000105e-01 4.799999999999999822e-01 2.600000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 5.453489405865606689e+10 1.392437760754041243e+01
3.800000000000000000e+01 1.135000000000000009e+00 1.040000000000000036e+00 1.278099970000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 4.613265331361337662e+09 1.225147465508599787e+01
3.900000000000000000e+01 1.277000000000000079e-01 1.000000000000000056e-01 1.278099970000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 3.201888944798554108e+07 2.879918872859797219e+01
4.000000000000000000e+01 6.250000000000000000e-01 3.030000000000000249e+00 4.534700160000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 7.760573984021293640e+10 2.331274921684498054e+02
4.100000000000000000e+01 1.350999999999999979e+00 1.350000000000000089e+00 8.064000000000000000e+08 1.000000000000000000e+00 3.000000000000000444e-01 4.502686207745539665e+09 9.703579740950432964e+00
4.200000000000000000e+01 2.416999999999999982e-01 4.799999999999999822e-01 2.272700000000000000e+08 5.000000000000000278e-02 2.500000000000000139e-02 1.025189733431022614e+08 1.676322779874575630e+01
4.300000000000000000e+01 3.481000000000000205e-01 4.199999999999999845e-01 1.015200000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 3.208527827290685177e+09 1.308781863521550193e+01
4.400000000000000000e+01 1.427999999999999936e+00 1.449999999999999956e+00 7.187000320000000000e+08 1.000000000000000000e+00 2.750000000000000222e-01 8.185294640166846275e+09 2.443758634141030939e+01
4.500000000000000000e+01 2.330000000000000127e-01 5.100000000000000089e-01 2.550000000000000000e+08 5.000000000000000278e-02 5.000000000000000278e-02 5.858293569601838589e+08 1.967172711454747969e+01
4.600000000000000000e+01 2.165900000000000158e+00 2.750000000000000000e+00 3.210300160000000000e+08 1.000000000000000000e+01 7.500000000000001110e-02 8.305228667140574646e+10 9.173579395439801942e+00
4.700000000000000000e+01 9.829999999999999849e-01 8.300000000000000711e-01 1.700000000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 1.596544415999009514e+10 1.424553278733169037e+01
4.800000000000000000e+01 6.660000000000000364e-01 5.700000000000000622e-01 1.278099970000000000e+09 1.000000000000000000e+00 4.750000000000000333e-01 1.456093276255009460e+10 9.822818037206447528e+00
