# obj_no spec_z phot_z age_old age_new f_old_V old_modifier EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.300000000000000044e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.200000000000000400e-01 3.198362443886227131e+09 0.000000000000000000e+00 1.366879869143953867e-02 3.293833241997375261e+00
2.000000000000000000e+00 7.328000000000000069e-01 6.600000000000000311e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.600000000000000311e-01 7.016072108609046936e+08 3.250000000000000111e-01 3.563189195575586332e+00 1.210516264824582500e+01
3.000000000000000000e+00 8.060000000000000497e-01 7.199999999999999734e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.800000000000000488e-01 2.587196816255174160e+09 7.500000000000001110e-02 2.670479383732568546e-01 1.410803448017956718e+01
4.000000000000000000e+00 6.700000000000000400e-01 5.200000000000000178e-01 8.064000000000000000e+08 5.000000000000000000e+07 8.800000000000000044e-01 6.621300238356465340e+09 7.500000000000001110e-02 1.336093712391094590e-01 2.004719529257203448e+01
5.000000000000000000e+00 6.198000000000000176e-01 5.300000000000000266e-01 5.088000000000000000e+08 2.511900000000000000e+07 8.800000000000000044e-01 3.361710780117173195e+09 9.500000000000000666e-01 1.182757377344611172e+01 2.046212647754241054e+00
6.000000000000000000e+00 6.844000000000000083e-01 2.390000000000000124e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 1.313982242853333560e+02 5.328811014838611015e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.799999999999999822e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.400000000000000133e-01 1.303984071089776754e+09 4.500000000000000111e-01 3.227672367547579135e+00 3.119622253172757453e+01
8.000000000000000000e+00 4.761999999999999567e+00 7.099999999999999645e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 8.750000000000000000e-01 1.036099326000907540e+09 1.205628594345952251e+02
9.000000000000000000e+00 6.163999999999999480e-01 5.300000000000000266e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.600000000000000089e-01 1.895032591836061478e+09 7.250000000000000888e-01 8.621363028093867342e+00 1.029896516232944315e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.100000000000000089e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 2.806275218422024846e+08 1.500000000000000000e+00 4.486122892629386172e+01 6.836109626009843510e+01
1.100000000000000000e+01 1.089299999999999935e+00 9.799999999999999822e-01 8.064000000000000000e+08 5.000000000000000000e+07 5.400000000000000355e-01 2.653924430156966686e+09 6.500000000000000222e-01 4.852524424217467214e+00 1.945745516205412073e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.209999999999999964e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.399999999999999911e-01 4.674915228168532848e+08 4.750000000000000333e-01 9.281467619171465344e+00 1.071255489042997588e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.750000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 3.649937091315826178e+08 8.500000000000000888e-01 2.846886513521198836e+01 1.416916265246565487e+01
1.400000000000000000e+01 6.630000000000000338e-01 5.999999999999999778e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.199999999999999734e-01 8.538138710161533356e+08 0.000000000000000000e+00 6.155575041482190812e-01 1.003091888499440998e+01
1.500000000000000000e+01 1.135999999999999899e+00 1.050000000000000044e+00 5.088000000000000000e+08 5.000000000000000000e+07 6.199999999999999956e-01 2.570042580520731449e+09 3.500000000000000333e-01 3.081251832587990513e+00 1.211038592627578225e+01
1.600000000000000000e+01 7.375000000000000444e-01 6.500000000000000222e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.400000000000000133e-01 6.339765317111307383e+08 6.500000000000000222e-01 2.597565502408890392e+00 3.371069055334810827e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.489999999999999991e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.199999999999999956e-01 6.105813621226208210e+08 1.100000000000000089e+00 4.283719787593161499e+01 2.050570731774333311e+01
1.800000000000000000e+01 6.594999999999999751e-01 5.999999999999999778e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.000000000000000444e-01 1.328154910469572306e+09 2.500000000000000139e-02 8.025542858655071443e-01 1.447015660226625755e+01
1.900000000000000000e+01 6.670000000000000373e-01 5.999999999999999778e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.200000000000000400e-01 1.151514004314516258e+10 7.750000000000000222e-01 1.959517762160756682e+00 1.437954839806440122e+00
2.000000000000000000e+01 3.029999999999999916e-01 1.000000000000000021e-02 1.434000000000000000e+09 1.000000000000000000e+07 9.599999999999999645e-01 8.949501804040348053e+09 0.000000000000000000e+00 6.952014335682396877e-05 4.792707630248325046e+01
2.100000000000000000e+01 6.599000000000000421e-01 5.600000000000000533e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.600000000000000311e-01 1.191217757954604864e+09 1.325000000000000178e+00 1.658200614898123959e+01 5.268183050060028627e+00
2.200000000000000000e+01 1.239999999999999991e-01 2.930000000000000160e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 5.500000000000000444e-01 6.709703901593589137e+01 2.347485433407403121e+01
2.300000000000000000e+01 2.706599999999999895e+00 2.760000000000000231e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000042e-02 2.686288222314984202e+08 1.175000000000000044e+00 4.040616712540612809e+01 3.450607330104956105e+01
2.400000000000000000e+01 2.371000000000000052e-01 2.099999999999999922e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 1.011331114217116356e+09 1.000000000000000056e-01 5.617262257401800518e-01 5.251385431031132534e+00
2.500000000000000000e+01 2.813999999999999835e-01 1.700000000000000122e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 9.815084671295900345e+08 0.000000000000000000e+00 6.616473778269819916e-02 2.782841451512374675e+01
2.600000000000000000e+01 7.587000000000000410e-01 6.099999999999999867e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.000000000000000444e-01 2.584438566474585533e+09 5.000000000000000278e-02 9.501001306442581340e-01 2.940073284499131034e+01
2.700000000000000000e+01 1.048999999999999932e+00 9.699999999999999734e-01 1.139100030000000000e+09 1.000000000000000000e+07 4.799999999999999822e-01 1.739197324771739483e+09 1.150000000000000133e+00 1.141654046303522385e+01 7.919094509177197594e+00
2.800000000000000000e+01 3.071499999999999897e+00 3.189999999999999947e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 7.605667118158437014e+08 1.175000000000000044e+00 4.442035346348472302e+01 4.535971241807076382e+01
2.900000000000000000e+01 2.146000000000000130e-01 2.099999999999999922e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.199999999999999734e-01 5.708558902549574375e+08 0.000000000000000000e+00 1.754432119421170944e-01 2.297123527867593396e+01
3.000000000000000000e+01 2.100999999999999979e+00 2.149999999999999911e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 2.922793056687784195e+08 1.125000000000000000e+00 4.780581303615284838e+01 1.477956286205350800e+01
3.100000000000000000e+01 6.749000000000000554e-01 5.899999999999999689e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e+00 4.273795983533515930e+10 3.428947986428113381e+00
3.200000000000000000e+01 8.396000000000000130e-01 7.700000000000000178e-01 5.088000000000000000e+08 1.000000000000000000e+07 5.400000000000000355e-01 5.021695566638152003e+08 6.250000000000000000e-01 9.307036686525696823e+00 9.074113705556136722e+00
3.300000000000000000e+01 1.090000000000000080e+00 9.799999999999999822e-01 8.064000000000000000e+08 5.000000000000000000e+07 3.800000000000000044e-01 1.385621237728308678e+09 1.074999999999999956e+00 6.642253761795347877e+00 1.228201502736594186e+01
3.400000000000000000e+01 1.088700000000000001e+00 9.599999999999999645e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.600000000000000089e-01 3.859575740186640263e+09 1.150000000000000133e+00 2.761094568644674752e+01 1.054362166235012488e+01
3.500000000000000000e+01 2.611000000000000210e+00 2.850000000000000089e+00 5.088000000000000000e+08 5.000000000000000000e+07 5.999999999999999778e-02 8.830951074183226824e+08 9.500000000000000666e-01 2.887184280137055126e+01 2.647273637226500753e+01
3.600000000000000000e+01 2.098700000000000010e+00 2.169999999999999929e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 4.560477518580496311e+08 8.500000000000000888e-01 2.777268272956028383e+01 2.754952099351356409e+01
3.700000000000000000e+01 4.868000000000000105e-01 4.199999999999999845e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 1.561109719837549210e+09 1.050000000000000044e+00 1.402820569494420511e+01 4.992354282835126611e+00
