# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 2.225999999999999979e+00 2.189999999999999947e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.345600626628430829e-01 9.500000000000000666e-01 3.741671031664737486e-17 2.245685311321487276e+01 5.595799848408554311e+01 2.811711490534147263e+10
2.000000000000000000e+00 7.850000000000000311e-01 7.299999999999999822e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.788688785174088469e-01 1.050000000000000044e+00 1.512670945654962231e-16 4.090942434863467092e+00 1.580965108149685783e+01 1.022977823910078430e+10
3.000000000000000000e+00 1.606000000000000094e+00 1.400000000000000133e+00 8.064000000000000000e+08 5.000000000000000000e+07 8.194539282036752414e-01 6.000000000000000888e-01 2.090242296198004762e-17 1.957080473674895416e+01 7.796551786137776219e+00 3.232904533089498901e+10
4.000000000000000000e+00 1.328999999999999959e+00 9.799999999999999822e-01 1.700000000000000000e+09 5.000000000000000000e+07 8.194539282036752414e-01 8.250000000000000666e-01 3.766317127858022778e-17 1.147640297908161422e+01 4.777579146016537770e+00 4.394813956258506775e+10
5.000000000000000000e+00 8.719999999999999973e-01 7.399999999999999911e-01 8.064000000000000000e+08 1.000000000000000000e+07 6.788688785174088469e-01 1.475000000000000089e+00 3.187137259033740012e-16 6.635678235567891825e+00 3.464389192581558063e+01 3.418149182495516586e+10
6.000000000000000000e+00 8.169999999999999485e-01 6.900000000000000577e-01 8.064000000000000000e+08 5.000000000000000000e+07 8.194539282036752414e-01 1.500000000000000000e+00 1.421279985587498879e-16 1.463855014007184074e+01 6.466951917009276407e+00 2.681574975868654251e+10
7.000000000000000000e+00 1.030999999999999917e+00 9.200000000000000400e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.118928294465026951e-01 6.750000000000000444e-01 8.088451502478119803e-17 3.527577776887680816e+00 8.505822824772547364e+00 8.320520706919445992e+09
8.000000000000000000e+00 1.409999999999999920e+00 1.110000000000000098e+00 8.064000000000000000e+08 1.000000000000000000e+07 6.469219452298986539e-01 4.750000000000000333e-01 2.388640842827757304e-17 9.641156898376205930e+00 8.596094036804659666e+00 7.362401690665908813e+09
9.000000000000000000e+00 3.579999999999999849e-01 3.200000000000000067e-01 1.700000000000000000e+09 1.000000000000000000e+07 9.798004827959798657e-01 3.500000000000000333e-01 1.757079584430258570e-17 3.729521010699237138e+00 1.937705250199543983e-01 9.699552274716011047e+09
1.000000000000000000e+01 3.880000000000000115e-01 3.500000000000000333e-01 1.434000000000000000e+09 1.000000000000000000e+07 9.003521803856815442e-01 0.000000000000000000e+00 1.338683665707627649e-17 7.459769611679599954e+00 1.861029683543646285e-01 1.451663063755107403e+09
1.100000000000000000e+01 1.030000000000000027e+00 9.899999999999999911e-01 1.139100030000000000e+09 5.000000000000000000e+07 9.968174326144358943e-01 3.750000000000000000e-01 1.451999449404185545e-18 3.210265137286101300e+00 1.898417349039915603e-01 6.742174863625939178e+10
1.200000000000000000e+01 1.203999999999999959e+00 9.799999999999999822e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.118928294465026951e-01 2.750000000000000222e-01 2.122575234062378049e-17 1.027147746315401378e+01 5.260204473016318438e+00 2.551810766735567570e+09
