# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.300000000000000044e-01 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 2.091965505049278587e+07 3.004872168439546698e+01
2.000000000000000000e+00 7.328000000000000069e-01 9.300000000000000488e-01 1.609000000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 2.482997022444476128e+09 1.095627186042525025e+01
3.000000000000000000e+00 8.060000000000000497e-01 9.500000000000000666e-01 1.609000000000000000e+08 5.000000000000000278e-02 4.250000000000000444e-01 5.107966943604140282e+08 1.480504817683634400e+01
4.000000000000000000e+00 6.700000000000000400e-01 5.400000000000000355e-01 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 3.123576250970518589e+08 2.021327811242020118e+02
5.000000000000000000e+00 6.198000000000000176e-01 4.799999999999999822e+00 1.609000000000000000e+08 5.000000000000000278e-02 3.250000000000000111e-01 1.015170825606063843e+12 2.229416503475779336e+02
6.000000000000000000e+00 6.844000000000000083e-01 7.900000000000000355e-01 1.609000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.205427167228893757e+09 5.776435920414753866e+01
7.000000000000000000e+00 1.088999999999999968e+00 1.080000000000000071e+00 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.916823296494378567e+09 1.093111470675519854e+02
8.000000000000000000e+00 4.761999999999999567e+00 4.990000000000000213e+00 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.606722397099320602e+10 2.308138783063353117e+02
9.000000000000000000e+00 6.163999999999999480e-01 2.899999999999999911e+00 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.852147266795437622e+11 3.160031068934474092e+02
1.000000000000000000e+01 2.100999999999999979e+00 2.950000000000000178e+00 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 9.409833503805383682e+09 1.867839679227090528e+02
1.100000000000000000e+01 1.089299999999999935e+00 9.799999999999999822e-01 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 2.325784271339214802e+09 4.745283715898132755e+02
1.200000000000000000e+01 1.266999999999999904e+00 1.439999999999999947e+00 1.609000000000000000e+08 5.000000000000000278e-02 3.000000000000000444e-01 3.094980393795125484e+09 2.287106029910239613e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.660000000000000142e+00 1.609000000000000000e+08 5.000000000000000278e-02 3.000000000000000444e-01 4.927887028317842484e+09 1.212293609050870558e+01
1.400000000000000000e+01 6.630000000000000338e-01 7.099999999999999645e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 3.722229486625791192e+08 4.011096312564249367e+00
1.500000000000000000e+01 1.135999999999999899e+00 1.130000000000000115e+00 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 3.433037939817866325e+09 1.532290290617150390e+02
1.600000000000000000e+01 7.375000000000000444e-01 9.200000000000000400e-01 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.407838303355950832e+09 5.107873733789107717e+01
1.700000000000000000e+01 1.930600000000000094e+00 2.180000000000000160e+00 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.316392901787329102e+10 2.285641770252732101e+02
1.800000000000000000e+01 6.594999999999999751e-01 6.700000000000000400e-01 1.609000000000000000e+08 5.000000000000000278e-02 3.250000000000000111e-01 6.914197521789149046e+08 1.759151755523216210e+01
1.900000000000000000e+01 6.670000000000000373e-01 4.990000000000000213e+00 1.609000000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 3.970706024258604126e+11 3.021407481850931163e+02
2.000000000000000000e+01 3.029999999999999916e-01 1.000000000000000056e-01 1.609000000000000000e+08 5.000000000000000278e-02 5.000000000000000000e-01 1.986864210608960688e+07 1.532082212606084397e+02
2.100000000000000000e+01 6.599000000000000421e-01 4.990000000000000213e+00 1.609000000000000000e+08 5.000000000000000278e-02 3.250000000000000111e-01 4.667464505165313721e+11 4.716724756690683193e+02
2.200000000000000000e+01 1.239999999999999991e-01 3.050000000000000266e+00 1.609000000000000000e+08 1.000000000000000000e+01 0.000000000000000000e+00 2.005771411684829712e+11 9.896338501651550246e+01
