# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi
1.000000000000000000e+00 2.225999999999999979e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.782501018224689778e-16 3.710184824417658547e+02
2.000000000000000000e+00 7.850000000000000311e-01 1.000000000000000021e-02 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 6.655464772939464556e-16 2.335478152075932030e+02
3.000000000000000000e+00 1.606000000000000094e+00 1.000000000000000021e-02 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.747283944632182878e-16 5.263407792586048117e+02
4.000000000000000000e+00 1.328999999999999959e+00 2.000000000000000111e-01 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.827776097727453629e-16 5.252915113373978784e+02
5.000000000000000000e+00 8.719999999999999973e-01 8.999999999999999667e-02 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 6.891062995496652876e-16 3.401451119558064988e+02
6.000000000000000000e+00 8.169999999999999485e-01 7.600000000000000089e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 9.342712032403586544e-16 1.371279270244716031e+02
7.000000000000000000e+00 1.030999999999999917e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.975756428907910773e-16 2.331736184864703887e+02
8.000000000000000000e+00 1.409999999999999920e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.762158262522594375e-16 3.395468896652541275e+02
9.000000000000000000e+00 3.579999999999999849e-01 1.000000000000000056e-01 1.434000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.735568796404177281e-15 2.561013994622007672e+01
1.000000000000000000e+01 3.880000000000000115e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.202196881812827185e-16 1.211048401889808446e+02
1.100000000000000000e+01 1.030000000000000027e+00 8.000000000000000444e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.269804719881499862e-15 7.270319094406316651e+01
1.200000000000000000e+01 1.203999999999999959e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.280445059517292572e-16 6.014082987273867502e+02
1.300000000000000000e+01 1.990000000000000102e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.009351999432646265e-15 2.006148768527758932e+02
1.400000000000000000e+01 5.430000000000000382e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.473325243298017218e-16 2.514600865505180423e+02
1.500000000000000000e+01 4.299999999999999933e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.969569541347752545e-15 3.187803023848941848e+02
1.600000000000000000e+01 1.655000000000000027e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.667382187238124279e-16 5.149178406455209824e+02
1.700000000000000000e+01 3.438000000000000167e+00 1.000000000000000056e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.722345689748705015e-16 1.560307169590105900e+02
1.800000000000000000e+01 8.129999999999999449e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.100824677834998472e-16 3.296140604141011181e+02
1.900000000000000000e+01 1.191999999999999948e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.825781744257253140e-16 3.857799888817217493e+02
2.000000000000000000e+01 2.580999999999999961e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.448710282824044589e-16 4.901843625143586110e+02
2.100000000000000000e+01 8.309999999999999609e-01 1.000000000000000021e-02 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 8.360006023749348463e-16 3.217923189207418204e+02
2.200000000000000000e+01 1.629000000000000004e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.674965636459364626e-16 3.416302171196854260e+02
2.300000000000000000e+01 1.060999999999999943e+00 1.000000000000000021e-02 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 7.312164781781734855e-16 3.317517909716062832e+02
2.400000000000000000e+01 4.259999999999999898e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.962455184646067830e-16 1.148189068847821375e+02
2.500000000000000000e+01 6.959999999999999520e-01 3.200000000000000067e-01 2.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.458861032254171609e-16 5.350161857742429561e+01
2.600000000000000000e+01 1.028999999999999915e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.396242416487072678e-16 2.653110816092060986e+02
2.700000000000000000e+01 1.028000000000000025e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.290191911598943546e-16 2.706910356068176498e+02
2.800000000000000000e+01 4.510000000000000120e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 9.199861728137718756e-16 1.199827066633842207e+02
2.900000000000000000e+01 4.309999999999999942e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.772113322686111505e-16 7.357113383420920627e+01
3.000000000000000000e+01 1.245000000000000107e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.149343413109134025e-16 3.162080757455624394e+02
3.100000000000000000e+01 1.824000000000000066e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 6.446649923219905742e-16 4.731115746190016011e+02
3.200000000000000000e+01 2.736000000000000210e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.871233444522627692e-16 3.080825645615591952e+02
3.300000000000000000e+01 6.460000000000000187e-01 5.000000000000000278e-02 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.099590976996380950e-15 2.385321962451763227e+02
3.400000000000000000e+01 1.082000000000000073e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.323350148328030004e-16 2.878841889351262466e+02
3.500000000000000000e+01 9.180000000000000382e-01 1.000000000000000021e-02 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.862430375198499968e-16 3.129723456743366796e+02
3.600000000000000000e+01 5.040000000000000036e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.565617160162013513e-16 5.392606374924712327e+02
3.700000000000000000e+01 2.725999999999999979e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.235352157048769009e-16 5.277100125989492199e+02
3.800000000000000000e+01 6.909999999999999476e-01 1.000000000000000021e-02 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.678198685401611577e-16 1.442603116735158437e+02
3.900000000000000000e+01 1.060000000000000053e+00 1.000000000000000021e-02 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.597468717855266518e-16 4.073206843039351384e+02
4.000000000000000000e+01 6.949999999999999512e-01 4.799999999999999822e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.757697567070243317e-16 8.687955658456789365e+01
4.100000000000000000e+01 1.092999999999999972e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.899018147479824644e-16 6.135510583817425641e+02
4.200000000000000000e+01 1.808000000000000052e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.045996894980422279e-16 4.418747664483222479e+02
4.300000000000000000e+01 2.555000000000000160e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.201097097097818121e-16 3.509477054615142038e+02
4.400000000000000000e+01 1.411000000000000032e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 4.488078147845410723e-16 3.274561388011289296e+02
4.500000000000000000e+01 1.060000000000000053e+00 1.000000000000000021e-02 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 4.013821413623255940e-16 3.811660089680688088e+02
4.600000000000000000e+01 1.286000000000000032e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 4.194649579359853387e-16 3.979749013146990819e+02
4.700000000000000000e+01 8.509999999999999787e-01 1.000000000000000021e-02 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 9.962515714568506496e-16 3.209577896002847410e+02
4.800000000000000000e+01 1.336000000000000076e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 4.089594104259901652e-16 3.986388887953514768e+02
4.900000000000000000e+01 9.839999999999999858e-01 8.999999999999999667e-02 3.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 4.590593984350744190e-16 3.988647001414475994e+02
5.000000000000000000e+01 1.568000000000000060e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.707661987740432004e-16 4.037799758635681542e+02
5.100000000000000000e+01 5.280000000000000249e-01 2.999999999999999889e-02 3.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.538298886657645917e-16 5.756502362912043509e+02
5.200000000000000000e+01 1.407000000000000028e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 6.820120836085734431e-16 3.219723044725249679e+02
5.300000000000000000e+01 6.470000000000000195e-01 5.799999999999999600e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.322891011483347205e-15 3.229338852516905689e+01
5.400000000000000000e+01 2.293000000000000149e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.102461927610088869e-16 6.092403399967604400e+02
5.500000000000000000e+01 1.776000000000000023e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.223386363440262826e-16 4.493352747933788578e+02
5.600000000000000000e+01 2.600000000000000089e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.836734870551476517e-16 2.899329861043077585e+02
5.700000000000000000e+01 5.340000000000000302e-01 1.799999999999999933e-01 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.036787941979698036e-16 1.825545003720039290e+02
5.800000000000000000e+01 3.830000000000000071e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.166562301015856030e-16 2.540504768432182345e+02
5.900000000000000000e+01 2.889999999999999791e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.088547570291932778e-16 8.326467432545662177e+02
6.000000000000000000e+01 3.840000000000000080e-01 2.000000000000000042e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.902083716929954686e-16 1.190266569692335139e+02
6.100000000000000000e+01 6.460000000000000187e-01 1.000000000000000021e-02 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 6.463542562683760848e-16 2.021002147661515664e+02
6.200000000000000000e+01 1.377000000000000002e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 6.654686724189899868e-16 3.494520740933488128e+02
6.300000000000000000e+01 1.618000000000000105e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 5.370971846808957105e-16 5.583180408058250350e+02
6.400000000000000000e+01 1.036999999999999922e+00 9.699999999999999734e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.491844364927226006e-15 1.774504774095692383e+01
6.500000000000000000e+01 7.830000000000000293e-01 1.000000000000000021e-02 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.802922709218761148e-16 2.446139497920391932e+02
6.600000000000000000e+01 1.348999999999999977e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.121720373795317272e-16 3.323089577615773464e+02
6.700000000000000000e+01 1.187000000000000055e+00 9.799999999999999822e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.447098228334777508e-16 2.503993877195919993e+02
6.800000000000000000e+01 1.809999999999999942e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 1.283175124129681286e-15 1.852257744181130192e+02
6.900000000000000000e+01 6.470000000000000195e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 9.004508064712655454e-16 1.885829402248248812e+02
7.000000000000000000e+01 1.401000000000000023e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.617226799497820016e-16 4.019939753242308029e+02
7.100000000000000000e+01 7.109999999999999654e-01 7.000000000000000666e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 6.066772495059727337e-16 1.027234998908557273e+01
7.200000000000000000e+01 1.187999999999999945e+00 3.099999999999999978e-01 2.500000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.998049357868406416e-16 6.706028587576397513e+02
7.300000000000000000e+01 3.860000000000000098e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 2.528508742037742863e-16 3.934334715704670771e+02
7.400000000000000000e+01 1.407999999999999918e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 3.708341565098504311e-16 3.151216830895095882e+02
7.500000000000000000e+01 9.549999999999999600e-01 8.599999999999999867e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.499999999999999778e-01 6.704306241861874399e-16 4.977537950590969018e+01
