# obj_no phot_z age_old age_new f_old_V  EBV norm chi
1.000000000000000000e+00 2.899999999999999800e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.187989160644089992e-01 2.500000000000000139e-02 1.483647005162763286e-18 1.990588300845127151e+03
2.000000000000000000e+00 1.409999999999999920e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 4.000000000000000222e-01 4.787966960514612970e-18 1.278451341438113559e+03
3.000000000000000000e+00 2.999999999999999889e-02 8.064000000000000000e+08 1.000000000000000000e+07 9.736921945229898290e-01 7.500000000000001110e-02 4.881155714498025541e-19 1.537698572487968704e+03
4.000000000000000000e+00 1.699999999999999956e+00 4.000000000000000000e+09 2.511900000000000000e+07 9.469042655519807061e-01 1.750000000000000167e-01 7.072587154141488993e-19 7.929863339693160924e+02
5.000000000000000000e+00 3.910000000000000142e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.100000000000000311e-01 3.750000000000000000e-01 8.693384641443265051e-18 9.105793451568458750e+02
6.000000000000000000e+00 3.500000000000000333e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.736921945229898290e-01 1.000000000000000056e-01 2.041977423713523990e-19 9.251377120213160197e+02
7.000000000000000000e+00 2.470000000000000195e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 2.000000000000000111e-01 4.330532441726830308e-19 6.207455102708989898e+02
8.000000000000000000e+00 4.199999999999999845e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 0.000000000000000000e+00 9.253987097402652161e-20 9.612340152043983608e+02
9.000000000000000000e+00 4.700000000000000289e-01 1.139100030000000000e+09 2.511900000000000000e+07 9.100000000000000311e-01 1.000000000000000000e+00 2.860995101141924419e-16 7.431070214048600064e+03
1.000000000000000000e+01 4.860000000000000320e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.663484167759833765e-01 3.750000000000000000e-01 3.168887801848777432e-17 6.035896522823044506e+03
1.100000000000000000e+01 1.459999999999999964e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.100000000000000311e-01 5.750000000000000666e-01 1.789962340723587520e-16 1.845881764622238961e+03
1.200000000000000000e+01 3.510000000000000231e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.100000000000000311e-01 2.250000000000000056e-01 2.173492194600377435e-18 5.932029232070958642e+02
1.300000000000000000e+01 2.300000000000000266e+00 3.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 3.000000000000000444e-01 7.306276624834679936e-18 1.130721124721412707e+03
1.400000000000000000e+01 3.040000000000000036e+00 1.434000000000000000e+09 5.000000000000000000e+07 9.736921945229898290e-01 9.250000000000000444e-01 3.404065785865731932e-15 2.264586777451238504e+03
1.500000000000000000e+01 4.990000000000000213e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.736921945229898290e-01 0.000000000000000000e+00 9.670429268250667689e-20 8.661319228690159662e+02
1.600000000000000000e+01 3.580000000000000071e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.100000000000000311e-01 3.500000000000000333e-01 1.597615236068565946e-17 1.411027646296718331e+03
1.700000000000000000e+01 1.040000000000000036e+00 1.434000000000000000e+09 5.000000000000000000e+07 9.736921945229898290e-01 3.500000000000000333e-01 2.127555002526314185e-17 4.310004115452663427e+03
1.800000000000000000e+01 3.200000000000000067e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 2.314344524837509321e-18 3.170114994890986509e+03
1.900000000000000000e+01 3.189999999999999947e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.100000000000000311e-01 3.500000000000000333e-01 1.657973026682206200e-17 2.062643803563558322e+03
2.000000000000000000e+01 2.580000000000000071e+00 1.434000000000000000e+09 5.000000000000000000e+07 9.736921945229898290e-01 0.000000000000000000e+00 1.153901403124528199e-19 5.230375411064114815e+02
2.100000000000000000e+01 3.890000000000000124e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 6.500000000000000222e-01 1.149003823031811207e-15 6.144909054145017762e+03
2.200000000000000000e+01 7.500000000000000000e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 3.500000000000000333e-01 7.097066012146223866e-19 1.157256762133900111e+03
2.300000000000000000e+01 5.000000000000000000e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 3.000000000000000444e-01 7.789713410047182447e-19 1.110416564557529455e+03
2.400000000000000000e+01 1.260000000000000009e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.736921945229898290e-01 3.000000000000000444e-01 6.925260652633052374e-18 1.645944737257826318e+03
2.500000000000000000e+01 4.000000000000000222e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 0.000000000000000000e+00 1.308094407192627760e-19 8.854052553274524371e+02
2.600000000000000000e+01 3.479999999999999982e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.575192539750227994e-01 7.500000000000001110e-02 3.922397021374890196e-19 7.392795101724486813e+02
2.700000000000000000e+01 4.360000000000000320e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.663484167759833765e-01 2.500000000000000139e-02 8.972435268627571163e-19 2.232209793429457022e+03
2.800000000000000000e+01 1.040000000000000036e+00 1.434000000000000000e+09 5.000000000000000000e+07 9.187989160644089992e-01 3.500000000000000333e-01 6.328350998698242581e-18 1.351329809055623173e+03
2.900000000000000000e+01 4.540000000000000036e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.524560062662843496e-01 7.500000000000000000e-01 4.374786964349192999e-16 4.777896689455455635e+04
3.000000000000000000e+01 3.609999999999999876e+00 2.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 3.750000000000000000e-01 6.100782248468665868e-18 9.725214107296371822e+02
3.100000000000000000e+01 7.299999999999999822e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 3.708774150353468218e-19 1.247633220451315765e+03
3.200000000000000000e+01 2.370000000000000107e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.701892829446502331e-01 1.000000000000000000e+00 2.717712816837135588e-15 1.788524489511959928e+03
3.300000000000000000e+01 3.699999999999999956e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 2.750000000000000222e-01 3.866400433297620254e-19 1.111220209472696297e+03
3.400000000000000000e+01 6.140000000000000568e+00 1.139100030000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 4.000000000000000222e-01 -2.194227588728413275e-18 5.922444903531312548e+02
3.500000000000000000e+01 1.060000000000000053e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.736921945229898290e-01 3.250000000000000111e-01 1.827678514500011708e-17 4.099719579110120321e+03
3.600000000000000000e+01 4.280000000000000249e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 5.000000000000000278e-02 1.742852980542949452e-19 8.012001575645467710e+02
