# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 4.299999999999999933e-01 1.700000000000000000e+09 1.000000000000000000e+07 6.469219452298986539e-01 0.000000000000000000e+00 5.265732915111644518e-18 1.971362379783540973e+03 1.260903227235754820e-01 2.396264364260318875e+08
2.000000000000000000e+00 1.409999999999999920e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 2.500000000000000000e-01 8.405369568696122060e-17 1.269779091268494994e+03 0.000000000000000000e+00 1.886535532125893021e+10
3.000000000000000000e+00 3.900000000000000133e-01 5.088000000000000000e+08 5.000000000000000000e+07 3.181690290810633703e-01 2.500000000000000000e-01 2.042247911707535847e-17 1.533176748807855574e+03 1.930099190476714799e-01 6.267608965741415322e+07
4.000000000000000000e+00 1.699999999999999956e+00 4.000000000000000000e+09 2.511900000000000000e+07 9.469042655519807061e-01 1.750000000000000167e-01 7.072587154141488993e-19 7.929863339693160924e+02 6.274354420579931757e-01 4.095176166032672119e+10
5.000000000000000000e+00 3.910000000000000142e+00 1.700000000000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 3.750000000000000000e-01 8.722696903235759619e-18 9.104617729715836276e+02 8.145987133836922567e+01 5.731578046512822151e+09
6.000000000000000000e+00 3.500000000000000333e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.736921945229898290e-01 1.000000000000000056e-01 2.041977423713523990e-19 9.251377120213160197e+02 2.838744279925217370e-03 3.169047482448066771e+07
7.000000000000000000e+00 2.479999999999999982e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.848811356849042076e-01 0.000000000000000000e+00 1.012555275449850823e-19 6.202835716001469564e+02 2.238203333322791866e-01 1.317099430123823929e+10
8.000000000000000000e+00 4.199999999999999845e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 0.000000000000000000e+00 3.532671446975550740e-18 9.608398549264553594e+02 0.000000000000000000e+00 2.393561181378768384e+07
9.000000000000000000e+00 1.090000000000000080e+00 2.500000000000000000e+09 5.000000000000000000e+07 6.469219452298986539e-01 1.000000000000000000e+00 4.572955800498456779e-15 7.328189320112753194e+03 7.975103767948213545e+02 4.528194673473000977e+12
1.000000000000000000e+01 2.459999999999999964e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.990352180385682068e-01 5.250000000000000222e-01 1.529526786256119799e-17 5.975265850145658987e+03 3.295859358343960821e+01 6.879545853473009375e+13
