# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 3.820000000000000062e-01 3.099999999999999978e-01 2.600000000000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 6.718135091759881973e+08 1.765812989382409981e+01
2.000000000000000000e+00 7.359999999999999876e-01 7.299999999999999822e-01 1.805300000000000000e+08 5.000000000000000278e-02 1.500000000000000222e-01 1.106837093354034424e+09 4.491921600244926260e+00
3.000000000000000000e+00 7.099999999999999645e-01 6.400000000000000133e-01 4.000000000000000000e+09 1.000000000000000000e+00 1.250000000000000000e-01 3.779771241937693787e+10 9.347286470014823934e+00
4.000000000000000000e+00 3.830000000000000071e-01 3.800000000000000044e-01 3.249999870000000000e+09 1.000000000000000000e+00 2.250000000000000056e-01 3.913058918228424072e+10 6.394299173398105829e+00
5.000000000000000000e+00 3.579999999999999849e-01 2.399999999999999911e-01 2.000000000000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 4.078471809147396684e+08 2.698250359561580325e+01
6.000000000000000000e+00 1.885000000000000009e+00 1.800000000000000044e+00 1.278000000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 1.169888150634159470e+10 1.595280569086362910e+01
7.000000000000000000e+00 1.980000000000000093e-01 1.499999999999999944e-01 2.600000000000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 7.156731956900618076e+08 6.861986947939540116e+00
8.000000000000000000e+00 1.032000000000000028e+00 9.899999999999999911e-01 1.805300000000000000e+08 5.000000000000000278e-02 2.500000000000000000e-01 4.742102347612862587e+09 7.690429214518507806e+00
9.000000000000000000e+00 6.340000000000000080e-01 6.300000000000000044e-01 1.434000000000000000e+09 5.000000000000000278e-02 1.250000000000000000e-01 7.912921903260302734e+10 7.115921747359191585e+00
1.000000000000000000e+01 6.919999999999999485e-01 7.299999999999999822e-01 7.187000320000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 2.430771367559526062e+10 1.483450569141838216e+01
1.100000000000000000e+01 1.990000000000000102e-01 1.700000000000000122e-01 2.000000000000000000e+09 1.000000000000000000e+00 0.000000000000000000e+00 1.222854967170343548e+08 1.777440964786248045e+01
1.200000000000000000e+01 6.770000000000000462e-01 6.500000000000000222e-01 2.550000000000000000e+08 5.000000000000000278e-02 5.750000000000000666e-01 3.200578568859383774e+10 1.560626702196488225e+01
1.300000000000000000e+01 2.278000000000000025e+00 2.220000000000000195e+00 1.805300000000000000e+08 5.000000000000000278e-02 2.500000000000000000e-01 2.783525910331912994e+10 1.395232619479891767e+01
1.400000000000000000e+01 1.211000000000000076e+00 1.080000000000000071e+00 1.805300000000000000e+08 5.000000000000000278e-02 7.500000000000001110e-02 2.665272169393568993e+09 7.676437893965884385e+00
1.500000000000000000e+01 1.191999999999999948e+00 1.150000000000000133e+00 1.805300000000000000e+08 5.000000000000000278e-02 1.500000000000000222e-01 3.335552156550235748e+09 1.261333334422141306e+01
1.600000000000000000e+01 4.620000000000000218e-01 4.400000000000000022e-01 2.000000000000000000e+09 1.000000000000000000e+00 2.000000000000000111e-01 3.052874039828157043e+10 6.933377805048333897e+00
1.700000000000000000e+01 1.153000000000000025e+00 9.200000000000000400e-01 4.750000130000000000e+09 1.000000000000000000e+01 3.000000000000000444e-01 1.504876917861481934e+11 8.956428283351884900e+00
1.800000000000000000e+01 6.949999999999999512e-01 6.900000000000000577e-01 2.550000000000000000e+08 5.000000000000000278e-02 5.500000000000000444e-01 4.781879053511083984e+10 1.314834767755300859e+01
1.900000000000000000e+01 8.970000000000000195e-01 8.499999999999999778e-01 1.805300000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 1.863202862450899506e+10 1.953235353117705131e+01
2.000000000000000000e+01 1.205999999999999961e+00 1.169999999999999929e+00 1.805300000000000000e+08 5.000000000000000278e-02 1.000000000000000056e-01 2.705786840740524769e+09 1.110052287630841761e+01
2.100000000000000000e+01 2.724000000000000199e+00 2.709999999999999964e+00 9.047800000000000000e+07 5.000000000000000278e-02 1.250000000000000000e-01 3.777240383318750000e+10 2.663740900194421357e+01
2.200000000000000000e+01 1.245000000000000107e+00 1.140000000000000124e+00 1.805300000000000000e+08 5.000000000000000278e-02 1.750000000000000167e-01 3.738352594710843563e+09 7.430832606694474762e+00
2.300000000000000000e+01 2.489999999999999991e-01 2.099999999999999922e-01 1.700000000000000000e+09 1.000000000000000000e+00 2.500000000000000139e-02 5.578150570096517801e+08 6.926513934530588834e+00
