# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.787999999999999867e-01 2.861200000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 5.235527192062017322e+07 8.163964118035664796e+00
2.000000000000000000e+00 7.328000000000000069e-01 7.328000000000000069e-01 6.405400320000000000e+08 1.000000000000000000e+00 3.500000000000000333e-01 4.529431358314747810e+09 1.381739924217225024e+01
3.000000000000000000e+00 8.060000000000000497e-01 8.060000000000000497e-01 1.015200000000000000e+09 1.000000000000000000e+00 2.500000000000000000e-01 1.081056372127376795e+09 1.355873347814188357e+01
4.000000000000000000e+00 6.700000000000000400e-01 6.700000000000000400e-01 2.861200000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 8.946165426230156422e+08 3.370214292154788183e+01
5.000000000000000000e+00 6.198000000000000176e-01 6.198000000000000176e-01 2.550000000000000000e+08 5.000000000000000278e-02 1.125000000000000000e+00 3.839460613870296478e+10 3.098032265113946249e+00
6.000000000000000000e+00 6.844000000000000083e-01 6.844000000000000083e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.012128040277029991e+09 5.973128544943870111e+01
7.000000000000000000e+00 1.088999999999999968e+00 1.088999999999999968e+00 1.805300000000000000e+08 5.000000000000000278e-02 6.000000000000000888e-01 2.577263291410022736e+09 3.682039285761501191e+01
8.000000000000000000e+00 4.761999999999999567e+00 4.761999999999999567e+00 1.139100030000000000e+09 1.000000000000000000e+01 1.425000000000000044e+00 4.996609163689390259e+11 6.890417061536425081e+01
9.000000000000000000e+00 6.163999999999999480e-01 6.163999999999999480e-01 2.025600000000000000e+08 5.000000000000000278e-02 8.750000000000000000e-01 1.457987830029607201e+10 1.880058290096591644e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.100999999999999979e+00 1.805300000000000000e+08 5.000000000000000278e-02 8.500000000000000888e-01 7.961159099143300056e+09 4.330206385422896886e+01
1.100000000000000000e+01 1.089299999999999935e+00 1.089299999999999935e+00 1.278099970000000000e+09 1.000000000000000000e+00 7.250000000000000888e-01 1.957983262382666397e+10 2.900104713526904021e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.266999999999999904e+00 1.015200000000000000e+09 1.000000000000000000e+01 2.750000000000000222e-01 4.177492899206017303e+10 1.491498299774704606e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.671100000000000030e+00 3.602000000000000000e+08 1.000000000000000000e+00 6.500000000000000222e-01 1.686113675338296509e+10 1.205136497811459684e+01
1.400000000000000000e+01 6.630000000000000338e-01 6.630000000000000338e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 3.202888282965758443e+08 7.477195977417006034e+00
1.500000000000000000e+01 1.135999999999999899e+00 1.135999999999999899e+00 1.805300000000000000e+08 5.000000000000000278e-02 6.750000000000000444e-01 5.047882244876918793e+09 1.767652959130160184e+01
1.600000000000000000e+01 7.375000000000000444e-01 7.375000000000000444e-01 1.278000000000000000e+08 5.000000000000000278e-02 8.000000000000000444e-01 9.622241509839278460e+08 1.968795850931410296e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.930600000000000094e+00 9.047900160000000000e+08 1.000000000000000000e+01 9.750000000000000888e-01 3.163915955465309448e+11 2.359502726971751940e+01
1.800000000000000000e+01 6.594999999999999751e-01 6.594999999999999751e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.750000000000000167e-01 7.597132945236861706e+08 1.330846951622841523e+01
1.900000000000000000e+01 6.670000000000000373e-01 6.670000000000000373e-01 2.861200000000000000e+08 5.000000000000000278e-02 1.250000000000000000e+00 1.799838542828173447e+10 7.633398202325507143e+00
2.000000000000000000e+01 3.029999999999999916e-01 3.029999999999999916e-01 3.210300160000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 2.433600685789116621e+08 6.803291312951961345e+01
2.100000000000000000e+01 6.599000000000000421e-01 6.599000000000000421e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.475000000000000089e+00 1.606893155540497971e+10 6.866994437023349995e+00
2.200000000000000000e+01 1.239999999999999991e-01 1.239999999999999991e-01 2.550000000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.777980875812501088e+07 9.823307896243738924e+01
2.300000000000000000e+01 2.706599999999999895e+00 2.706599999999999895e+00 1.434000000000000000e+08 5.000000000000000278e-02 7.500000000000000000e-01 9.536644843798357010e+09 2.116375964321052550e+01
2.400000000000000000e+01 2.371000000000000052e-01 2.371000000000000052e-01 2.025600000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 4.585423082175592780e+08 9.129873985941637571e+00
2.500000000000000000e+01 2.813999999999999835e-01 2.813999999999999835e-01 2.272700000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.180615941617717296e+08 3.043367310997992092e+01
2.600000000000000000e+01 7.587000000000000410e-01 7.587000000000000410e-01 2.025600000000000000e+08 5.000000000000000278e-02 3.000000000000000444e-01 2.456707808679445267e+09 3.286210346772349311e+01
2.700000000000000000e+01 1.048999999999999932e+00 1.048999999999999932e+00 7.249999870000000000e+09 1.000000000000000000e+01 9.750000000000000888e-01 9.721006292973983765e+10 1.177697052274295864e+01
2.800000000000000000e+01 3.071499999999999897e+00 3.071499999999999897e+00 2.272700000000000000e+08 5.000000000000000278e-02 4.750000000000000333e-01 2.358871532052865601e+10 3.368973180353160757e+01
2.900000000000000000e+01 2.146000000000000130e-01 2.146000000000000130e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 5.718518851909767836e+07 2.779036050281747805e+01
3.000000000000000000e+01 2.100999999999999979e+00 2.100999999999999979e+00 4.041500160000000000e+08 1.000000000000000000e+00 8.750000000000000000e-01 2.552456637531356812e+10 1.432514654484807437e+01
3.100000000000000000e+01 6.749000000000000554e-01 6.749000000000000554e-01 1.278099970000000000e+09 5.000000000000000278e-02 4.250000000000000444e-01 5.863797744075962067e+10 4.888287215503638095e+00
3.200000000000000000e+01 8.396000000000000130e-01 8.396000000000000130e-01 4.534700160000000000e+08 1.000000000000000000e+00 6.250000000000000000e-01 8.929808251953451157e+09 7.208277730626883262e+00
3.300000000000000000e+01 1.090000000000000080e+00 1.090000000000000080e+00 1.434000000000000000e+09 1.000000000000000000e+01 1.074999999999999956e+00 7.346089066533338928e+10 1.709153906920319343e+01
3.400000000000000000e+01 1.088700000000000001e+00 1.088700000000000001e+00 2.272700000000000000e+08 5.000000000000000278e-02 1.425000000000000044e+00 8.872640563809161377e+10 2.176102491272817474e+01
3.500000000000000000e+01 2.611000000000000210e+00 2.611000000000000210e+00 7.187000320000000000e+08 1.000000000000000000e+01 1.000000000000000000e+00 2.290582266844448242e+11 4.737839912224593064e+01
3.600000000000000000e+01 2.098700000000000010e+00 2.098700000000000010e+00 6.405400320000000000e+08 1.000000000000000000e+01 7.000000000000000666e-01 1.824310594304020691e+11 2.814291540543701231e+01
3.700000000000000000e+01 4.868000000000000105e-01 4.868000000000000105e-01 1.805300000000000000e+08 5.000000000000000278e-02 1.225000000000000089e+00 1.878669687760108185e+10 3.142737381354907100e+00
3.800000000000000000e+01 1.135000000000000009e+00 1.135000000000000009e+00 8.064000000000000000e+08 1.000000000000000000e+00 7.000000000000000666e-01 5.498595984875262260e+09 1.536042389452468981e+01
3.900000000000000000e+01 1.277000000000000079e-01 1.277000000000000079e-01 2.272700000000000000e+08 5.000000000000000278e-02 1.750000000000000167e-01 2.762349217773293704e+07 3.326305813173074455e+01
4.000000000000000000e+01 6.250000000000000000e-01 6.250000000000000000e-01 1.000000000000000000e+10 1.000000000000000000e+01 1.500000000000000000e+00 8.740691382706558228e+09 5.589800923980424159e+02
4.100000000000000000e+01 1.350999999999999979e+00 1.350999999999999979e+00 7.187000320000000000e+08 1.000000000000000000e+00 3.500000000000000333e-01 4.527533218721621513e+09 9.807572586591529529e+00
4.200000000000000000e+01 2.416999999999999982e-01 2.416999999999999982e-01 2.550000000000000000e+08 5.000000000000000278e-02 5.000000000000000278e-02 2.574030609099022299e+07 2.095075584439720018e+01
4.300000000000000000e+01 3.481000000000000205e-01 3.481000000000000205e-01 1.805300000000000000e+08 5.000000000000000278e-02 6.750000000000000444e-01 8.730993021181414127e+08 1.758235110210477004e+01
4.400000000000000000e+01 1.427999999999999936e+00 1.427999999999999936e+00 7.187000320000000000e+08 1.000000000000000000e+00 2.750000000000000222e-01 7.948959145561753273e+09 2.394498146327515897e+01
4.500000000000000000e+01 2.330000000000000127e-01 2.330000000000000127e-01 2.550000000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 1.183277517109308094e+08 5.385258645357608032e+01
4.600000000000000000e+01 2.165900000000000158e+00 2.165900000000000158e+00 6.405400000000000000e+07 5.000000000000000278e-02 3.000000000000000444e-01 1.133044708707614183e+09 3.012822076026892759e+01
4.700000000000000000e+01 9.829999999999999849e-01 9.829999999999999849e-01 1.805300000000000000e+08 5.000000000000000278e-02 9.000000000000000222e-01 7.753479571337569237e+09 1.384803460204404502e+01
4.800000000000000000e+01 6.660000000000000364e-01 6.660000000000000364e-01 1.434000000000000000e+08 5.000000000000000278e-02 8.750000000000000000e-01 7.168139586213771820e+09 6.369615966461697809e+00
4.900000000000000000e+01 6.596999999999999531e-01 6.596999999999999531e-01 1.805300000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 1.098258647494995832e+09 1.696569931097024408e+01
5.000000000000000000e+01 7.329999999999999849e-01 7.329999999999999849e-01 1.609000000000000000e+08 5.000000000000000278e-02 5.250000000000000222e-01 2.673037207836209297e+09 6.030459020598164521e+00
5.100000000000000000e+01 1.469000000000000083e+00 1.469000000000000083e+00 1.900000000000000000e+09 1.000000000000000000e+01 1.375000000000000000e+00 6.917405050170203857e+11 7.644845457602657213e+00
5.200000000000000000e+01 7.329999999999999849e-01 7.329999999999999849e-01 2.272700000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 6.143097332046623230e+08 5.144488007365578142e+01
5.300000000000000000e+01 6.600000000000000311e-01 6.600000000000000311e-01 2.272700000000000000e+08 1.000000000000000000e+00 1.375000000000000000e+00 9.557676905358412170e+10 1.028761828242039122e+01
