# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 3.720000000000000195e+00 5.088000000000000000e+08 2.550000000000000000e+08 9.599999999999999645e-01 5.750000000000000666e-01 1.612628225588997491e-18 2.190659973674024968e+03 7.202178218533970266e+01 1.956964714441629395e+12
2.000000000000000000e+00 4.700000000000000289e-01 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 1.103775692569551743e-17 1.421262455104188120e+03 3.360264313624090060e-01 3.360264313624090049e+06
3.000000000000000000e+00 2.300000000000000266e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 3.750000000000000000e-01 2.195787113886919673e-17 6.243005874824637431e+03 3.504535412534231682e+02 3.504535412534232140e+09
4.000000000000000000e+00 4.040000000000000036e+00 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 1.500000000000000222e-01 2.854047996812064453e-18 2.213130021276408115e+03 2.879157893846273453e+01 7.341852629307996750e+09
5.000000000000000000e+00 2.569999999999999840e+00 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 6.000000000000000888e-01 1.693717152481376432e-16 1.115998313755668278e+04 9.680313425683996684e+03 2.148968027369775391e+13
6.000000000000000000e+00 5.700000000000000622e-01 5.088000000000000000e+08 2.511900000000000000e+07 9.200000000000000400e-01 0.000000000000000000e+00 9.077286456821499864e-19 1.632361644381251608e+03 3.144979475106877281e-02 1.637111265047582686e+08
7.000000000000000000e+00 2.370000000000000107e+00 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 0.000000000000000000e+00 1.133804184633305455e-17 1.139054772337620670e+04 4.245044502774870665e+01 7.900755204026821899e+10
8.000000000000000000e+00 1.159999999999999920e+00 5.088000000000000000e+08 2.511900000000000000e+07 9.000000000000000222e-01 0.000000000000000000e+00 1.183578716772783680e-17 2.879238615724833799e+05 3.170552519115459322e+00 1.293366915153232193e+10
9.000000000000000000e+00 8.000000000000000444e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.000000000000000167e-02 0.000000000000000000e+00 4.826185849537093333e-18 1.102915167413512108e+03 6.577336541709416506e-01 2.381301676693122089e+07
1.000000000000000000e+01 9.300000000000000488e-01 5.088000000000000000e+08 2.511900000000000000e+07 8.000000000000000444e-01 1.000000000000000056e-01 3.619855661822723384e-18 9.667183183945828205e+03 7.754180587014820603e-01 1.416678107989757776e+09
1.100000000000000000e+01 1.280000000000000027e+00 5.088000000000000000e+08 2.550000000000000000e+08 9.200000000000000400e-01 5.000000000000000278e-02 2.471241383848679753e-19 2.442984663915108285e+03 4.520844398868048564e-02 5.946107550584298372e+08
1.200000000000000000e+01 4.160000000000000142e+00 5.088000000000000000e+08 5.000000000000000000e+07 0.000000000000000000e+00 1.500000000000000222e-01 1.062299096111043868e-18 1.343427183152952011e+03 2.240575084462164668e+01 1.120287542231082439e+09
1.300000000000000000e+01 2.479999999999999982e+00 5.088000000000000000e+08 1.015200000000000000e+08 0.000000000000000000e+00 2.500000000000000000e-01 7.458455887152839620e-18 2.524224390554001729e+03 3.482517238575584173e+01 3.535451500601933479e+09
1.400000000000000000e+01 2.379999999999999893e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.799999999999999822e-01 0.000000000000000000e+00 4.303157256615103209e-19 1.413203186847739971e+03 1.611133060218654434e+00 2.380661813718185806e+10
1.500000000000000000e+01 1.870000000000000107e+00 5.088000000000000000e+08 1.000000000000000000e+07 7.399999999999999911e-01 1.000000000000000056e-01 5.475971407930479155e-18 2.535113406744467738e+03 1.474076103155822537e+01 1.279054574493643379e+10
1.600000000000000000e+01 6.500000000000000222e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.199999999999999956e-01 0.000000000000000000e+00 1.515016532828738796e-18 1.029458849125357801e+03 1.135841031364086956e-01 5.803427063201418146e+06
1.700000000000000000e+01 4.500000000000000111e-01 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 3.370473804263958648e-18 1.000147525443382960e+03 9.120923213625563297e-02 9.120923213625563076e+05
