# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi
2.570000000000000000e+02 2.475999999999999979e+00 1.000000000000000021e-02 2.500000000000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 8.000000000000000444e-01 8.550133634809397099e-16 6.156471537881123623e+01
2.580000000000000000e+02 1.197000000000000064e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 1.782362288973291520e-01 3.500000000000000333e-01 2.380505341372104972e-16 8.659150469424577778e+00
2.590000000000000000e+02 5.100000000000000089e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 4.851925397502274695e-01 6.750000000000000444e-01 3.033196844675587500e-16 7.462062682862957708e+00
2.600000000000000000e+02 1.274000000000000021e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 3.181690290810633703e-01 7.750000000000000222e-01 2.260132507823803685e-16 1.702845419726830656e+01
2.610000000000000000e+02 3.390000000000000235e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 1.750000000000000167e-01 1.972441615001762083e-16 1.166928093891383433e+01
2.620000000000000000e+02 1.647999999999999909e+00 1.000000000000000021e-02 8.064000000000000000e+08 5.000000000000000000e+07 7.080048279597983552e-01 6.250000000000000000e-01 6.000127114250242401e-17 1.684142837763750933e+01
2.630000000000000000e+02 3.880000000000000115e-01 1.000000000000000021e-02 8.064000000000000000e+08 5.000000000000000000e+07 6.118928294465026951e-01 3.500000000000000333e-01 1.829103312035499349e-16 1.349844724019816766e+01
2.640000000000000000e+02 1.433000000000000052e+00 1.000000000000000021e-02 1.434000000000000000e+09 5.000000000000000000e+07 7.588113568490419958e-01 2.500000000000000000e-01 2.178449667853846605e-17 5.879983492387069077e+01
2.650000000000000000e+02 9.170000000000000373e-01 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 3.790426555198066483e-01 5.250000000000000222e-01 9.294780038429511927e-17 1.080643776777076503e+01
2.660000000000000000e+02 1.405000000000000027e+00 1.000000000000000021e-02 5.088000000000000000e+08 5.000000000000000000e+07 9.798916064409035620e-02 9.000000000000000222e-01 5.102635688825924123e-16 3.657603352341281067e+01
